YAL007C	YAR002C-A	YGL200C
YCR028C-A	YLR226W	YPR161C	
YBL058W	YDL126C	YLR377C	
YLR423C	YPR049C	YPL166W	
YBR109C	YKL190W	YLR433C	
YOL139C	YGL049C	YML017W	
YLR347C	YNL189W	YML060W	
YML071C	YGR120C	YPR105C	
YHR039C-B	YPR036W	YMR027W	
YPR171W	YMR079W	YHR076W	
YKR048C	YDR507C	YMR139W	
YML049C	YMR240C	YOR319W	
YOL111C	YBR137W	YOR007C	
YLR182W	YER111C	YOR083W	
YAL016W	YGL190C	YOR162C	
YLR175W	YMR290C	YPL009C	
YGL106W	YOR326W	YPL040C	
YDL147W	YDR427W	YPR040W	
YLL036C	YPL151C	YPR134W	
YAL016W	YDL134C	YMR273C	
YAL016W	YDL188C	YMR273C	
YAL021C	YDR252W	YGR134W	
YDR252W	YGR134W	YJR011C	
YAL034W-A	YIR010W	YPL233W	YJR112W	
YAR002W	YLR335W	YLR347C	YNL189W	
YNL312W	YAR007C	YFL014W	
YNL312W	YAR007C	YHR164C	YJL173C	
YBL003C	YIL173W	YNL031C	
YGL245W	YBL032W	YGL105W	
YGL106W	YLR429W	YBL079W	
YOR217W	YBR087W	YJR068W	
YBR087W	YJR068W	YOR144C	
YBR094W	YEL015W	YOL149W	
YBR109C	YGL242C	YMR109W	YKL129C	
YBR126C	YMR261C	YDR074W	YML100W	
YBR127C	YDR328C	YJR033C	
YBR188C	YLL036C	YDR416W	
YBR188C	YLR117C	YDR416W	
YPL037C	YDR221W	YHR193C	
YJR065C	YBR234C	YKL013C	YLR370C	
YBR245C	YGL133W	YOR304W	
YGL133W	YOR304W	YJL065C	
YIL035C	YCL031C	YGR090W	
YCL031C	YGR090W	YNL186W	
YCR002C	YDL225W	YJR076C	
YCR002C	YJR076C	YDR168W	
YCR009C	YDR388W	YPL249C	
YDR190C	YCR060W	YHR034C	
YMR309C	YCR060W	YHR034C	
YCR071C	YDR405W	YMR024W	
YCR082W	YGR252W	YOR023C	
YGR252W	YDR176W	YOR023C	
YFL008W	YDL003W	YJL074C	
YDL003W	YJL074C	YIL026C	
YDL043C	YAL032C	YPL151C	
YDL051W	YPL243W	YDL092W	
YDL060W	YOR198C	YPR161C	
YDL147W	YFR052W	YDL097C	YAL042W	
YER021W	YFR052W	YDL097C	YGL095C	
YDL105W	YDR288W	YEL019C	YOL034W	
YDL126C	YBR170C	YGR048W	
YDL145C	YGR233C	YPL031C	
YDL147W	YDR363W-A	YFR010W	YBL054W	
YDL147W	YDR363W-A	YDR427W	YBR080C	
YDL150W	YOR207C	YDR045C	
YDL150W	YDR045C	YOL021C	
YDL188C	YKR062W	YKL028W	
YDL126C	YDR049W	YKL204W	
YDR049W	YKL204W	YOL139C	
YDR087C	YDR111C	YER147C	
YDR138W	YML062C	YDL084W	YNL140C	
YDR227W	YLR442C	YLR278C	
YBR109C	YML057W	YKL190W	
YDR295C	YNL021W	YPR179C	
YDR299W	YGR145W	YDR365C	
YGR145W	YDR365C	YNR054C	
YFR031C	YLR086W	YLR272C	YDR325W	
YDR363W-A	YFR010W	YCR014C	
YBR251W	YDR175C	YJR096W	
YKL061W	YGL079W	YLR408C	
YEL005C	YGL079W	YLR408C	
YML069W	YKR048C	YLR410W	
YEL018W	YHR099W	YNL136W	YJR082C	
YER018C	YMR117C	YIL144W	
YCR009C	YDR388W	YHR042W	
YJL050W	YOL115W	YDL175C	
YFR015C	YKR058W	YLR258W	
YGL005C	YGL223C	YNL041C	
YGL005C	YGL223C	YNL051W	
YGL227W	YBR105C	YIL097W	YMR135C	
YGL227W	YDR255C	YMR135C	
YGL227W	YIL017C	YIL097W	YMR135C	
YGR074W	YPR182W	YLR275W	YPR057W	
YMR186W	YPL240C	YGR123C	
YHR193C	YGR134W	YJR011C	
YGR251W	YKL078W	YNL186W	
YHL019C	YPR029C	YKL135C	YLR170C	
YIL070C	YIL093C	YBL090W	
YIL091C	YDL153C	YJR119C	
YJL041W	YIL115C	YJL061W	YKR082W	
YAL033W	YBR257W	YIR015W	
YAL033W	YNL221C	YIR015W	
YDR381W	YJL006C	YML112W	
YPR116W	YJL023C	YML091C	
YFR015C	YLR258W	YJL137C	
YIL033C	YPL203W	YJL164C	
YMR125W	YJR041C	YKL214C	YPL178W	
YGL106W	YAL029C	YKL124W	
YGL106W	YOR326W	YKL124W	
YPR029C	YKL135C	YPL259C	YLR170C	
YLR270W	YOR173W	YPL245W	
YGL106W	YBR109C	YOR326W	YLR288C	
YGL106W	YOR326W	YLR319C	
YLR330W	YMR237W	YNL045W	
YGL106W	YBR109C	YLR356W	
YAL043C	YGR156W	YLR358C	
YGR156W	YNL222W	YLR358C	
YGR179C	YJR135C	YLR381W	
YML062C	YNL139C	YNL004W	YNL253W	
YBL058W	YDL126C	YML064C	
YGL106W	YBR109C	YOR326W	YMR071C	
YOR061W	YGL019W	YOR039W	YMR172W	
YOR290C	YBR289W	YPL016W	
YMR229C	YPR161C	YLR276C	
YNL189W	YMR125W	YOR098C	
YAL021C	YCR093W	YNL288W	
YCR009C	YDR388W	YOL098C	
YDR388W	YGL106W	YOL098C	
YEL015W	YNL118C	YOL149W	
YOR310C	YPR178W	YOR078W	YPR137W	
YOR159C	YLR147C	YOR097C	
YDR138W	YML062C	YNL139C	YOR191W	
YOR159C	YLR275W	YOR305W	
YLR432W	YML056C	YOR360C	
YJR009C	YEL023C	YOR368W	
YLR347C	YNL189W	YPL020C	
YIL021W	YOL005C	YPR133C	
YAL001C	YBR123C	YDR362C	YGR047C	YOR110W	
YAL016W	YDL134C	YGL190C	YML109W	
YAL033W	YBR257W	YHR062C	
YAL033W	YHR062C	YNL221C	
YBL002W	YDL156W	YPR161C	
YBL002W	YDL156W	YNL030W	
YBL003C	YNL290W	YOR217W	
YNL290W	YOR217W	YBR087W	
YNL290W	YBR087W	YOR144C	
YDR381W	YBL024W	YIL070C	
YBL026W	YJR022W	YMR268C	
YBL026W	YMR268C	YLR438C-A	
YJR022W	YMR268C	YDR378C	
YMR268C	YDR378C	YLR438C-A	
YBL074C	YGR074W	YHR165C	YPR182W	
YBL097W	YFR031C	YLR086W	YLR272C	
YBL003C	YBR049C	YNL088W	
YBR095C	YAL013W	YMR263W	YPL139C	YPL181W	
YBR103W	YCR033W	YIL112W	YKR029C	
YCR033W	YIL112W	YKR029C	YOL068C	
YCR009C	YDR388W	YBR108W	
YCR009C	YBR108W	YGR086C	
YPL004C	YBR108W	YGR086C	
YGL106W	YBR109C	YBR130C	
YGL106W	YBR130C	YAL029C	
YBR257W	YHR062C	YBR167C	
YHR062C	YNL221C	YBR167C	
YMR314W	YBR173C	YER012W	YKL206C	
YBR173C	YKL206C	YLR199C	
YBR175W	YDR469W	YLR015W	YBR258C	YHR119W	
YEL037C	YJR065C	YBR234C	YDL029W	
YJR065C	YBR234C	YDL029W	YLR370C	
YJR065C	YBR234C	YIL062C	
YKL081W	YKL056C	YPL048W	
YBR278W	YDR121W	YNL262W	YPR175W	
YLR314C	YCR002C	YDL225W	
YCR002C	YDL225W	YHR107C	
YCR002C	YDR507C	YHR107C	
YCR002C	YHR107C	YDR168W	
YCR071C	YDR405W	YNL284C	
YDR308C	YGL127C	YCR081W	
YDR308C	YCR081W	YDR443C	
YCR081W	YDR443C	YPL042C	
YDL040C	YHR013C	YOR253W	YDR303C	
YLR117C	YGR129W	YDR416W	
YDR427W	YPR108W	YBR069C	
YPR056W	YDL108W	YDR460W	YLR005W	YPR025C	
YDL126C	YBR170C	YNL155W	
YGL137W	YDL145C	YDR238C	YFR051C	YIL076W	
YGL137W	YDL145C	YDR238C	YIL076W	YPL010W	
YGR086C	YLR079W	YDL155W	
YBR135W	YLR079W	YDL155W	
YLR079W	YBR160W	YDL155W	
YDR016C	YDR201W	YGL061C	YKR037C	YDR320C-A	
YJL148W	YNL113W	YNL248C	YDR026C	
YBL003C	YBR010W	YDR052C	
YDR099W	YER177W	YNR047W	
YOR115C	YDR108W	YDR472W	
YMR188C	YGR084C	YNR036C	
YMR188C	YGR215W	YNR036C	
YMR186W	YLR249W	YDR169C	
YEL056W	YMR230W	YGR104C	
YDR201W	YGR113W	YKL052C	YKR083C	
YDR201W	YGR113W	YKL052C	YDR320C-A	
YBL058W	YDL126C	YDR295C	
YPR056W	YDR460W	YER171W	
YIL035C	YGL207W	YOL088C	
YEL003W	YGR078C	YJL179W	YML094W	YNL153C	
YGR135W	YGR253C	YOL038W	YER012W	YEL061C	
YIL070C	YNL137C	YER050C	YDR494W	
YFR024C	YOR042W	YMR259C	
YDR381W	YKR037C	YGL067W	
YGL245W	YGL105W	YGR264C	
YGL120C	YKR022C	YLR424W	
YLR347C	YNL189W	YGL232W	
YJL138C	YGL049C	YGR162W	
YKL204W	YOL139C	YGR162W	
YOL139C	YGL049C	YGR162W	
YGR179C	YJR135C	YPR046W	YDR383C	
YGR179C	YLR315W	YDR383C	
YDR388W	YGL106W	YGR188C	
YGL106W	YOR326W	YGR188C	
YGL106W	YGR188C	YMR304W	
YLR384C	YGR200C	YHR187W	YPL101W	YPL086C	
YDL014W	YGR272C	YNL255C	
YDL014W	YGR272C	YMR014W	
YHL034C	YGR272C	YNL255C	
YJL176C	YOR290C	YHL025W	YNR023W	YPL016W	
YHR012W	YJL053W	YJL154C	YOR132W	
YJL053W	YJL154C	YOR069W	YOR132W	
YNL004W	YPL127C	YPR161C	
YIL070C	YIL093C	YJR113C	YDL045W-A	
YJR113C	YJL063C	YDL045W-A	
YDR381W	YCL011C	YJL006C	
YGL011C	YGR135W	YOL146W	
YBR215W	YJL115W	YJR140C	
YLR347C	YNL189W	YPL153C	
YMR186W	YPL240C	YJR121W	
YGL106W	YLR429W	YKL160W	
YMR229C	YKR024C	YFR001W	
YMR229C	YFR001W	YPR161C	
YDL185W	YGR020C	YHR039C-B	YPR036W	YLR090W	
YML071C	YER157W	YPR105C	
YML071C	YNL051W	YPR105C	
YMR186W	YPL240C	YOR027W	YOL013C	
YGR074W	YER029C	YOR159C	YNL092W	
YDL014W	YMR229C	YOR056C	
YMR229C	YMR290C	YOR056C	
YLR197W	YOR310C	YPR178W	YOR078W	
YGL106W	YBR109C	YOR127W	
YLR147C	YMR213W	YPR101W	
YLR079W	YBR160W	YPR120C	
YAL007C	YJL034W	YMR214W	
YAL016W	YDL188C	YGL190C	
YIL095W	YDL060W	YPR161C	
YAR003W	YBR175W	YDR469W	YLR015W	YPL138C	YHR119W	
YAR073W	YHR216W	YLR432W	YML056C	
YHR216W	YLR432W	YER050C	
YBL003C	YBR010W	YBL052C	
YBL003C	YBL052C	YJR082C	
YBL052C	YLR455W	YJR082C	
YBL084C	YDR118W	YGL240W	YHR166C	YKL022C	YLR127C	
YDR388W	YBL097W	YLR272C	
YGL106W	YDR171W	YBR001C	
YGL106W	YBR001C	YBR109C	
YBR009C	YBR010W	YNL206C	YNL031C	
YBR009C	YNL206C	YNL030W	YNL031C	
YBR079C	YOR361C	YMR309C	YLR192C	
YBR107C	YBR211C	YGR179C	YJR135C	YPL018W	
YBR107C	YBR211C	YGR179C	YLR315W	YPL018W	
YBR127C	YDL185W	YEL051W	YHR039C-B	
YNL209W	YKR048C	YBR155W	YCL014W	
YMR186W	YBR155W	YCL014W	
YBR175W	YPL138C	YHR029C	YKL018W	
YHR029C	YKL018W	YNL317W	
YBR193C	YER022W	YPR168W	YMR112C	YHR041C	YGR104C	
YGL106W	YBR109C	YBR218C	
YIL070C	YIL093C	YJR101W	YOR158W	YER050C	
YBR251W	YIL093C	YJR101W	YOR158W	YER050C	
YHL034C	YOL077C	YPR161C	
YLR455W	YOL077C	YMR229C	
YOL077C	YMR229C	YPR161C	
YMR223W	YPL254W	YCL010C	YDR176W	YDR448W	
YOL148C	YPL254W	YCL010C	YDR176W	YDR448W	
YCR058C	YJL069C	YLR129W	YLR222C	YLR409C	
YDR190C	YPL235W	YCR060W	
YPL235W	YOR310C	YCR060W	
YCR071C	YDR405W	YPL173W	
YER022W	YNR010W	YPL042C	YLR071C	
YNL113W	YOR210W	YDL042C	YOR116C	
YPL243W	YDL092W	YKL122C	YPL210C	
YPR056W	YDR460W	YLR005W	YDR311W	YPR025C	
YDL150W	YNL113W	YJL011C	YKL144C	YNL151C	
YDL150W	YKR025W	YJL011C	YKL144C	YNL151C	
YNL132W	YJL033W	YDR299W	
YLR175W	YNL308C	YDL208W	YCL059C	YGL078C	
YDR328C	YIL071C	YDL216C	YDR179C	
YDR328C	YDL216C	YDR179C	YOL117W	
YDL147W	YIL071C	YDL216C	YDR179C	
YDL147W	YDL216C	YDR179C	YOL117W	
YDR099W	YDR001C	YER177W	
YDR174W	YMR140W	YHR193C	
YPL037C	YMR140W	YHR193C	
YLR398C	YDR153C	YGL213C	YKL023W	
YLR398C	YDR153C	YGL213C	YPR189W	
YDR280W	YLR398C	YPR189W	
YBL003C	YBR010W	YDR463W	
YER025W	YDR211W	YGR083C	YLR291C	YOR260W	
YDR211W	YGR083C	YKR026C	YOR260W	
YKL081W	YFL013C	YPL048W	
YJL033W	YDR299W	YDR365C	
YDR388W	YLR429W	YDR314C	
YDR381W	YDR462W	YNL252C	
YDR322W	YNL005C	YDR462W	YNL252C	
YDR419W	YDR477W	YER027C	YGL115W	
YDR477W	YGL115W	YDR422C	YER129W	
YFR004W	YIL075C	YDR427W	YPR108W	YMR191W	
YPL004C	YGR086C	YDR490C	
YLR200W	YEL003W	YGR078C	YML094W	YNL153C	
YDR477W	YER027C	YGL115W	YER129W	
YDL014W	YMR229C	YER063W	
YER151C	YMR173W	YOL109W	
YDR099W	YER177W	YGR097W	
YLR429W	YPL004C	YGR086C	YMR086W	
YPL004C	YGR086C	YMR031C	YMR086W	
YGL005C	YML071C	YNL041C	
YGL005C	YML071C	YNL051W	
YDR381W	YDR174W	YGL099W	
YML071C	YNL041C	YER157W	
YLR432W	YML056C	YGR237C	
YLR347C	YNL189W	YGR180C	
YLR429W	YJL138C	YLR380W	
YDR381W	YKR048C	YGR245C	
YJL138C	YKR059W	YOL013C	
YPR034W	YJL176C	YOR290C	YHL025W	YPL016W	
YPL004C	YGR086C	YKL142W	YLR179C	
YIL035C	YOR061W	YGL019W	YKL088W	
YOR061W	YKL088W	YKR072C	
YGL106W	YOR326W	YNL023C	
YDR381W	YKR048C	YIR008C	
YKR048C	YDR507C	YIR008C	
YDL147W	YDR363W-A	YFR004W	YOR261C	YIR012W	
YDR385W	YOR133W	YJL062W-A	
YLR347C	YNL189W	YJR041C	YPL178W	
YNL189W	YMR125W	YJR041C	YPL178W	
YDR381W	YJR084W	YPR045C	
YDR363W-A	YJR084W	YPR045C	
YGL106W	YDR171W	YLR304C	
YGL106W	YBR109C	YLR304C	
YGL106W	YAL029C	YLR304C	
YGR090W	YKL078W	YNL186W	
YLR175W	YKL078W	YNL186W	
YDL014W	YLR197W	YOR310C	YOL144W	
YMR186W	YPL240C	YLR216C	
YCR009C	YDR388W	YLR429W	YLR218C	
YHR064C	YMR186W	YLR262C	
YHR064C	YGR285C	YLR262C	
YMR186W	YLR249W	YLR262C	
YPL004C	YGR086C	YKL142W	YNL067W	
YIL035C	YGL207W	YOR052C	
YBR079C	YMR309C	YOR052C	
YAL043C	YDR195W	YGR156W	YKL018W	YOR179C	
YGR156W	YKL018W	YNL222W	YOR179C	
YDL185W	YGR020C	YHR039C-B	YPR036W	YPL201C	
YAL017W	YCR020W-B	YPR034W	
YAL062W	YCR020W-B	YIL033C	
YBL003C	YBL002W	YGL241W	YKR048C	YDR224C	
YBL003C	YGL241W	YKR048C	YDR225W	
YBL002W	YGL241W	YKR048C	YOL012C	YDR224C	
YBL003C	YBL046W	YNL201C	YDR075W	YDR225W	
YBL046W	YNL201C	YDR075W	YDR293C	
YBL046W	YNL201C	YDR075W	YML010W	
YBL003C	YDR174W	YBR010W	YMR044W	
YBL003C	YBL002W	YBR010W	YMR044W	
YBR010W	YMR044W	YBR245C	
YBL003C	YOR058C	YPL001W	
YBL003C	YOR058C	YER116C	
YLR150W	YPL146C	YOR058C	
YLR150W	YOR058C	YPL001W	
YLR150W	YOR058C	YER116C	
YBR231C	YLR399C	YLR385C	
YBL084C	YGL240W	YLR127C	YNL172W	
YGR198W	YLR222C	YDR449C	
YMR288W	YDL043C	YML049C	YMR240C	
YMR288W	YMR240C	YPL213W	
YBR079C	YOR361C	YDR429C	YMR146C	YMR309C	
YBR065C	YDR429C	YMR146C	YMR309C	
YCR082W	YGR252W	YDR448W	
YDR388W	YLR429W	YNL244C	
YLR429W	YNL244C	YGR086C	
YBR079C	YOR361C	YNL244C	
YBR079C	YOR361C	YMR146C	YMR309C	YPR041W	
YBR079C	YOR361C	YMR309C	YER025W	YPR041W	
YBR079C	YOR361C	YER025W	YJR007W	YPR041W	
YEL015W	YJL124C	YNL118C	YLR438C-A	
YBR119W	YGR013W	YHR086W	YKL012W	YLR275W	
YBR119W	YGR013W	YHR086W	YKL012W	YML046W	
YPR182W	YGR013W	YHR086W	YKL012W	YLR275W	
YPR182W	YGR013W	YHR086W	YKL012W	YML046W	
YBR127C	YDL185W	YGR020C	YHR039C-B	YPR036W	
YDL140C	YBR154C	YGL043W	YGL070C	YIL021W	YOL005C	
YDR381W	YBR187W	YPL217C	
YIL070C	YBR146W	YDR337W	YNL137C	YER050C	
YBR251W	YBR146W	YDR337W	YNL137C	YER050C	
YBR146W	YNL137C	YER050C	YGR084C	
YIL070C	YDR041W	YKL155C	YER050C	
YIL070C	YDR041W	YNL137C	YER050C	
YBR251W	YDR041W	YKL155C	YER050C	
YBR251W	YDR041W	YNL137C	YER050C	
YML069W	YGL207W	YBR279W	YGL244W	YOL145C	YOR123C	
YGL207W	YLR418C	YBR279W	YGL244W	YOL145C	YOR123C	
YCR035C	YDR280W	YGR195W	YNL232W	YOR076C	YGR095C	
YCR035C	YDR280W	YGR195W	YNL232W	YOR076C	YGR158C	
YJL069C	YLR129W	YLR222C	YLR409C	YDR449C	
YLR129W	YLR222C	YLR409C	YNR054C	
YLR147C	YDL043C	YDL030W	
YDR363W-A	YFR052W	YDL030W	
YDL043C	YDL030W	YDR482C	
YDL043C	YDL030W	YJL203W	
YLL036C	YDR482C	YPL151C	
YLR117C	YDR482C	YPL151C	
YDL043C	YDR482C	YMR240C	
YDL043C	YDR482C	YPL151C	
YDL043C	YJL203W	YML049C	YMR240C	
YLR147C	YDL043C	YML049C	YMR240C	
YML105C	YPL243W	YDL092W	YKL122C	
YDL140C	YDL115C	YGL070C	YIL021W	YOL005C	YOR210W	YDR404C	
YLR197W	YLR175W	YCR016W	
YLR175W	YDL208W	YCR016W	
YGL106W	YOR326W	YDR017C	
YDR381W	YLR398C	YGL173C	YGL213C	YKL023W	
YOR294W	YGL213C	YKL023W	
YDR201W	YGL061C	YKR037C	YKL052C	YDR320C-A	
YDR201W	YGL061C	YKL052C	YKR083C	
YER025W	YJR007W	YDR211W	YLR291C	YOR260W	
YJR007W	YDR211W	YKR026C	YOR260W	
YBR119W	YGR013W	YIL061C	YKL012W	YML046W	YDR235W	YDR240C	
YIL103W	YKL191W	YLR043C	
YDR381W	YIL070C	YDR462W	
YDR385W	YOR133W	YHL014C	
YDR385W	YOR133W	YIR007W	
YDR385W	YOR133W	YOL013C	
YDR381W	YLR429W	YDR440W	
YDL014W	YHR066W	YDR496C	
YEL003W	YGR078C	YJL041W	
YDL014W	YGL120C	YEL054C	
YDL014W	YDL060W	YEL054C	
YDR381W	YNL308C	YER035W	
YIL070C	YKL155C	YER050C	YGR215W	
YIL070C	YOR158W	YER050C	YGR215W	
YMR186W	YJR009C	YER086W	
YJR009C	YJL052W	YER086W	
YHR064C	YMR186W	YFL007W	
YHR064C	YGR285C	YFL007W	
YDR190C	YPL235W	YFL013C	YLR052W	YOR141C	YNL215W	
YDR190C	YPL235W	YFL013C	YOR141C	YNL059C	YNL215W	
YBL003C	YDR174W	YBR010W	YGL035C	
YBL003C	YBL002W	YBR010W	YGL035C	
YIL148W	YJL138C	YDL160C	
YJL124C	YNL147W	YDL160C	
YLR175W	YHR089C	YDL208W	YMR310C	
YDL014W	YLR197W	YJL095W	
YDL014W	YOR310C	YKL035W	
YDR381W	YDR174W	YMR123W	
YDR381W	YML062C	YNL139C	YNL140C	
YDR138W	YHR167W	YML062C	YNL139C	YNL140C	
YBL058W	YDL126C	YNL155W	
YOR124C	YER125W	YOR138C	
YDR388W	YLR429W	YPR093C	
YAL007C	YBL003C	YJL034W	
YAL019W	YDL147W	YFR052W	YDL097C	
YBR175W	YDR469W	YLR015W	YPL138C	YHR119W	YKL018W	
YBL003C	YBR009C	YBL002W	YMR072W	YPL001W	
YBL003C	YBR009C	YMR072W	YER116C	
YBL003C	YBL002W	YMR072W	YPR161C	
YBL003C	YKR048C	YPL090C	
YBL084C	YHR166C	YLR127C	YOR249C	
YBL003C	YBR009C	YBR010W	YMR284W	
YBL003C	YBR009C	YMR284W	YDR224C	
YBR065C	YKL081W	YMR186W	
YKL081W	YMR186W	YNL041C	
YBR081C	YBR198C	YLR055C	YMR223W	YGL112C	
YBR081C	YBR198C	YLR055C	YOL148C	YGL112C	
YBR095C	YIL084C	YMR263W	YNL097C	YNL330C	YOL004W	YPL181W	
YBR107C	YBR211C	YDR318W	YGR179C	YJR135C	YPR046W	
YBR107C	YBR211C	YDR318W	YGR179C	YLR315W	
YNL209W	YBR135W	YLR109W	
YDL140C	YBR154C	YGL070C	YGR186W	YIL021W	YOL005C	YOR210W	
YDL140C	YBR154C	YGL070C	YGR186W	YIL021W	YPL129W	
YOL041C	YLR196W	YPR161C	
YBR198C	YDR145W	YGL112C	YML015C	YMR005W	YMR236W	YPL011C	
YBR198C	YGL112C	YML015C	YMR005W	YMR236W	YML098W	
YML069W	YGL207W	YOL006C	
YBL003C	YDR174W	YBR247C	
YIL070C	YDR347W	YGR165W	YNL137C	YPL118W	YER050C	
YBR251W	YDR347W	YGR165W	YNL137C	YPL118W	YER050C	
YBR251W	YDR347W	YGR165W	YPL118W	YDR124W	
YBR278W	YCL032W	YPR175W	
YLR150W	YNL262W	YPR175W	
YIL035C	YML069W	YGL207W	YBR279W	YOL145C	
YIL035C	YGL207W	YLR418C	YBR279W	YOL145C	
YDR381W	YCL011C	YML062C	YNL139C	
YCL011C	YDR138W	YHR167W	YML062C	YNL139C	
YDR138W	YHR167W	YML062C	YNL139C	YNL004W	
YDR138W	YHR167W	YML062C	YJR032W	
YDR322W	YNL005C	YDR405W	
YDR381W	YGL120C	YJL050W	YOL115W	
YCR035C	YGL120C	YJL050W	YOL115W	
YAR044W	YBR079C	YDL019C	
YNL248C	YOR340C	YJL076W	
YNL113W	YDL078C	YOR207C	
YDL078C	YKR025W	YOR207C	
YBR109C	YKL122C	YKL129C	
YPL004C	YGR086C	YFR019W	
YLR347C	YNL189W	YDR289C	
YDL140C	YOR151C	YDR289C	
YGL137W	YDL145C	YDR238C	YIL076W	YNL287W	
YMR186W	YPL240C	YDR168W	
YHR064C	YGR285C	YDR234W	
YDR280W	YNL232W	YOR001W	YHR081W	YNR024W	YOL021C	
YDR280W	YNL232W	YOR001W	YHR081W	YOL021C	YGR158C	
YDR280W	YOR001W	YHR081W	YHR069C	YNR024W	YOL021C	
YDR280W	YOR001W	YHR081W	YHR069C	YOL021C	YGR158C	
YOR294W	YEL055C	YJL109C	
YDR324C	YEL055C	YGR128C	YHR196W	YJL109C	YMR093W	YPL126W	
YOR159C	YLR147C	YMR213W	
YLR147C	YMR240C	YMR213W	
YLR147C	YDR416W	YMR213W	
YGR002C	YEL018W	YDR359C	YFL024C	YHR090C	YNL136W	
YGR002C	YEL018W	YDR359C	YFL024C	YNL136W	YJR082C	
YEL018W	YDR359C	YHR090C	YNL136W	YPR023C	
YEL018W	YDR359C	YNL136W	YPR023C	YJR082C	
YKL173W	YHR165C	YDR473C	YER172C	YGR091W	YOR308C	
YKL173W	YHR165C	YER029C	YOR308C	
YKL173W	YBR055C	YDR473C	YER172C	YGR091W	YOR308C	
YKL173W	YBR055C	YER029C	YOR308C	
YGR074W	YPR182W	YER029C	YLR275W	YPL213W	
YGR074W	YER029C	YLR275W	YMR240C	YPL213W	
YIL035C	YML069W	YGL207W	YOR061W	YER164W	YOR039W	
YIL035C	YGL207W	YOR061W	YER164W	YGL019W	YOR039W	
YLR429W	YFR010W	YOR124C	
YLR347C	YNL189W	YOR124C	
YDL014W	YOL139C	YGL049C	
YGR156W	YLR115W	YKL018W	YNL317W	YNL222W	
YOR340C	YOR341W	YPR110C	YPR010C	YHR143W-A	
YCR035C	YNL232W	YKL129C	
YCR035C	YHR069C	YKL129C	
