YAL007C	YAR002C-A	YGL200C
YDR295C	YNL021W	YPR179C	
YDL126C	YGR048W	YDR330W	
YDR363W-A	YFR004W	YBR034C	
YDR363W-A	YER021W	YGL048C	YHL030W	
YKL155C	YOR158W	YNR037C	
YOR115C	YDR472W	YDR407C	
YPR056W	YDR460W	YER171W	
YHR062C	YNL221C	YDR478W	YNL282W	
YGL245W	YMR186W	YDR480W	
YMR186W	YLL026W	YDR480W	
YLR150W	YGL207W	YOL061W	
YGR180C	YER070W	YJL026W	
YGR180C	YJL026W	YLR438C-A	
YER070W	YJL026W	YNL220W	
YDR381W	YIL070C	YER073W	
YHR121W	YPR161C	YML032C	
YER133W	YLR028C	YNR034W	
YLR028C	YMR120C	YNR034W	
YKL135C	YHL019C	YPR029C	YLR170C	
YMR117C	YOL069W	YIL144W	
YGR074W	YPR182W	YLR275W	YPR057W	
YGR074W	YLR275W	YFL018W-A	YPR057W	
YIL148W	YMR276W	YOR042W	
YFR024C	YMR259C	YOR042W	
YGL240W	YHR166C	YKL022C	YFR036W	
YGL240W	YNL172W	YFR036W	
YDR381W	YKR037C	YGL067W	
YHR121W	YOR257W	YGL067W	
YLL022C	YGL086W	YNR060W	
YGL120C	YHR082C	YLR022C	
YKL191W	YIL103W	YER001W	
YMR135C	YIL017C	YIL097W	YGL227W	YBR105C	
YLR347C	YNL189W	YGL232W	
YGR086C	YKL142W	YIL159W	
YDR388W	YGL106W	YGR188C	YMR304W	
YGL106W	YOR326W	YGR188C	
YLR384C	YGR200C	YHR187W	YPL101W	YPL086C	
YGR251W	YKL078W	YNL186W	
YGR261C	YJL024C	YPL195W	
YOR069W	YJL053W	YJL154C	YOR132W	
YHR012W	YJL053W	YJL154C	YOR132W	
YIL070C	YIL093C	YJR113C	YDL045W-A	
YIL093C	YJR113C	YJL063C	YDL045W-A	
YIL148W	YNL084C	YIR006C	
YOR326W	YIL162W	YNL031C	
YHR087W	YIL162W	YNL031C	
YAL033W	YBR257W	YIR015W	
YAL033W	YNL221C	YIR015W	
YER162C	YFL037W	YLR401C	
YDR388W	YJL033W	YLR274W	
YMR125W	YPL178W	YJR041C	YKL214C	
YOR341W	YPR110C	YJR132W	
YBR109C	YLR433C	YKL190W	
YBR109C	YML057W	YKL190W	
YOR206W	YKR024C	YPR131C	
YDL185W	YGR020C	YHR039C-B	YPR036W	YLR090W	
YDR388W	YOR124C	YLR189C	
YGL106W	YLR288C	YOR368W	
YEL023C	YJR009C	YOR368W	
YOR159C	YGR074W	YER029C	YNL092W	
YMR288W	YMR240C	YNL286W	
YLR275W	YMR240C	YNL286W	
YBR017C	YGL122C	YOR374W	
YLR079W	YBR160W	YPR120C	
YGL106W	YHR023W	YPR188C	
YGL055W	YIL148W	YDR510W	
YBR185C	YPL001W	YCL032W	YNL262W	
YBR185C	YCL032W	YNL262W	YPR175W	
YAL033W	YBR167C	YBR257W	YHR062C	
YAL033W	YBR167C	YHR062C	YNL221C	
YBR257W	YHR062C	YDR478W	
YAL034W-A	YIR010W	YMR117C	
YIR010W	YMR117C	YIL144W	
YMR117C	YER018C	YIL144W	
YBL003C	YLR429W	YHL024W	
YBL003C	YIL173W	YNL031C	
YIL173W	YOR157C	YLR258W	
YDR381W	YGR170W	YBR279W	
YDR174W	YMR025W	YBR060C	
YMR025W	YIL071C	YDR179C	
YBL052C	YLR455W	YPR031W	YJR082C	
YDR388W	YIL148W	YHL008C	
YDR388W	YBL097W	YLR272C	
YBL097W	YFR031C	YLR086W	YLR272C	YDR325W	
YBR109C	YBR001C	YOL016C	
YNL054W	YDL182W	YKL028W	
YNL054W	YKL028W	YIL144W	
YNL209W	YIL070C	YKL009W	
YOR261C	YLL040C	YDL147W	
YBR123C	YOR110W	YDR397C	
YPL001W	YBR060C	YLR185W	
YPL001W	YLR185W	YKL028W	
YBR095C	YAL013W	YMR263W	YOL004W	YPL139C	YPL181W	
YDR087C	YBR103W	YKR029C	
YBR109C	YGL242C	YMR109W	YKL129C	
YDR507C	YJR076C	YCR002C	YDL225W	
YJR076C	YCR002C	YDR168W	
YBR127C	YHR039C-B	YKL082C	
YGL011C	YBR173C	YDR400W	
YBR175W	YDR469W	YLR015W	YPL138C	YBR258C	YHR119W	
YBR188C	YGR129W	YLR117C	YDL043C	
YBR188C	YGR129W	YLR117C	YDR416W	
YBR195C	YML102W	YPR018W	
YBR211C	YGR179C	YJR135C	YLR315W	YPR046W	YDR383C	
YBR234C	YJR065C	YDL029W	YLR370C	
YLR249W	YDR363W-A	YFR013W	
YIL035C	YOR061W	YGR196C	
YBR278W	YDR369C	YMR224C	
YDR369C	YMR224C	YER179W	
YCL011C	YHR167W	YML062C	YNL139C	YNL253W	
YHR167W	YML062C	YNL139C	YNL253W	YNL004W	
YOR115C	YDR108W	YDR472W	
YDR308C	YGL127C	YCR081W	YLR071C	
YDR308C	YCR081W	YDR443C	YLR071C	
YCR081W	YDR443C	YPL042C	YLR071C	
YGL207W	YCR082W	YOR023C	
YDR176W	YGR252W	YOR023C	
YDR176W	YCL010C	YOR023C	
YCR082W	YGR252W	YOR023C	
YER133W	YCRX13W	YNR034W	
YBL003C	YBR010W	YDR052C	
YDL043C	YAL032C	YPL151C	
YAL032C	YPL151C	YPR101W	
YAL032C	YDR074W	YDR416W	
YDL043C	YML049C	YMR240C	YOR319W	
YDL147W	YFR010W	YPL242C	
YDL051W	YPL243W	YDL092W	YKL122C	
YDR388W	YOR108W	YKL126W	
YFR052W	YDL097C	YPL082C	
YDL101C	YGR130C	YMR031C	
YDL105W	YCL054W	YDR288W	
YOR294W	YDL105W	YDR288W	YEL019C	
YOL034W	YDL105W	YDR288W	YEL019C	
YLR429W	YJL033W	YDR188W	
YLR429W	YDL143W	YDR188W	
YDL145C	YGR233C	YPL031C	
YDR363W-A	YDL147W	YFR010W	YDR427W	YBL054W	
YDL150W	YNL113W	YNL151C	YJL011C	YKL144C	
YDL150W	YKR025W	YNL151C	YJL011C	YKL144C	
YDR381W	YDR174W	YDL201W	
YDR381W	YHL034C	YDL201W	
YDL216C	YDL132W	YDR179C	
YDL126C	YFR010W	YDR049W	
YDL126C	YDR049W	YKL204W	
YOL139C	YDR049W	YKL204W	
YOL139C	YKL204W	YGR162W	
YDR054C	YDR452W	YGL252C	
YDR099W	YER177W	YNR047W	
YOR294W	YHR052W	YJL122W	
YMR308C	YDR101C	YJL122W	
YDR201W	YGL061C	YGR113W	YKL052C	YKR083C	
YDR201W	YGL061C	YGR113W	YKL052C	YDR320C-A	
YMR186W	YDR214W	YLR216C	
YMR186W	YDR214W	YPR090W	
YMR186W	YDR214W	YMR282C	
YJL052W	YJR009C	YDR219C	
YLR347C	YDR099W	YDR219C	
YHL034C	YGL173C	YGR054W	
YHR121W	YGL106W	YML034W	
YBR109C	YGL106W	YML034W	
YPL240C	YMR186W	YDR444W	
YLR249W	YMR186W	YDR444W	
YLR200W	YEL003W	YGR078C	YJL179W	YML094W	YNL153C	
YPL240C	YMR186W	YNR031C	
YPL093W	YNL110C	YNR053C	
YMR186W	YBR039W	YNL186W	
YIL070C	YNL137C	YER050C	YDR494W	
YDL014W	YMR229C	YER063W	
YER088C	YKL075C	YNL091W	
YEL056W	YLL022C	YER161C	
YGL120C	YPR161C	YER161C	
YGR063C	YIL021W	YER179W	
YIL021W	YOR210W	YER179W	
YKL135C	YFL034W	YPR029C	YLR170C	
YLR347C	YFR010W	YDL175C	
YGL120C	YJL050W	YOL115W	YDL175C	
YDR099W	YDR017C	YNL267W	
YHR102W	YDR017C	YNL267W	
YNL209W	YDR099W	YPL074W	
YKR027W	YMR237W	YLR330W	
YDR381W	YCL011C	YJL006C	
YDR381W	YML112W	YJL006C	
YNL041C	YGL005C	YML071C	
YGL005C	YML071C	YNL051W	
YDR381W	YDR365C	YGL020C	
YPR105C	YNL041C	YML071C	YER157W	
YDR388W	YML010W	YGL206C	
YIL097W	YGL227W	YDL176W	
YKL173W	YBR055C	YGR075C	
YEL026W	YGR086C	YNL251C	
YGR086C	YLR175W	YNL251C	
YGR086C	YPL004C	YNL251C	
YHR193C	YPL037C	YJR011C	
YBR154C	YDL115C	YIL021W	YGR140W	
YLR429W	YJL138C	YCL064C	
YNL284C	YGR220C	YMR193W	
YMR223W	YJL176C	YNR023W	
YHL025W	YOR290C	YPL016W	YJL176C	YNR023W	
YHR121W	YHR118C	YLR325C	
YKL210W	YGR204W	YIL137C	
YGR086C	YPL004C	YKL142W	YLR179C	
YNL189W	YML093W	YIL104C	
YDR507C	YLR314C	YIR022W	
YDL053C	YHR121W	YPL228W	
YDR385W	YPR080W	YJL062W-A	
YDR385W	YOR133W	YJL062W-A	
YDR385W	YMR186W	YJL062W-A	
YMR186W	YBR196C	YJL062W-A	
YBR109C	YGL106W	YOR326W	YLR288C	
YDR388W	YGL106W	YLR288C	
YLR347C	YNL189W	YMR125W	YOR098C	
YOR206W	YMR229C	YLR455W	YLR276C	
YMR229C	YPR161C	YLR276C	
YDR174W	YIL036W	YMR037C	
YBR109C	YGL106W	YOR326W	YPL040C	
YPL146C	YOL098C	YMR275C	
YBR109C	YOL098C	YMR275C	
YOR294W	YMR229C	YNL292W	
YBR094W	YEL015W	YOL149W	
YEL015W	YNL118C	YOL149W	
YPL004C	YKL142W	YOR051C	
YIL035C	YGL207W	YOR052C	
YBR079C	YMR309C	YOR052C	
YDL014W	YMR229C	YOR056C	
YMR229C	YMR290C	YOR056C	
YBR109C	YGL106W	YOR127W	
YAL043C	YDR195W	YGR156W	YKL018W	YOR179C	
YDR195W	YGR156W	YKL018W	YNL222W	YOR179C	
YDR388W	YMR116C	YOR196C	
YBR079C	YOR361C	YMR309C	YPL028W	
YAL001C	YBR123C	YDR362C	YGR047C	YOR110W	
YAL001C	YOR110W	YDL097C	
YAL007C	YJL034W	YMR214W	
YAL007C	YLR150W	YPL128C	
YBL002W	YDL156W	YPR161C	
YBL002W	YDL156W	YNL030W	
YAL016W	YDL188C	YGL190C	YMR273C	
YDL188C	YKL028W	YKR062W	
YAL021C	YCR093W	YNR052C	
YAL021C	YHR193C	YNR052C	
YAR002W	YLR335W	YLR347C	YNL189W	
YNL312W	YAR007C	YDR499W	
YNL312W	YAR007C	YHR164C	YJL173C	
YCR028C-A	YAR007C	YHR164C	
YAR007C	YHR164C	YDR172W	
YBL058W	YHR205W	YDL126C	
YHR205W	YDL126C	YGR048W	
YAR071W	YAL062W	YOR375C	
YAL062W	YOR375C	YNL288W	
YOR375C	YNL288W	YNL045W	
YDR420W	YDL182W	YKL028W	
YBL003C	YNL290W	YOR217W	
YBL003C	YNL290W	YDR224C	
YBL003C	YNL290W	YLR022C	
YBL003C	YNL290W	YOR144C	
YNL290W	YOR217W	YBR087W	
YNL290W	YBR087W	YOR144C	
YBL008W	YBR215W	YJL115W	YOR038C	
YBL008W	YBR215W	YJL115W	YJR140C	
YBL008W	YBR215W	YOR038C	YJR070C	
YBL026W	YDR378C	YER146W	YJR022W	YMR268C	YLR438C-A	
YBR017C	YGL122C	YBR189W	
YHR114W	YOR181W	YBR136W	
YBL084C	YDR118W	YGL240W	YHR166C	YKL022C	YLR127C	
YDR381W	YBL091C	YDL182W	
YDR381W	YBL091C	YJL033W	
YDR388W	YBL091C	YJL033W	
YDR388W	YBL091C	YKL028W	
YBR072W	YBL091C	YDL182W	
YBL091C	YDL182W	YKL028W	
YBR009C	YBR125C	YKR081C	
YBR009C	YBR125C	YPL001W	
YBR125C	YPL001W	YLL004W	
YBR009C	YBR245C	YOR304W	
YBR010W	YCL016C	YBR087W	
YCR082W	YGR252W	YDR448W	
YDR388W	YIL148W	YMR116C	
YDL014W	YBR079C	YPL066W	
YKR048C	YDL182W	YKL101W	
YBR127C	YDL185W	YEL051W	YHR039C-B	
YJL072C	YPR135W	YOL146W	
YDR381W	YBR187W	YPL217C	
YDR099W	YBR212W	YDR304C	
YDR388W	YBR229C	YDR221W	
YML056C	YEL034W	YBR229C	
YKL081W	YKL056C	YPL048W	
YIL070C	YBR251W	YDR337W	YIL093C	YJR101W	YER050C	
YIL070C	YBR251W	YIL093C	YJR101W	YOR158W	YER050C	
YML025C	YCR003W	YPL173W	
YML025C	YPL173W	YDR405W	
YML025C	YPL173W	YMR193W	
YPL173W	YCR071C	YDR405W	
YFL010C	YOR124C	YOR138C	
YER022W	YNR010W	YPL042C	YLR071C	
YER022W	YDR443C	YPL042C	YLR071C	
YDL126C	YKL213C	YLR362W	
YIL035C	YOR061W	YLR407W	
YAL019W	YDL147W	YDL036C	YDL097C	
YDL147W	YDL007W	YHR200W	YDL036C	YDL097C	
YML105C	YPL243W	YDL092W	YKL122C	
YPL243W	YDL092W	YKL122C	YPL210C	
YGL122C	YDL060W	YHR072W-A	
YGL078C	YHR072W-A	YDL208W	
YDR363W-A	YDL097C	YGL094C	
YDR227W	YLR278C	YLR442C	
YOR117W	YDL097C	YLR278C	
YPR056W	YLR005W	YDL108W	YDR460W	YPR025C	
YDL126C	YBR170C	YGR048W	
YDL126C	YBR170C	YNL155W	
YJL148W	YNL113W	YNL248C	YDR026C	
YIL148W	YNL262W	YGR087C	
YOR355W	YDR054C	YML091C	
YPR116W	YML091C	YJL023C	
YDR310C	YOR279C	YOL068C	
YLR117C	YOR279C	YDR416W	
YNL248C	YOL090W	YHR143W-A	
YGR135W	YGR253C	YOL038W	YER012W	YEL061C	
YMR186W	YNL281W	YNL041C	
YBL003C	YBR010W	YDR463W	
YPR034W	YHL025W	YOR290C	YPL016W	YJL176C	
YLR249W	YOR086C	YOR027W	
YER025W	YJR007W	YDR211W	YGR083C	YKR026C	YOR260W	
YER025W	YJR007W	YDR211W	YGR083C	YLR291C	YOR260W	
YCR009C	YDR388W	YLR429W	YDR243C	
YDR388W	YCL014W	YDR243C	
YDR388W	YLR429W	YNL082W	YLR218C	
YGL120C	YDR365C	YGR145W	YNR054C	
YDR365C	YDR299W	YGR145W	
YDR496C	YHR066W	YDR312W	
YHR066W	YKR024C	YDR312W	
YDR381W	YIL070C	YDR462W	
YDR381W	YDR462W	YNL252C	
YDR322W	YNL005C	YDR462W	YNL252C	
YNL005C	YNL284C	YDR462W	
YHR121W	YML112W	YDR419W	
YDR477W	YDR419W	YER027C	YGL115W	
YGR285C	YDR457W	YER149C	
YLL021W	YDR457W	YER149C	
YDL014W	YLR429W	YEL001C	
YDR174W	YLR429W	YEL001C	
YMR135C	YDR255C	YIL097W	YGL227W	
YEL012W	YDR255C	YIL097W	
YDL014W	YGL120C	YEL054C	
YDL014W	YDL060W	YEL054C	
YDR155C	YMR186W	YFR048W	
YMR186W	YBR196C	YFR048W	
YBL002W	YBL003C	YBR010W	YDR174W	YGL035C	
YIL035C	YOR061W	YHR131C	
YDR388W	YIL148W	YHR131C	
YDR388W	YER125W	YHR131C	
YAL029C	YGL106W	YGR003W	
YBR109C	YGL106W	YOR326W	YGR003W	
YIL035C	YOR061W	YGL019W	YOR039W	YMR172W	
YOR157C	YLR258W	YJL137C	
YPR034W	YGR056W	YJL137C	
YFR015C	YLR258W	YJL137C	
YDL014W	YMR229C	YGR103W	YOR272W	
YDL014W	YGR103W	YMR049C	YOR272W	
YOR294W	YMR229C	YGR103W	YOR272W	
YOR294W	YGR103W	YMR049C	YOR272W	
YGL011C	YGR135W	YOL146W	
YMR229C	YHR066W	YKR024C	YFR001W	
YMR229C	YPR161C	YFR001W	
YDR381W	YKR048C	YIR008C	
YDR507C	YKR048C	YIR008C	
YKR048C	YNL102W	YIR008C	
YDL014W	YLR429W	YLR221C	
YDL014W	YLR197W	YOL144W	YLR221C	
YDL014W	YLR221C	YOL076W	
YLR429W	YJL138C	YLR221C	
YDL185W	YGR020C	YHR039C-B	YPR036W	YPL201C	
YAL029C	YGL106W	YKL124W	
YDR388W	YGL106W	YKL124W	
YGL106W	YOR326W	YKL124W	
YGL106W	YJL052W	YKL124W	
YGL106W	YBR079C	YKL124W	
YLR347C	YDL215C	YLR082C	
YPR105C	YML071C	YNL051W	
YDL185W	YGR020C	YHR039C-B	YPR036W	YMR027W	
YLR175W	YHL034C	YMR070W	
YDR381W	YDR174W	YMR123W	
YBL058W	YDL126C	YNL155W	
YDL014W	YLR197W	YOR310C	YPR178W	YOR078W	
YDL014W	YOR310C	YPR178W	YPR137W	YOR078W	
YDR381W	YAL034W-A	YIR010W	
YAL036C	YDL040C	YDR303C	
YAR003W	YBR175W	YDR469W	YLR015W	YPL138C	YHR119W	
YBR175W	YDR469W	YLR015W	YPL138C	YHR119W	YKL018W	
YBL002W	YPR184W	YDR224C	
YBL003C	YBR215W	YJL115W	
YBL017C	YGL048C	YDL097C	
YBL075C	YFR024C	YPL263C	
YPL263C	YNL061W	YLR002C	
YBL084C	YGL240W	YLR127C	YNL172W	
YBR009C	YBR010W	YNL206C	YNL030W	YNL031C	
YDR388W	YGL106W	YBR030W	
YDR388W	YBR030W	YMR186W	
YGL106W	YOR326W	YBR030W	
YBL003C	YGL049C	YML017W	
YGL049C	YLR175W	YML017W	
YGL049C	YML017W	YOL139C	YGR162W	
YDL040C	YML007W	YDR303C	
YML007W	YEL018W	YHR090C	
YDR388W	YGR086C	YLR429W	YNL244C	
YBR079C	YOR361C	YDR429C	YNL244C	
YDR155C	YBR103W	YIL112W	
YDL053C	YPR052C	YDR071C	
YDL053C	YDR071C	YDR365C	
YDR381W	YLR429W	YBR130C	
YAL029C	YGL106W	YBR130C	
YBR109C	YGL106W	YLR429W	YBR130C	
YNL209W	YBR135W	YDR099W	
YNL209W	YBR135W	YLR109W	
YBR135W	YLR079W	YDL155W	
YMR186W	YDR127W	YOL013C	
YDR190C	YOR310C	YHR034C	YCR060W	
YDR190C	YMR186W	YHR034C	YCR060W	
YPL240C	YMR186W	YHR034C	
YMR309C	YHR034C	YCR060W	
YBR234C	YJR065C	YIL062C	
YIL070C	YBR251W	YBR146W	YDR337W	YGR165W	YNL137C	YER050C	
YBR146W	YGR165W	YNL137C	YER050C	YGR084C	
YIL070C	YBR251W	YDR347W	YGR165W	YNL137C	YPL118W	YER050C	
YBR251W	YDR347W	YGR165W	YPL118W	YDR124W	
YOR001W	YCR035C	YDR280W	YGR195W	YNL232W	YOR076C	YGR095C	
YOR001W	YCR035C	YDR280W	YGR195W	YNL232W	YOR076C	YGR158C	
YCR058C	YJL069C	YLR129W	YLR222C	YLR409C	
YDR381W	YJL069C	YDR449C	
YJL069C	YLR129W	YLR222C	YLR409C	YDR449C	
YLR129W	YLR222C	YLR409C	YNR054C	
