YAL040C	YCL030C	YDL029W	YDL047W	YDR018C	YER155C	YER167W	YFR040W	YJL098W	YKL092C	YKR028W	YKR042W	YKR072C	YLL024C	YOR188W	
YAL040C	YBR234C	YCL030C	YDL047W	YER155C	YER167W	YFR040W	YHL027W	YJL098W	YKL092C	YKR028W	YKR072C	YLL024C	YPL234C	
YGR082W	YGR193C	YLR157C	YLR199C	YMR060C	YMR203W	YMR263W	YNL018C	YNL070W	YNL121C	YNL131W	YNL330C	YPR133W-A	
YBL084C	YDR118W	YER179W	YFR036W	YGL240W	YHR166C	YKL022C	YLL051C	YLR102C	YLR127C	YLR451W	YMR092C	YNL172W	
YBL084C	YDL008W	YDR118W	YDR260C	YER179W	YFR036W	YGL240W	YHR166C	YIR025W	YLR102C	YLR127C	YLR451W	YOR249C	
YBR130C	YCR002C	YDL225W	YDR507C	YHR107C	YJR076C	YLL021W	YLR314C	YNL233W	YNL293W	YOL112W	YOR084W	YPL066W	
YBR254C	YCL058C	YDL058W	YDR108W	YDR407C	YDR472W	YGL219C	YGR166W	YGR234W	YJR116W	YML077W	YOR115C	
YDL008W	YDR260C	YFR036W	YGL240W	YIR025W	YKL022C	YLL051C	YLR102C	YLR127C	YMR092C	YNL172W	YOR249C	
YAL040C	YBR234C	YDL047W	YER167W	YFR040W	YHL027W	YJL098W	YKL092C	YKR028W	YKR072C	YLL024C	YMR028W	
YAL040C	YCL030C	YDL047W	YER155C	YFR040W	YGL229C	YJL098W	YKL092C	YKR028W	YKR072C	YLL024C	YOL145C	
YCR002C	YDL225W	YDR507C	YER040W	YER118C	YHR107C	YJR076C	YLR096W	YLR314C	YNL139C	YOR084W	YOR156C	
YBL025W	YBR093C	YCL058C	YDR246W	YFL005W	YGL219C	YGR166W	YKR068C	YML077W	YNL287W	YOR115C	
YBL084C	YFR036W	YGL240W	YHR118C	YHR166C	YKL022C	YLL051C	YLR127C	YLR451W	YNL172W	YOR249C	
YBL025W	YBR254C	YDR108W	YDR407C	YGL219C	YGR166W	YGR234W	YJR116W	YMR218C	YOR115C	YOR312C	
YBL084C	YDR118W	YER161C	YFR036W	YHR166C	YLL051C	YLR102C	YLR127C	YLR451W	YNL172W	YOR249C	
YDR118W	YER179W	YFR036W	YGL240W	YHR166C	YLL051C	YLR102C	YLR127C	YLR451W	YMR092C	YOR249C	
YAL005C	YAL040C	YCL030C	YDL047W	YER155C	YER167W	YFR040W	YJL098W	YKR028W	YLL024C	YOR188W	
YBL084C	YDL008W	YDR118W	YFR036W	YGL240W	YKL022C	YLL051C	YLR102C	YLR127C	YMR092C	YNL172W	
YCR002C	YDL225W	YDR507C	YHR107C	YJR076C	YLL021W	YLR314C	YNL233W	YOR084W	YOR156C	YPL066W	
YBL084C	YDL008W	YDR118W	YFR036W	YGL240W	YHR118C	YHR166C	YKL022C	YLL051C	YLR102C	YLR451W	
YBL025W	YBR254C	YCL058C	YDR472W	YEL036C	YGR166W	YKL139W	YML077W	YMR218C	YOR115C	YOR197W	
YBL084C	YDR118W	YDR260C	YFR036W	YGL240W	YHR166C	YLL051C	YLR102C	YMR092C	YOR249C	
YBL084C	YDR260C	YFR036W	YGL240W	YIR025W	YKL022C	YLL051C	YLR127C	YNL172W	YOR249C	
YCR087C-A	YCR087W	YHL003C	YHR184W	YJR131W	YKL008C	YLR070C	YML064C	YMR298W	YNL107W	
YDL008W	YFR036W	YGL240W	YHR166C	YIR025W	YLL051C	YLR102C	YLR451W	YMR092C	YNL172W	
YAL021C	YAR007C	YBR173C	YDL042C	YDR227W	YJL076W	YJL173C	YLR442C	YML032C	YNL312W	
YDL008W	YDR118W	YFR036W	YGL240W	YIR025W	YLR102C	YLR127C	YMR092C	YNL172W	YOR249C	
YDL008W	YFR036W	YGL240W	YHR118C	YKL022C	YLL051C	YLR102C	YMR092C	YNL172W	YOR249C	
YBL025W	YCL058C	YDR108W	YDR407C	YDR472W	YGL219C	YGR166W	YGR234W	YML077W	YOR115C	
YBR172C	YCR067C	YIL004C	YIL109C	YKL074C	YLR026C	YLR268W	YOR075W	YPL085W	YPR181C	
YAL040C	YFL009W	YGR092W	YKL092C	YLL024C	YLR079W	YLR127C	YMR199W	YPL256C	YPR120C	
YBR270C	YGR058W	YHR077C	YIL105C	YJL162C	YLR433C	YML057W	YMR068W	YNL047C	YPL059W	
YFR036W	YGL240W	YHR118C	YHR166C	YKL022C	YLL051C	YLR102C	YLR127C	YLR451W	YMR092C	
YDR293C	YDR497C	YER067W	YGL158W	YHR186C	YJR066W	YKL194C	YLR113W	YNL006W	YPL180W	
YBL084C	YDL008W	YDR118W	YER179W	YFR036W	YGL240W	YHR166C	YLR102C	YLR127C	YLR451W	
YDL235C	YDR497C	YGL158W	YIL147C	YJL128C	YLR006C	YLR113W	YNR031C	YOR208W	YPL180W	
YBL025W	YCL058C	YDR108W	YDR189W	YDR246W	YGL219C	YGR166W	YGR234W	YKR068C	YOR115C	
YAL040C	YCL030C	YDL047W	YER155C	YER167W	YFR040W	YJL098W	YKR028W	YKR072C	YOL145C	
YAL040C	YCL030C	YDL047W	YER155C	YFR040W	YJL098W	YKL092C	YKR072C	YLL024C	YMR028W	
YAL043C	YBR205W	YDR390C	YJR093C	YKR002W	YLR115W	YMR061W	YMR182C	YNL317W	YPR107C	
YAL023C	YDL095W	YER014C-A	YGR036C	YJR143C	YKL190W	YKL212W	YOR321W	YOR332W	
YBL084C	YDR118W	YFR036W	YGL240W	YHR166C	YLL051C	YLR102C	YLR451W	YNL172W	
YBR172C	YDL188C	YDR075W	YDR498C	YIL109C	YLR268W	YOR075W	YOR380W	YPR040W	
YCR002C	YDL225W	YDR085C	YDR507C	YHR107C	YLL021W	YLR314C	YNL233W	YPL066W	
YAL001C	YBR172C	YDR498C	YER148W	YGL241W	YGR246C	YKL074C	YLR268W	YOR075W	
YDL029W	YDR018C	YDR063W	YIL062C	YJR065C	YKL013C	YKR042W	YLR370C	YNR035C	
YBL016W	YDL159W	YDR480W	YEL048C	YGL178W	YGR040W	YHR084W	YIL136W	YPL049C	
YDL088C	YFR002W	YJL039C	YJL057C	YML031W	YML103C	YMR129W	YMR153W	YNL234W	
YBL025W	YCL058C	YDR108W	YDR246W	YDR407C	YGL219C	YGR166W	YGR234W	YIR040C	
YBR050C	YCL046W	YDR028C	YDR477W	YER027C	YER040W	YGL115W	YGL208W	YML110C	
YBL025W	YDR108W	YDR246W	YDR407C	YGL219C	YGR166W	YGR234W	YMR218C	YOR115C	
YBR172C	YGL200C	YHR098C	YLR057W	YLR268W	YML012W	YNL049C	YPL218W	YPR181C	
YDL088C	YFR002W	YGL172W	YGR120C	YJL039C	YJL057C	YMR153W	YNL234W	YOR353C	
YAL023C	YDL095W	YER014C-A	YJR143C	YKL080W	YKL190W	YMR211W	YOR002W	YOR321W	
YBR193C	YDL005C	YDL154W	YGL025C	YIL021W	YNR010W	YOL005C	YOL135C	YOR174W	
YBR047W	YDL235C	YER118C	YGL158W	YJL128C	YLR096W	YLR113W	YNL139C	YNR031C	
YAL014C	YAL030W	YBL050W	YBR080C	YDR468C	YGR009C	YJR063W	YLR093C	YPL232W	
YBR103W	YDR390C	YGL023C	YJR093C	YKR002W	YLR115W	YMR061W	YOL123W	YPR107C	
YGL019W	YGR068C	YIL035C	YIL118W	YLR114C	YNL088W	YOR010C	YOR039W	YOR061W	
YAL043C	YDR301W	YDR392W	YJR093C	YKR002W	YMR182C	YNL317W	YOR194C	YPR107C	
YDL088C	YER026C	YJL057C	YML031W	YMR129W	YMR153W	YMR298W	YNL234W	YOR028C	
YBL068W	YDR285W	YER099C	YGR135W	YHL011C	YKL181W	YNL036W	YOL061W	YOL069W	
YDL008W	YDR260C	YFR036W	YGL240W	YHR166C	YIR025W	YLL051C	YLR451W	YOR249C	
YDR006C	YER014C-A	YGR036C	YKL093W	YKL190W	YKL212W	YMR081C	YOR239W	YOR332W	
YDR100W	YDR425W	YDR468C	YGL161C	YGL198W	YGR172C	YGR177C	YMR215W	YPL095C	
YBR193C	YDL005C	YGL025C	YIL021W	YLR266C	YNL113W	YOL135C	YOR151C	
YBL079W	YGL016W	YJR132W	YKL058W	YLR335W	YOR098C	YOR160W	
YDL006W	YDL230W	YDL235C	YIL053W	YIL147C	YNR031C	YOR208W	
YBL059W	YCR099C	YGR203W	YGR205W	YGR262C	YLL026W	YLR210W	
YBL058W	YBR009C	YBR010W	YDR265W	YDR332W	YMR074C	YNL031C	
YDL101C	YGL094C	YGR180C	YHR135C	YJL026W	YKL025C	YNL116W	
YBL025W	YBR254C	YDR246W	YGL219C	YGR166W	YJR116W	YOR115C	
YAL049C	YBR108W	YGR058W	YGR136W	YIL108W	YLR429W	YNL094W	
YDR363W-A	YGL233W	YGR152C	YIL068C	YLR166C	YMR002W	YPR055W	
YDR293C	YER067W	YHR186C	YJR066W	YKL203C	YMR200W	YPL180W	
YBL079W	YGL016W	YIL115C	YJR132W	YNL004W	YOR098C	YOR160W	
YFR002W	YGR119C	YJL041W	YJL057C	YML103C	YMR129W	YPL212C	
YDL088C	YHL003C	YJL057C	YMR129W	YMR153W	YMR298W	YNL234W	
YLR157C	YMR203W	YNL070W	YNL121C	YNL131W	YOR045W	YPR133W-A	
YDR357C	YDR469W	YEL005C	YEL013W	YGL079W	YJL061W	YNL086W	
YDL186W	YER188W	YJR102C	YLR417W	YLR452C	YLR457C	YMR077C	
YDR166C	YDR363W-A	YER008C	YGL233W	YGR009C	YLR166C	YPL029W	
YDL215C	YGL150C	YHL046C	YNL199C	YOR355W	YPR048W	YPR070W	
YBR229C	YHR101C	YJR066W	YKL203C	YMR068W	YNL006W	YPL180W	
YDL235C	YGL158W	YHR186C	YJL128C	YJR066W	YLR113W	YPL180W	
YAL016W	YDR200C	YKR055W	YLR238W	YMR029C	YMR052W	YNL127W	
YBR172C	YIL004C	YIL109C	YKL074C	YLR268W	YOR075W	YPR181C	
YDR070C	YHR178W	YIL072W	YLR263W	YMR020W	YOR171C	YOR351C	
YDL008W	YER045C	YHR166C	YIR025W	YLR451W	YMR308C	YOR249C	
YAL004W	YER115C	YHR149C	YJL189W	YLR448W	YML109W	YMR273C	
YBL001C	YDR293C	YER067W	YJR066W	YNL006W	YOL078W	YPL180W	
YBR017C	YBR216C	YDR192C	YER107C	YGL092W	YKL068W	YNR069C	
YBR079C	YMR146C	YMR309C	YNL047C	YNL243W	YOR361C	YPR041W	
YCL030C	YDL047W	YER155C	YFR040W	YJL098W	YKR028W	YKR072C	
YEL013W	YGR120C	YHR128W	YHR195W	YNL086W	YNR025C	YPR185W	
YBR085W	YDL143W	YDR129C	YDR212W	YIL142W	YJL014W	YLR030W	
YER083C	YHR179W	YJL090C	YJR048W	YKL108W	YNL334C	YPR175W	
YBL081W	YDR123C	YKL017C	YLR056W	YNL279W	YOL108C	YOR167C	
YDL217C	YDR172W	YGL177W	YHR005C-A	YJL054W	YLL006W	YOR297C	
YDR541C	YER128W	YGR122W	YLR025W	YMR154C	YOR275C	YPR173C	
YCL058C	YDR246W	YDR407C	YGL219C	YGR166W	YKR068C	YMR218C	
YDL089W	YER074W-A	YGR004W	YLR324W	YML008C	YNL263C	YPR028W	
YDL059C	YFL059W	YMR096W	YMR322C	YNL260C	YNL333W	YNL334C	
YDL044C	YDR505C	YER144C	YGR061C	YIL054W	YLL051C	YLR386W	
YBL079W	YEL005C	YER105C	YJL061W	YLR335W	YML103C	YML107C	
YDL139C	YGL153W	YGR263C	YIR034C	YLR284C	YOL105C	YOR180C	
YFL026W	YGR141W	YHR005C	YHR016C	YJL080C	YLR286C	YMR265C	
YBL025W	YCL058C	YDR108W	YDR246W	YDR407C	YGL219C	YGR166W	
YGR140W	YIR017C	YJR060W	YKL089W	YMR168C	YNL103W	YNL232W	
YBR103W	YDL220C	YDR227W	YER151C	YLR442C	YMR106C	YMR284W	
YDR392W	YGL016W	YGL058W	YKL058W	YOL080C	YOR194C	YPL082C	
YDR357C	YEL005C	YGL079W	YGR107W	YGR113W	YLR329W	YPR049C	
YBL079W	YER105C	YGL016W	YJR132W	YML107C	YOR098C	YOR160W	
YEL002C	YGL226C-A	YGR227W	YIL097W	YOR002W	YOR085W	YPL227C	
YBR038W	YDR480W	YGR040W	YGR209C	YHR039C	YPL020C	YPL049C	
YAL004W	YDL011C	YEL023C	YHR149C	YJL189W	YML109W	YOR046C	
YDR293C	YER067W	YHR186C	YJR066W	YMR068W	YNL006W	YPL180W	
YCL030C	YDL047W	YDL134C	YDL188C	YDR075W	YMR028W	YPR040W	
YAL049C	YBR133C	YDL036C	YDL154W	YER087W	YJL187C	YNL094W	
YBR126C	YDL022W	YDR074W	YGL035C	YKL128C	YML100W	YMR261C	
YDL081C	YDL130W	YDR382W	YJR012C	YLR287C	YLR340W	YPL005W	
YAL009W	YER105C	YFR002W	YGL100W	YML103C	YML107C	YMR129W	
YBR217W	YFL040W	YLR031W	YLR390W-A	YML055W	YMR159C	YPL149W	
YAL024C	YBL075C	YLL016W	YLR310C	YNR037C	YOR101W	YPR169W	
YDL143W	YDR212W	YJL014W	YLR030W	YML085C	YNL326C	YOL086C	
YAL047C	YCL046W	YGL115W	YJL113W	YJL114W	YML110C	YMR291W	
YDL235C	YGL158W	YIL147C	YJL128C	YLR113W	YNR031C	YOR208W	
YAL011W	YDR098C	YER037W	YER052C	YGL071W	YGR168C	YIR018W	
YBR165W	YDR054C	YDR139C	YLR151C	YLR306W	YPL003W	YPR066W	
YBL106C	YGR167W	YHR161C	YLR206W	YMR183C	YPL077C	YPL232W	
YAL058W	YGL084C	YGR254W	YKL194C	YLR308W	YNL064C	YNR036C	
YBR103W	YDL042C	YDR227W	YER151C	YLR442C	YMR061W	YMR284W	
YBR283C	YHR007C	YHR045W	YLR311C	YMR264W	YNL231C	YPL170W	
YBR178W	YDR267C	YHR073W	YHR122W	YHR152W	YLR132C	YPR152C	
YAL040C	YER155C	YER167W	YFR040W	YJL098W	YKR028W	YKR072C	
YBL021C	YGL237C	YGR146C	YGR236C	YHL006C	YKL109W	YOR358W	
YAL016W	YBR230C	YDL134C	YGL100W	YNL042W	YNL127W	YOR014W	
YBR091C	YDL217C	YEL020W-A	YHR005C-A	YJL054W	YOR297C	YOR334W	
YAL014C	YAL030W	YDR164C	YGR009C	YGR247W	YOR327C	YPL232W	
YAL043C	YDR390C	YKR002W	YLR115W	YMR182C	YNL317W	YPR107C	
YER047C	YHR060W	YJL110C	YKR034W	YNL021W	YOR270C	YPL019C	
YBL021C	YGL237C	YGR236C	YHL006C	YLR046C	YNL021W	YOR358W	
YDR174W	YIL013C	YJL058C	YML015C	YML098W	YMR077C	YPR104C	
YDL195W	YDR299W	YGR191W	YHR098C	YNL049C	YPL085W	YPR181C	
YBR205W	YDR100W	YGL161C	YHR105W	YOR034C	YPL095C	YPL246C	
YDL235C	YGL158W	YIL053W	YJL128C	YLR113W	YOR208W	YPL180W	
YBL084C	YDR118W	YFR036W	YGL240W	YLL051C	YLR102C	YNL172W	
YDL088C	YER026C	YJL057C	YML031W	YMR129W	YMR153W	YNL234W	
YBR087W	YBR088C	YER173W	YJR068W	YLR390W	YNL262W	YOR217W	
YDL161W	YGL094C	YIL002C	YIR006C	YNL106C	YOR105W	YOR109W	
YBL068W	YER099C	YER163C	YGR135W	YHL011C	YKL181W	YOL061W	
YDL081C	YDL130W	YDR367W	YDR382W	YGR209C	YLR287C	YLR340W	
YDL088C	YGL170C	YJL057C	YML103C	YMR129W	YMR153W	YNL234W	
YBR205W	YDR100W	YER074W-A	YGL161C	YHR105W	YNL263C	YPL246C	
YBL016W	YBR083W	YDR480W	YHR084W	YIL169C	YKL043W	YPL049C	
YBL033C	YER032W	YFR003C	YJR110W	YLR456W	YPR050C	YPR172W	
YBR274W	YER077C	YFR015C	YIL045W	YJL137C	YLR258W	YLR273C	
YBR170C	YBR171W	YCL057W	YDL020C	YGR032W	YJL034W	YOR254C	
YDR027C	YDR259C	YDR484W	YGR066C	YJL029C	YML049C	YPL218W	
YDL246C	YER045C	YJR037W	YJR159W	YMR308C	YOR020C	YPL133C	
YBR133C	YDL036C	YDL154W	YER087W	YFL003C	YJL187C	YPL016W	
YBR194W	YHR073W	YHR152W	YLR132C	YOR173W	YOR252W	YPR152C	
YDR118W	YFR036W	YGL240W	YHR166C	YLR102C	YLR451W	YMR092C	
YDL186W	YJR102C	YLR417W	YLR452C	YML101C	YMR077C	YPL002C	
YDL195W	YGL200C	YGR057C	YIL109C	YML012W	YNL049C	YPR181C	
YER099C	YGR135W	YGR143W	YHL011C	YJR099W	YKL181W	YOL061W	
YBR172C	YCR028C	YGL145W	YLR268W	YMR020W	YOR075W	YPR181C	
YDR200C	YEL069C	YLR238W	YMR029C	YMR052W	YNL127W	YPR110C	
YCR002C	YDL225W	YDR507C	YJR076C	YLR254C	YLR314C	YOR084W	
YBR091C	YDL217C	YDR172W	YEL020W-A	YHR005C-A	YMR056C	YOR297C	
YDR383C	YEL049W	YGR269W	YLR172C	YOL104C	YOR159C	YPR182W	
YDR363W-A	YER008C	YIL068C	YOR122C	YPL029W	YPL179W	YPR055W	
YDL204W	YER040W	YER118C	YLR096W	YMR110C	YNL139C	YOL065C	
YDR482C	YGL028C	YGL049C	YGR162W	YKR059W	YOL139C	YOR276W	
YBR235W	YGL027C	YIL022W	YJL143W	YJR045C	YMR214W	YNR017W	
YDR293C	YDR497C	YER067W	YGL158W	YJR066W	YLR113W	YPL180W	
YBR172C	YGR013W	YKL012W	YKL074C	YLR357W	YML046W	YPL016W	
YAR009C	YBR279W	YCL008C	YDR174W	YHL002W	YNL015W	YNR006W	
YDL070W	YER133W	YGL063W	YGL075C	YHR100C	YJL042W	YLR399C	
YDR006C	YER014C-A	YKL093W	YKL190W	YKL212W	YMR081C	YMR211W	
YBL025W	YDL020C	YDL156W	YDR273W	YFR052W	YHR200W	YJR133W	
YCR086W	YDR061W	YER106W	YGR063C	YKL077W	YML095C	YPL022W	
YCR007C	YDR100W	YGL161C	YGR209C	YIL004C	YPL020C	YPL095C	
YGL049C	YGR162W	YJL138C	YKR059W	YOL139C	YOR204W	YOR276W	
YGL240W	YHR166C	YLR102C	YLR127C	YLR451W	YMR092C	YOR249C	
YDL088C	YDL154W	YFL003C	YGL170C	YJL057C	YMR153W	YNL234W	
YBL078C	YBR217W	YHR171W	YLR031W	YMR183C	YNL212W	YNR007C	
YDR164C	YER008C	YIL068C	YLR166C	YMR002W	YPL179W	YPR055W	
YAL047C	YDR350C	YDR356W	YHR172W	YLR212C	YLR429W	YNL126W	
YDL002C	YER092W	YGL150C	YGL220W	YLR052W	YLR385C	YLR424W	
YDR200C	YFR008W	YLR238W	YLR395C	YMR029C	YMR052W	YNL127W	
YDL180W	YER188W	YJR102C	YLR417W	YLR452C	YMR077C	YPL002C	
YDL062W	YDR301W	YJR093C	YKR002W	YLR277C	YLR437C	YNL317W	
YBL104C	YCL025C	YGL147C	YJL062W	YNL054W	YOL044W	YPL080C	
YEL005C	YEL013W	YGL180W	YGR253C	YHR195W	YNL086W	YPR185W	
YBL079W	YGL016W	YGL058W	YKL058W	YLR335W	YOR020C	YOR194C	
YBL025W	YGR133W	YGR135W	YGR143W	YKL176C	YMR270C	YOL023W	
YDR122W	YGL156W	YHR113W	YOL082W	YPL091W	YPR145W	
YFL040W	YFL068W	YGR097W	YKL116C	YLR389C	YMR159C	
YBR203W	YDR468C	YKL006C-A	YKL196C	YMR018W	YMR197C	
YJR019C	YKL011C	YKR026C	YLR432W	YMR269W	YPL283C	
YER067W	YJR066W	YKL203C	YMR068W	YNL006W	YPL180W	
YBR239C	YDR313C	YER045C	YMR308C	YOR229W	YPL133C	
YAL043C	YDR301W	YJR093C	YLR115W	YMR182C	YNL317W	
YER045C	YGR213C	YGR247W	YMR195W	YMR308C	YOR059C	
YAR014C	YBR045C	YER054C	YOL154W	YOR178C	YOR329C	
YFL036W	YGL226C-A	YGR064W	YGR227W	YOL009C	YOR002W	
YLR093C	YLR148W	YLR396C	YMR231W	YOR106W	YPL045W	
YER083C	YJL090C	YKL108W	YNL262W	YNL334C	YPR175W	
YBL046W	YBR186W	YDR285W	YGL054C	YNL201C	YPR101W	
YAR008W	YBL051C	YDR140W	YIL151C	YKR096W	YLR121C	
YBR137W	YDR349C	YOL016C	YOL111C	YOR007C	YOR164C	
YHR073W	YHR152W	YJR148W	YOR173W	YOR252W	YPR152C	
YAR018C	YBL081W	YDR123C	YKL017C	YOL108C	YOR167C	
YDR293C	YJR066W	YKL203C	YNL006W	YOL078W	YPL268W	
YDL108W	YGR236C	YOL156W	YOR151C	YOR210W	YOR299W	
YDL210W	YGL230C	YGR236C	YKL110C	YOR161C	YOR358W	
YGR191W	YHR098C	YNL049C	YPL085W	YPL218W	YPR181C	
YBR006W	YDL130W	YDR367W	YDR382W	YLR287C	YLR340W	
YAL009W	YGL100W	YGR161C-C	YHR004C	YKL057C	YML103C	
YFL010C	YJL162C	YOL106W	YPL059W	YPR054W	YPR191W	
YGL107C	YJR070C	YKL086W	YMR269W	YNL141W	YOR309C	
YBR233W	YER165W	YGR250C	YIL123W	YIR001C	YJL189W	
YBR205W	YDR301W	YKR002W	YMR061W	YNL317W	YPR107C	
YGL107C	YGR142W	YJR070C	YLR225C	YMR269W	YNL141W	
YBL080C	YCR106W	YJL096W	YKL191W	YNL171C	YOL075C	
YCR052W	YFR037C	YIL126W	YJR031C	YLR321C	YMR091C	
YAR009C	YBR279W	YCL008C	YHL002W	YNL015W	YNL239W	
YDL006W	YDL230W	YDL235C	YIL147C	YLR006C	YOR208W	
YBR288C	YER079W	YHR135C	YNL116W	YNL154C	YNR006W	
YCR066W	YGL016W	YGL058W	YGR184C	YOL080C	YOR194C	
YBR087W	YBR088C	YER173W	YKL213C	YLR390W	YOR217W	
YDR070C	YHR178W	YIL072W	YLR263W	YNL252C	YOR351C	
YJR060W	YKL049C	YKL089W	YMR168C	YNL103W	YNL232W	
YBR165W	YDR054C	YDR139C	YFL009W	YLR306W	YPR066W	
YEL060C	YGL107C	YJR070C	YML031C-A	YMR269W	YNL141W	
YBR193C	YDL154W	YFL003C	YGL025C	YGL170C	YOL135C	
YDL133W	YDR200C	YEL069C	YLR238W	YMR052W	YPR110C	
YDL089W	YGR004W	YGR026W	YLR324W	YMR316C-B	YPR028W	
YBR055C	YDL064W	YDR028C	YHR165C	YMR235C	YPR082C	
YEL037C	YER012W	YFR050C	YLR441C	YMR276W	YOR157C	
YBR047W	YCR073C	YDL235C	YJL128C	YLR006C	YNR031C	
YBL079W	YER105C	YFR002W	YML103C	YML107C	YMR129W	
YAL058W	YKL197C	YLR057W	YNL329C	YNR036C	YOR236W	
YAL047C	YJL113W	YJL114W	YLR429W	YNL094W	YPL032C	
YBR135W	YBR252W	YDR459C	YER102W	YFL017C	YOL059W	
YDL226C	YER123W	YKR088C	YML008C	YPR113W	YPR183W	
YBR087W	YDL102W	YHR118C	YJR068W	YMR075C-A	YOR217W	
YEL013W	YGR174C	YHR195W	YKL061W	YNL299W	YOL115W	
YGR249W	YIL033C	YJL164C	YLR177W	YOL063C	YPL203W	
YBR034C	YBR185C	YDR432W	YER017C	YGR165W	YMR089C	
YBL081W	YKL017C	YMR317W	YNL279W	YOL108C	YOR167C	
YAL005C	YIR042C	YMR186W	YNL064C	YOR027W	YPL240C	
YBL079W	YDR395W	YGL016W	YJR132W	YLR335W	YOR098C	
YBL058W	YDR265W	YDR332W	YGL033W	YGL183C	YMR074C	
YDL002C	YDR098C	YER092W	YGL150C	YGL220W	YLR052W	
YDR394W	YGR232W	YIL007C	YIL097W	YOR117W	YOR259C	
YAL036C	YDL065C	YDR292C	YDR329C	YGR242W	YMR163C	
YBR091C	YDL217C	YHR005C-A	YJL054W	YMR056C	YOR297C	
YDR216W	YGL138C	YGR123C	YMR021C	YNR032W	YOR176W	
YDL217C	YDR172W	YGL177W	YHR102W	YJL054W	YOR297C	
YAL021C	YAR007C	YJL173C	YML032C	YNL312W	YPL022W	
YBL093C	YIL156W	YKL129C	YKR069W	YMR109W	YOR247W	
YBR058C	YGR268C	YOL059W	YOL064C	YOL156W	YOR138C	
YAR014C	YBR045C	YER054C	YER158C	YIL045W	YOL154W	
YDL215C	YER186C	YKR026C	YLR081W	YLR432W	YMR269W	
YDR527W	YIL092W	YLR080W	YNL266W	YNR040W	YOL131W	
YBR059C	YDL044C	YER144C	YGR056W	YGR199W	YML014W	
YDL070W	YGL063W	YGL075C	YGL093W	YJR112W	YLR086W	
YDR001C	YER186C	YKR026C	YLR081W	YLR270W	YMR269W	
YDL180W	YDL186W	YER188W	YJR102C	YLR417W	YLR452C	
YBR194W	YHR152W	YOR173W	YOR252W	YPR118W	YPR152C	
YDR435C	YFL040W	YFL068W	YGR097W	YLR349W	YMR159C	
YFL021W	YGL011C	YJR001W	YJR082C	YLR068W	YOR354C	
YDL020C	YDL156W	YFR052W	YIL075C	YLR421C	YOR254C	
YDR293C	YER067W	YJR066W	YKL203C	YPL180W	YPL268W	
YBR119W	YIL050W	YJL023C	YLR223C	YLR449W	YNL277W	
YAL043C	YDR301W	YJR093C	YKR002W	YNL317W	YPR107C	
YDL051W	YDR132C	YDR395W	YIL133C	YNL078W	YOL070C	
YAL023C	YDL095W	YDL096C	YJR143C	YOR002W	YOR321W	
YBR217W	YHR171W	YLR390W-A	YMR183C	YNL212W	YPL149W	
YDL054C	YDL160C	YER063W	YER140W	YKL056C	YLR285W	
YAL011W	YER037W	YER052C	YGL071W	YIR018W	YKR079C	
YER074W-A	YGR004W	YGR026W	YLR324W	YNL263C	YPR028W	
YBL079W	YER105C	YJR132W	YLR335W	YML107C	YOR098C	
YBR034C	YDR432W	YGR165W	YJR042W	YNL004W	YOR160W	
YCR052W	YFR037C	YIL084C	YJR031C	YLR321C	YNL202W	
YDR468C	YER157W	YHL031C	YKL196C	YLR026C	YMR018W	
YDR301W	YJR093C	YLR082C	YLR115W	YMR061W	YNL317W	
YDL096C	YFL036W	YGL226C-A	YGR227W	YOR002W	YPL227C	
YDR293C	YJR066W	YMR068W	YNL006W	YOL078W	YPL180W	
YER145C	YGR061C	YIL054W	YIL056W	YJL001W	YLR386W	
YDR066C	YFL021W	YJR082C	YLR068W	YNL004W	YOR354C	
YGL226C-A	YGR227W	YOR002W	YOR067C	YOR085W	YPL227C	
YGL206C	YGR167W	YGR241C	YHR161C	YNL183C	YOR028C	
YBL045C	YFL010C	YLL030C	YPR054W	YPR105C	YPR191W	
YDL002C	YDL012C	YGL150C	YHL046C	YLR052W	YOR355W	
YDL164C	YDR387C	YGL207W	YML069W	YNL102W	YOR292C	
YBR193C	YDL005C	YGL025C	YIL021W	YOL135C	YOR151C	
YDL051W	YDR132C	YDR395W	YHR170W	YLR075W	YOL127W	
YBR205W	YDR301W	YDR390C	YKR002W	YLR115W	YPR107C	
YEL005C	YEL013W	YGL079W	YGR107W	YHR195W	YNL086W	
YFR043C	YGL206C	YHL019C	YKL135C	YLR170C	YPR029C	
YJR116W	YKR070W	YNL246W	YNL308C	YOL156W	YOR299W	
YDL005C	YDR308C	YGL025C	YIL021W	YOL135C	YOR174W	
YDL044C	YDR505C	YGL122C	YGR056W	YIL092W	YNL016W	
YBL021C	YGL230C	YGL237C	YGR236C	YKL109W	YOR358W	
YBR172C	YCR067C	YDL195W	YHR098C	YPL085W	YPR181C	
YBR141C	YER059W	YER156C	YJL084C	YOR035C	YPL200W	
YAL031C	YBL071C	YCL027W	YGR070W	YKR023W	YOR017W	
YAL047C	YDL087C	YJL074C	YJL113W	YJL114W	YLR086W	
YDR520C	YIL132C	YJL110C	YKR034W	YLR376C	YNL021W	
YGL016W	YGL058W	YGR274C	YKL058W	YLR335W	YOR194C	
YDR364C	YDR416W	YGR129W	YJR050W	YKL095W	YMR213W	
