YBL019W	YBR115C	YBR161W	YBR289W	YCL044C	YCR020W-B	YDL179W	YDR520C	YEL047C	YGR275W	YHL025W	YJL176C	YLR321C	YLR357W	YMR091C	YNL307C	YNR023W	YOL070C	YOR290C	
YBR081C	YCL010C	YCR082W	YDL059C	YDR406W	YDR448W	YGL066W	YGL112C	YGR252W	YLR055C	YML015C	YML098W	YMR223W	YMR227C	YOL148C	YOR023C	YPL047W	YPL222W	YPL254W	
YBR081C	YCL010C	YCR082W	YDL059C	YDR176W	YDR392W	YGL066W	YGL112C	YGR252W	YLR055C	YML098W	YMR223W	YOL148C	YOR023C	YPL011C	YPL047W	YPL222W	YPL254W	YPR008W	
YBR081C	YCL010C	YCR082W	YDL059C	YDR176W	YDR392W	YDR406W	YGL066W	YGL112C	YGR252W	YLR055C	YML098W	YMR223W	YOL148C	YOR023C	YPL047W	YPL222W	YPL254W	YPR008W	
YBR081C	YCL010C	YCR082W	YDL059C	YDR176W	YDR392W	YDR406W	YGL066W	YGL112C	YGR252W	YLR055C	YML098W	YMR223W	YOL148C	YOR023C	YPL011C	YPL047W	YPL254W	YPR008W	
YBL074C	YBR055C	YBR119W	YDL181W	YER172C	YFL017W-A	YHR156C	YHR165C	YIL061C	YLR014C	YLR147C	YLR325C	YML046W	YML049C	YNL092W	YNR011C	YOR097C	YOR159C	YOR305W	
YBL041W	YBR173C	YBR225W	YDR011W	YDR179W-A	YEL061C	YER094C	YGL096W	YGR087C	YJL001W	YKL206C	YKR054C	YLR199C	YLR256W	YMR314W	YOL038W	YOR157C	YOR362C	YPR103W	
YBR058C	YBR112C	YCR009C	YDL190C	YDR165W	YDR457W	YEL037C	YFR053C	YGL253W	YIL038C	YIL148W	YKL080W	YKR001C	YNL084C	YNL111C	YOL025W	YOR081C	YPL096W	YPR062W	
YBL074C	YBR119W	YBR152W	YDL051W	YDL181W	YDR473C	YER029C	YGR074W	YLR298C	YMR213W	YNL092W	YOR078W	YOR097C	YOR159C	YOR305W	YOR308C	YPR057W	YPR178W	YPR182W	
YCL010C	YCR082W	YDL059C	YDR176W	YDR208W	YDR392W	YDR448W	YDR523C	YGL066W	YGL112C	YGR252W	YLR055C	YMR223W	YOL148C	YOR023C	YPL047W	YPL222W	YPL254W	YPR008W	
YBR059C	YBR235W	YDR001C	YDR099W	YDR348C	YER016W	YER177W	YFR017C	YGL181W	YGR097W	YHR161C	YIR003W	YKR098C	YLR176C	YNL267W	YNR014W	YNR047W	YOR140W	YOR220W	
YBR060C	YCR087C-A	YEL056W	YER161C	YGL229C	YGR104C	YHR041C	YJR154W	YLL022C	YLR072W	YML065W	YMR230W	YMR233W	YNL030W	YNL031C	YNL206C	YNL261W	YOR386W	YPR162C	
YBR081C	YCL010C	YCR082W	YDL059C	YDR176W	YDR208W	YDR392W	YDR406W	YDR448W	YGL066W	YGR252W	YLR055C	YMR223W	YOL148C	YOR023C	YPL047W	YPL222W	YPL254W	YPR008W	
YBL074C	YBR119W	YDR378C	YDR473C	YER172C	YFL017W-A	YGR074W	YGR091W	YJR022W	YKL012W	YKL173W	YLR014C	YLR275W	YNL024C	YNL092W	YNL147W	YOR305W	YOR308C	YPR057W	
YBR081C	YCL010C	YCR082W	YDL059C	YDR145W	YDR176W	YDR392W	YDR448W	YGL066W	YGR130C	YGR252W	YLR055C	YMR223W	YMR236W	YOL148C	YPL047W	YPL222W	YPL254W	YPR008W	
YDL077C	YDR103W	YDR127W	YDR251W	YEL023C	YFR044C	YHL002W	YJL052W	YJR009C	YKL216W	YKR042W	YOL013C	YOR269W	YOR299W	YOR305W	YOR368W	YPL003W	YPR069C	YPR164W	
YBL093C	YCR081W	YDL005C	YDR308C	YDR443C	YER022W	YGL025C	YGL127C	YGL151W	YGR198W	YHR041C	YHR058C	YKR067W	YMR287C	YOL051W	YOR174W	YOR349W	YPL042C	YPR070W	
YBL093C	YBR253W	YER022W	YGL025C	YGL127C	YGL151W	YGR104C	YHR041C	YHR058C	YKR067W	YMR287C	YNL236W	YNR010W	YOL051W	YOL135C	YOR174W	YOR349W	YPL042C	YPR070W	
YBR173C	YBR225W	YCR076C	YDR011W	YDR400W	YER094C	YGL011C	YGL096W	YGR253C	YIL099W	YIR030C	YJL088W	YKR054C	YKR070W	YLR211C	YML092C	YMR314W	YOR157C	YOR355W	
YBR173C	YDL203C	YEL061C	YER012W	YER132C	YFL017C	YGL096W	YGR067C	YGR087C	YGR135W	YGR253C	YJL132W	YJR143C	YKL206C	YKR054C	YKR070W	YKR095W	YLR199C	YLR290C	
YBL093C	YBR253W	YDL005C	YER022W	YGL025C	YGL127C	YGL151W	YGR104C	YHR041C	YKR067W	YMR230W	YMR287C	YNL236W	YNR010W	YOL051W	YOL135C	YOR174W	YPL042C	YPR070W	
YBR231C	YDR334W	YDR359C	YDR485C	YEL018W	YFL024C	YHR090C	YJL123C	YJR082C	YLR085C	YLR385C	YLR399C	YML041C	YNL107W	YNL136W	YOL052C	YOR244W	YPL066W	YPR023C	
YBR066C	YBR081C	YCL010C	YCR082W	YDL059C	YDR448W	YGL066W	YGL112C	YGR252W	YLR055C	YML015C	YML098W	YMR223W	YMR227C	YOL148C	YOR023C	YPL047W	YPL222W	YPL254W	
YBR173C	YDL203C	YEL061C	YER012W	YER132C	YGL096W	YGR067C	YGR135W	YGR253C	YIL105C	YJL132W	YJR143C	YKL206C	YKR070W	YKR095W	YLR290C	YOL038W	YOL146W	YOR148C	
YBL090W	YBR146W	YBR251W	YDL045W-A	YDR175C	YDR337W	YDR347W	YGL129C	YGR165W	YGR215W	YHR059W	YIL070C	YIL093C	YJL063C	YJR101W	YKL155C	YNL022C	YPL032C	YPL118W	
YBL090W	YDR175C	YDR337W	YDR347W	YGL129C	YGR165W	YGR215W	YHL004W	YHR059W	YIL070C	YIL093C	YJL063C	YJR060W	YJR101W	YKL151C	YKL155C	YNL168C	YOL143C	YPL032C	
YAL034C	YDR359C	YEL018W	YFL024C	YGR255C	YJL081C	YJL123C	YJR082C	YMR075W	YNL136W	YNL330C	YOL004W	YOR244W	YPL059W	YPL066W	YPL139C	YPR023C	YPR031W	YPR184W	
YBL090W	YDR175C	YDR337W	YDR347W	YGL129C	YGR165W	YGR215W	YHL004W	YHR059W	YIL070C	YIL093C	YJR060W	YJR096W	YJR101W	YKL151C	YKL155C	YNL168C	YOL143C	YPL032C	
YDL070W	YDL155W	YDR490C	YEL043W	YFL054C	YGR086C	YGR267C	YIL020C	YJL129C	YJR156C	YKL048C	YKL142W	YLR079W	YLR179C	YNL067W	YOL045W	YPL004C	YPL155C	YPR115W	
YBL093C	YBR039W	YBR253W	YDL005C	YDR308C	YEL056W	YER022W	YGL127C	YGL151W	YGR104C	YGR198W	YHR041C	YMR230W	YNL236W	YNR010W	YOL051W	YOR386W	YPL042C	YPR070W	
YBL093C	YBR193C	YBR253W	YCR081W	YDL005C	YDR308C	YGL025C	YGL127C	YGL151W	YGR104C	YGR198W	YHR041C	YHR058C	YKR067W	YMR287C	YNL236W	YNR010W	YOL135C	YOR174W	
YBL093C	YCR081W	YDL005C	YDR308C	YDR443C	YGL025C	YGL127C	YGR104C	YGR198W	YHR041C	YHR067W	YKR067W	YMR287C	YNL236W	YNR010W	YOL051W	YOR174W	YOR349W	YPR070W	
YBL093C	YBR193C	YBR253W	YCR081W	YDL005C	YER022W	YGL025C	YGL127C	YGL151W	YGR104C	YGR116W	YMR112C	YMR230W	YNL236W	YNR010W	YOR192C	YPL042C	YPR070W	YPR168W	
YBL093C	YBR193C	YBR253W	YCR081W	YDL005C	YER022W	YGL025C	YGL127C	YGL151W	YGR104C	YHR041C	YMR112C	YMR230W	YNL236W	YNR010W	YOL051W	YOR192C	YPR070W	YPR168W	
YBL093C	YBR193C	YBR253W	YCR081W	YDL005C	YER022W	YGL025C	YGL127C	YGL151W	YGR104C	YHR041C	YMR112C	YMR230W	YNL236W	YNR010W	YOL051W	YPL042C	YPR070W	YPR168W	
YAR002W	YCR035C	YDL111C	YGL232W	YGR180C	YJL026W	YJR041C	YKL114C	YKL214C	YLR335W	YLR347C	YML060W	YNL189W	YOL021C	YOR001W	YOR098C	YPL020C	YPL178W	YPL212C	
YAL043C	YAL046C	YBL101C	YDL199C	YDR195W	YER133W	YFR003C	YGR156W	YJR093C	YKL018W	YKL193C	YKR002W	YLL013C	YLR115W	YMR311C	YNL222W	YNL233W	YOR227W	YPR107C	
YDL143W	YDR490C	YEL043W	YFL054C	YGR086C	YGR267C	YIL020C	YJL110C	YJR156C	YKL048C	YKL142W	YLR079W	YLR179C	YNL067W	YNR052C	YOL045W	YPL004C	YPL155C	YPR115W	
YBL093C	YBR193C	YBR253W	YDL005C	YER022W	YGL025C	YGL127C	YGL151W	YGR104C	YHR041C	YMR112C	YMR230W	YNL236W	YNR010W	YOL051W	YOR192C	YPL042C	YPR070W	YPR168W	
YBL093C	YBR193C	YBR253W	YDL005C	YER022W	YGL025C	YGL151W	YGR104C	YHR041C	YLR071C	YMR112C	YMR230W	YNL236W	YNR010W	YOL051W	YPL042C	YPL210C	YPR070W	YPR168W	
YBR198C	YCL010C	YDR176W	YDR448W	YGL066W	YGR252W	YGR274C	YIL016W	YLR055C	YML098W	YMR005W	YMR223W	YMR227C	YOL148C	YPL011C	YPL047W	YPL167C	YPL222W	YPL254W	
YAL047C	YBR069C	YBR139W	YBR169C	YCL014W	YDR006C	YDR234W	YDR457W	YDR484W	YGL066W	YGR285C	YHR064C	YIL071C	YKL047W	YLR262C	YNL209W	YOL025W	YOL087C	YOR081C	
YAL047C	YBR069C	YBR166C	YDR006C	YDR234W	YDR484W	YER071C	YGR285C	YHR064C	YIL071C	YKL047W	YLR262C	YMR108W	YNL112W	YNL209W	YOR069W	YOR081C	YOR133W	YPL074W	
YAL062W	YBL046W	YBL059W	YDL115C	YDR075W	YDR143C	YDR173C	YDR225W	YDR293C	YGL043W	YGL070C	YGR005C	YGR063C	YGR186W	YIL021W	YIL153W	YJL140W	YML010W	YNL201C	
YAL062W	YBL046W	YBL059W	YBL082C	YBR259W	YDL115C	YDR075W	YDR173C	YDR225W	YDR293C	YGL043W	YGL070C	YGR005C	YGR063C	YIL153W	YJL140W	YML010W	YNL201C	YOL005C	
YBL093C	YBR193C	YDL005C	YDR443C	YGL025C	YGL127C	YGL151W	YGR104C	YHR041C	YLR071C	YMR112C	YMR230W	YNL025C	YNL236W	YNR010W	YOL051W	YOR192C	YPL042C	YPR168W	
YBL093C	YBR193C	YDL005C	YEL056W	YGL025C	YGL127C	YGL151W	YGR104C	YHR041C	YLR071C	YMR112C	YMR230W	YNL025C	YNL236W	YNR010W	YOL051W	YOR192C	YPL042C	YPR168W	
YBR251W	YDL045W-A	YDR124W	YDR175C	YDR337W	YGR165W	YGR215W	YHL004W	YIL093C	YJL063C	YJL130C	YJR096W	YJR113C	YMR188C	YNL022C	YNL242W	YNR036C	YOR158W	YPR025C	
YBR267W	YCL024W	YDR075W	YDR173C	YDR225W	YGL241W	YGR071C	YIL153W	YIR008C	YKL007W	YKR048C	YLR410W	YML069W	YMR110C	YMR139W	YNL078W	YNL201C	YOL108C	YOR230W	
YBL093C	YDL005C	YGL025C	YGL127C	YGL151W	YGR198W	YHR041C	YHR058C	YKR067W	YLR071C	YMR287C	YNL025C	YNL236W	YNR010W	YOL051W	YOL135C	YOR174W	YOR349W	YPL042C	
YBL082C	YBL093C	YBR193C	YCR081W	YDL005C	YGL025C	YGL127C	YGR104C	YHR041C	YLR071C	YMR112C	YMR230W	YNL236W	YNR010W	YOL051W	YOL135C	YOR192C	YPR070W	YPR168W	
YBL093C	YDL005C	YDR443C	YGL025C	YGL127C	YGL151W	YHR041C	YHR058C	YKR067W	YLR071C	YMR287C	YNL025C	YNL236W	YNR010W	YOL051W	YOL135C	YOR174W	YOR349W	YPL042C	
YAL026C	YBR143C	YBR279W	YGL244W	YIL035C	YJR148W	YLL063C	YLR387C	YLR418C	YLR430W	YML069W	YMR154C	YOL088C	YOL108C	YOL145C	YOR040W	YOR054C	YOR123C	YPL084W	
YBL082C	YBL093C	YBR193C	YCR081W	YDR308C	YGL025C	YGL127C	YGR104C	YHR041C	YHR058C	YMR230W	YNL236W	YNR010W	YOL051W	YOL135C	YOR192C	YPL042C	YPR070W	YPR168W	
YBR146W	YCR089W	YDR304C	YDR494W	YER050C	YGR084C	YGR215W	YHR061C	YHR216W	YIL067C	YJR031C	YKL003C	YMR012W	YMR158W	YMR188C	YNL081C	YNL137C	YOR158W	YPL013C	
YBL082C	YBL093C	YBR193C	YDL215C	YGL025C	YGL127C	YGL151W	YGR104C	YHR041C	YHR058C	YLR071C	YMR230W	YNL236W	YNR010W	YOL051W	YOL135C	YOR192C	YPR070W	YPR168W	
YBR081C	YBR198C	YCL010C	YCR082W	YDL059C	YDR176W	YDR392W	YDR448W	YGL066W	YGL112C	YGR252W	YGR274C	YML015C	YMR005W	YMR223W	YMR227C	YOL148C	YPL047W	YPL254W	
YBR073W	YDR043C	YER164W	YGL019W	YIL035C	YJR131W	YKL088W	YKL160W	YKR056W	YKR072C	YLR407W	YMR154C	YMR172W	YNL149C	YOL088C	YOR039W	YOR052C	YOR054C	YOR061W	
YBL082C	YBR259W	YDL140C	YDR143C	YDR404C	YDR463W	YGL043W	YGL070C	YGR005C	YGR186W	YIL021W	YJL140W	YJL168C	YML010W	YOL005C	YOR151C	YOR210W	YPR093C	YPR133C	
YBL002W	YBR010W	YDL156W	YGL229C	YGR081C	YIR035C	YJL187C	YJR154W	YLL022C	YLR133W	YMR072W	YMR233W	YNL030W	YNL031C	YNL054W	YNL167C	YNL206C	YOR058C	YPL001W	
YBR069C	YBR166C	YCL014W	YDR234W	YDR457W	YDR484W	YER071C	YGR285C	YHR064C	YJL095W	YKL047W	YLR262C	YLR336C	YNL209W	YOL025W	YOL087C	YOR069W	YOR081C	YPL074W	
YBR069C	YBR166C	YCL014W	YDL065C	YDR234W	YDR484W	YER071C	YGR232W	YGR285C	YHR013C	YHR064C	YJL095W	YKL047W	YMR108W	YNL209W	YOL087C	YOR081C	YOR253W	YPL074W	
YBR251W	YDL045W-A	YDR124W	YDR175C	YDR337W	YGR165W	YGR215W	YHL004W	YIL093C	YJL063C	YJR096W	YJR113C	YKL155C	YMR188C	YNL022C	YNL242W	YNR036C	YOR158W	YPR025C	
YAL001C	YAL042W	YBL017C	YBL054W	YBR025C	YDL097C	YDR180W	YDR363W-A	YGL094C	YGL095C	YGR232W	YHR027C	YKL027W	YLR341W	YLR421C	YNL047C	YNL087W	YPL082C	YPR045C	
YDL208W	YDL213C	YFR001W	YGR103W	YHL007C	YHR138C	YJL192C	YKL007W	YKL113C	YLL008W	YLR276C	YMR023C	YMR049C	YMR229C	YNL299W	YNR067C	YOL008W	YOR140W	YOR272W	
YAL031C	YAL043C	YAL046C	YBL010C	YBL101C	YBR166C	YDR195W	YDR301W	YHR029C	YKL018W	YKR002W	YLR115W	YLR277C	YLR303W	YNL208W	YNL222W	YNL317W	YOR179C	YPR107C	
YAR042W	YBR065C	YBR079C	YDR047W	YDR408C	YDR429C	YER030W	YGR278W	YKL004W	YLR192C	YMR146C	YMR309C	YNL068C	YOR052C	YOR254C	YOR361C	YPL051W	YPL105C	YPR041W	
YBR154C	YDR026C	YDR156W	YDR495C	YFL023W	YFR028C	YGR005C	YHR143W-A	YJL076W	YJL148W	YJL207C	YJR063W	YNL113W	YNL248C	YOR210W	YOR340C	YOR341W	YPR010C	YPR110C	
YBL093C	YCR081W	YDL005C	YER022W	YGL025C	YGL127C	YGL151W	YGR198W	YHR041C	YKR067W	YMR287C	YNL236W	YNR010W	YOL051W	YOL135C	YOR174W	YOR349W	YPL042C	YPR070W	
YDL203C	YEL061C	YER012W	YER094C	YER132C	YFL017C	YFR050C	YGL096W	YGR067C	YGR135W	YIL105C	YJL132W	YJR143C	YKL206C	YKR070W	YKR095W	YLR290C	YOL038W	YOR362C	
YAR007C	YCR009C	YDL156W	YDR117C	YDR415C	YER131W	YFR001W	YGL173C	YGR012W	YGR054W	YIL154C	YIR001C	YJL131C	YLR226W	YNR051C	YOR198C	YPL127C	YPR062W	YPR161C	
YBL093C	YCR081W	YDL005C	YEL056W	YER022W	YGL025C	YGL127C	YGL151W	YGR104C	YGR198W	YHR041C	YMR230W	YNL236W	YNR010W	YOL051W	YOL135C	YOR386W	YPL042C	YPR070W	
YBR235W	YDR001C	YDR099W	YDR348C	YER016W	YER177W	YFR017C	YGL181W	YGR097W	YHR161C	YIL095W	YIR003W	YKR098C	YLR176C	YLR256W	YNR014W	YNR047W	YOR140W	YOR220W	
