YCR012W	YEL031W	YGR279C	YMR173W	YNL192W	YOL147C	YOR070C	
YCR012W	YEL031W	YMR173W	YNL006W	YNL192W	YOL147C	YOR070C	
YCR012W	YEL031W	YGR279C	YMR173W	YNL006W	YOR070C	
YFR031C-A	YGL031C	YGR085C	YJL191W	YML073C	YNL069C	
YCR012W	YDR216W	YGR279C	YMR173W	YOL147C	YOR070C	
YDR517W	YGR136W	YJR052W	YNL193W	YOR089C	YOR231W	
YCR012W	YEL031W	YMR173W	YNL192W	YOR070C	
YFR031C-A	YGR085C	YJL191W	YML073C	YNL069C	
YDR188W	YGR187C	YHR104W	YMR028W	YNL212W	
YFR031C-A	YGR085C	YJL191W	YML073C	YPL143W	
YDR267C	YER171W	YHR122W	YIL128W	YMR178W	
YDR517W	YGR136W	YJR052W	YNL193W	YOR089C	
YDR517W	YGR136W	YJR052W	YNL193W	YOR231W	
YDR517W	YGR136W	YJR052W	YOR089C	YOR231W	
YDR517W	YJR052W	YNL193W	YOR089C	YOR231W	
YCR012W	YDR216W	YGR279C	YMR173W	YOR070C	
YGR240C	YNL045W	YOR286W	YPL193W	
YFR031C-A	YGR085C	YML073C	YMR142C	
YDR267C	YHR122W	YIL128W	YMR178W	
YFL001W	YKL060C	YMR113W	YOL147C	
YBR139W	YGR205W	YJL034W	YMR214W	
YDR188W	YGR187C	YHR104W	YNL212W	
YER150W	YLR043C	YLR249W	YOR165W	
YGR123C	YOR027W	YPL161C	YPL240C	
YDR188W	YGR187C	YHR104W	YMR028W	
YER125W	YHR131C	YJL084C	YKR021W	
YDR382W	YML026C	YOR234C	YPR025C	
YDR517W	YJR052W	YNL193W	YOR231W	
YAL010C	YJL066C	YKR052C	YMR241W	
YDR517W	YGR136W	YOR089C	YOR231W	
YDR517W	YGR136W	YNL193W	YOR231W	
YDR517W	YGR136W	YNL193W	YOR089C	
YDR517W	YGR136W	YJR052W	YOR231W	
YAR035W	YDR135C	YDR171W	YJR010W	
YDR517W	YGR136W	YJR052W	YNL193W	
YBL002W	YBR278W	YDR121W	YJL065C	
YDR081C	YDR397C	YKR001C	YOL072W	
YDR101C	YLR074C	YOR252W	YPL249C-A	
YBL045C	YDL074C	YDL189W	YDR529C	
YDL100C	YDR196C	YFL044C	YJL194W	
YDR382W	YOR234C	YPR025C	YPR043W	
YKL122C	YLR452C	YOR374W	YPL243W	
YFR031C-A	YGR085C	YJL191W	YML073C	
YGL091C	YIL129C	YML081W	
YHR024C	YLR163C	YLR172C	
YHR122W	YIL128W	YMR178W	
YHR216W	YLR432W	YML056C	
YIL056W	YMR284W	YPR052C	
YIL078W	YJL208C	YMR099C	
YIL101C	YKL072W	YOL004W	
YIL128W	YMR178W	YNL240C	
YIL129C	YML081W	YNL272C	
YBR127C	YLR447C	YMR054W	
YBL105C	YGR254W	YMR014W	
YBR021W	YER151C	YLR441C	
YBR031W	YBR205W	YFR044C	
YBR034C	YML017W	YPR129W	
YBR069C	YGL055W	YNL064C	
YBR086C	YDL171C	YLR257W	
YBR102C	YER008C	YML097C	
YBR102C	YJL085W	YML097C	
YBR109C	YLR433C	YML057W	
YBR125C	YGL115W	YGR152C	
YBL103C	YGR017W	YMR072W	
YBR139W	YGR205W	YJL034W	
YBR159W	YGL013C	YOR038C	
YBR169C	YML112W	YOR007C	
YBR170C	YHR092C	YML013W	
YBR196C	YHR036W	YPL109C	
YBR196C	YLR088W	YPL109C	
YBR229C	YDR221W	YML067C	
YBR260C	YDL080C	YGR196C	
YBR278W	YDR121W	YJL065C	
YCL017C	YDR051C	YER048W-A	
YAL059W	YBR115C	YGL154C	
YAL007C	YGL200C	YOR016C	
YAL009W	YDL040C	YGR016W	
YAL010C	YJL066C	YKR052C	
YAL010C	YJL066C	YMR241W	
YAL033W	YDR478W	YHR062C	
YAL039C	YAR035W	YDR171W	
YAL041W	YER114C	YNL007C	
YAL042W	YBR229C	YDR221W	
YAL048C	YML103C	YOR284W	
YAL048C	YOR284W	YPL206C	
YCR002C	YJR092W	YNL233W	
YAR042W	YER120W	YLR183C	
YBL002W	YDR121W	YJL065C	
YBL022C	YBR084W	YLR448W	
YBL036C	YBL039C	YPL220W	
YBL045C	YDL074C	YDL189W	
YBL050W	YDR189W	YGL095C	
YBL064C	YDR069C	YMR304W	
YBL072C	YLR359W	YOR361C	
YBL076C	YBR058C	YDL100C	
YDR320C	YPL166W	YPR049C	
YDR188W	YGR187C	YHR104W	
YDR188W	YHR104W	YNL212W	
YDR189W	YGL095C	YKL196C	
YDR196C	YFL044C	YJL194W	
YDR204W	YKL101W	YPL048W	
YDR211W	YKR026C	YOR101W	
YDR267C	YHR122W	YIL128W	
YDR267C	YIL128W	YMR178W	
YDR267C	YIL128W	YNL240C	
YDR320C	YLR423C	YPL166W	
YDR186C	YGL115W	YGR152C	
YDR338C	YER118C	YNL071W	
YDR342C	YHL003C	YHR047C	
YDR381W	YML034W	YOR211C	
YDR382W	YML026C	YOR234C	
YAL007C	YAR002C-A	YOR016C	
YDR388W	YMR192W	YPL249C	
YDR397C	YKR001C	YOL072W	
YDR406W	YML029W	YOL013C	
YDR502C	YKL211C	YLR180W	
YDR081C	YKR001C	YOL072W	
YDL042C	YGR208W	YJL076W	
YDL056W	YER111C	YLR182W	
YDL066W	YER151C	YLR441C	
YDL074C	YDL189W	YPR191W	
YDL090C	YDR084C	YKL152C	
YDL090C	YGL155W	YKL019W	
YDL174C	YGR017W	YLR410W	
YDR035W	YJL200C	YLR355C	
YDR050C	YJL049W	YKL065C	
YDR081C	YER148W	YKR001C	
YER008C	YLR166C	YML097C	
YDR101C	YLR074C	YOR252W	
YDR127W	YJL008C	YMR299C	
YDR129C	YFL039C	YLR454W	
YDR129C	YFL039C	YNL218W	
YDR135C	YDR171W	YJR010W	
YDR166C	YLR166C	YML097C	
YDR166C	YML097C	YPR055W	
YDR174W	YKL112W	YNL216W	
YDR180W	YER147C	YPL090C	
