YCR057C	YDR071C	YDR299W	YDR365C	YDR449C	YGL120C	YGR145W	YHR065C	YIL142W	YJL069C	YKL015W	YLR129W	YLR222C	YLR409C	YMR259C	YNL224C	YNR054C	YOR310C	YPR137W	
YBL093C	YCR081W	YDL005C	YDR308C	YDR443C	YER022W	YGL025C	YGL127C	YGL151W	YGR198W	YHR041C	YHR058C	YKR067W	YMR287C	YOL051W	YOR174W	YOR349W	YPL042C	YPR070W	
YBL059W	YBL082C	YBR154C	YDL115C	YFL023W	YFL049W	YGL043W	YGL070C	YGR063C	YIL021W	YJL140W	YJL176C	YML010W	YML114C	YOR151C	YOR224C	YPL129W	YPR133C	YPR187W	
YBL093C	YCR081W	YDL005C	YDL215C	YDR443C	YER022W	YGL025C	YGL127C	YGL151W	YGR104C	YGR198W	YHR041C	YMR230W	YNL236W	YNR010W	YOL051W	YOL135C	YPL042C	YPR070W	
YBL059W	YBL082C	YBR154C	YDL115C	YFL023W	YGL043W	YGL070C	YGR063C	YIL021W	YJL140W	YML010W	YML114C	YOR151C	YOR210W	YOR224C	YPL129W	YPL225W	YPR133C	YPR187W	
YBL024W	YBL090W	YDR337W	YDR347W	YGL129C	YGR215W	YHL004W	YHR059W	YIL036W	YIL070C	YJR060W	YJR101W	YJR113C	YKL151C	YNL168C	YNR037C	YOL143C	YOR158W	YPL032C	
YBL024W	YBL090W	YDR337W	YDR347W	YGL129C	YGR165W	YGR215W	YHR059W	YIL036W	YIL070C	YIL093C	YJL063C	YJR101W	YJR113C	YKL151C	YNL168C	YNR036C	YOL143C	YPL032C	
YAL011W	YCR060W	YDL002C	YDR190C	YDR485C	YEL018W	YEL044W	YER092W	YFL013C	YGL150C	YGR173W	YJL081C	YLR052W	YNL215W	YNL229C	YOR141C	YOR189W	YPL048W	YPL235W	
YBL093C	YBR253W	YCR081W	YDL005C	YDL215C	YDR308C	YDR443C	YER022W	YGL127C	YGL151W	YGR104C	YGR198W	YHR041C	YMR230W	YNL236W	YNR010W	YOL051W	YPL042C	YPR070W	
YBL058W	YBL093C	YBR193C	YDL005C	YEL056W	YGL025C	YGL127C	YGL151W	YGR104C	YHR041C	YLR071C	YMR112C	YMR230W	YNL236W	YNR010W	YOL051W	YOR192C	YPL042C	YPR168W	
YAL036C	YBR069C	YBR126C	YBR166C	YBR169C	YCL014W	YDR234W	YDR484W	YER071C	YGL066W	YGR285C	YHR064C	YJL095W	YKL047W	YLR262C	YNL209W	YOL087C	YOR069W	YOR081C	
YBR047W	YBR283C	YDL019C	YDL145C	YDR238C	YER120W	YER122C	YFR051C	YGL137W	YGR233C	YHR066W	YIL076W	YLR260W	YNL255C	YNL272C	YNL287W	YPL010W	YPL031C	YPL219W	
YBL058W	YBL082C	YBL093C	YBR193C	YDL005C	YGL025C	YGL127C	YGL151W	YGR104C	YHR041C	YLR071C	YMR230W	YNL236W	YNR010W	YOL051W	YOR192C	YPL042C	YPR070W	YPR168W	
YAL036C	YBR069C	YBR139W	YBR166C	YBR169C	YDR006C	YDR165W	YDR234W	YDR484W	YER071C	YFR053C	YGL253W	YGR285C	YHR064C	YKL047W	YLR262C	YNL209W	YOL087C	YOR081C	
YBR034C	YBR107C	YBR211C	YDR254W	YDR318W	YDR383C	YER069W	YGR006W	YGR179C	YJL105W	YJR135C	YLR315W	YLR381W	YMR198W	YNR013C	YNR062C	YOR342C	YPL018W	YPR046W	
YBR119W	YDL043C	YDL087C	YDL181W	YDR416W	YGR074W	YGR091W	YHR156C	YHR165C	YJR022W	YKL095W	YLR147C	YLR325C	YNL092W	YOR097C	YOR159C	YOR305W	YOR308C	YPR057W	
YBR119W	YDL043C	YDL087C	YDR240C	YER069W	YER172C	YGR013W	YGR074W	YHR127W	YJR022W	YKL012W	YLR147C	YLR275W	YMR213W	YNL024C	YNL092W	YOR097C	YOR305W	YPR057W	
YBR119W	YDL043C	YDL087C	YDR240C	YER069W	YGR074W	YIL061C	YKL095W	YKL173W	YLR147C	YLR275W	YLR325C	YML046W	YMR213W	YNL024C	YNL092W	YOR097C	YOR305W	YPR057W	
YBR026C	YCR009C	YDL160C	YDL190C	YDR081C	YDR165W	YDR457W	YEL037C	YFR053C	YGL253W	YIL148W	YKL080W	YKR001C	YNL084C	YNL111C	YOL025W	YOR042W	YPL096W	YPR062W	
YBR235W	YDR001C	YDR017C	YDR099W	YER177W	YFR017C	YGL181W	YGR097W	YHR161C	YIR003W	YKR098C	YLR176C	YLR256W	YLR345W	YNL267W	YNR014W	YNR047W	YOR140W	YOR220W	
YBL093C	YBR193C	YDL005C	YDR443C	YGL025C	YGL127C	YGL151W	YGR104C	YHR041C	YLR071C	YMR112C	YMR230W	YNL025C	YNL236W	YNR010W	YOL051W	YOR192C	YPL042C	YPR168W	
YBR235W	YDR001C	YDR017C	YDR099W	YDR348C	YER177W	YFR017C	YGL181W	YGR097W	YHR161C	YIR003W	YKR098C	YLR176C	YLR256W	YLR345W	YNL267W	YNR014W	YNR047W	YOR140W	
YBR026C	YBR058C	YBR112C	YCR009C	YDL160C	YDR165W	YDR457W	YFR053C	YGL253W	YIL038C	YIL148W	YKL080W	YKL104C	YKR001C	YKR049C	YNL084C	YNL111C	YOL025W	YPR062W	
YBR119W	YDL087C	YDR235W	YDR240C	YER029C	YER069W	YFL017W-A	YGR013W	YGR074W	YHR127W	YIL061C	YKL012W	YKL095W	YLR147C	YLR275W	YLR298C	YLR325C	YML046W	YOR159C	
YAL011W	YBR231C	YDR334W	YDR359C	YDR485C	YEL018W	YFL024C	YHR090C	YJL081C	YJR082C	YKR072C	YLR399C	YML041C	YNL107W	YNL136W	YOR244W	YPL066W	YPR023C	YPR031W	
YCL014W	YDR103W	YDR165W	YDR251W	YEL023C	YER095W	YFR053C	YGL253W	YHL002W	YJL052W	YJR009C	YKL216W	YKR042W	YLR231C	YNL273W	YOR269W	YOR368W	YPL003W	YPR164W	
YBL058W	YBL093C	YBR193C	YDL005C	YGL025C	YGL127C	YGL151W	YGR104C	YHR041C	YLR071C	YMR112C	YMR230W	YNL025C	YNL236W	YNR010W	YOL051W	YOR192C	YPL042C	YPR168W	
YCL014W	YDR103W	YDR165W	YDR251W	YDR454C	YEL023C	YFR053C	YGL253W	YJL052W	YJL203W	YJR009C	YKL216W	YKR042W	YLR027C	YLR135W	YNL273W	YOR299W	YOR368W	YPL003W	
YAL047C	YBR155W	YBR166C	YBR169C	YBR267W	YCL014W	YER071C	YGL241W	YGR245C	YIL071C	YKL047W	YKR048C	YLR410W	YMR108W	YNL078W	YNL112W	YNL209W	YOR069W	YOR133W	
YAL011W	YBR231C	YDR334W	YDR359C	YEL018W	YGR002C	YHR090C	YHR099W	YJL081C	YJR082C	YLR385C	YLR399C	YNL107W	YNL136W	YNL246W	YOL052C	YPL066W	YPR023C	YPR031W	
YBL074C	YBR119W	YDR378C	YDR473C	YER172C	YFL017W-A	YGR074W	YGR091W	YJR022W	YKL012W	YKL173W	YLR014C	YLR275W	YNL024C	YNL092W	YNL147W	YOR305W	YOR308C	YPR057W	
YBR146W	YBR251W	YDR124W	YDR304C	YER050C	YGR084C	YGR215W	YHR216W	YIL093C	YJR031C	YJR101W	YKL054C	YMR158W	YNL022C	YNL081C	YNL242W	YNR037C	YOR158W	YPL013C	
YBL002W	YBR267W	YCL024W	YDL156W	YDR224C	YDR507C	YER023W	YER063W	YGL241W	YKR048C	YKR092C	YLR133W	YLR330W	YLR410W	YMR110C	YMR139W	YNL078W	YOL012C	YOR230W	
YBL082C	YBL093C	YBR193C	YCR081W	YDL005C	YER022W	YGL025C	YGL127C	YGL151W	YGR104C	YGR116W	YHR041C	YLR071C	YNL025C	YNL236W	YOL051W	YPL042C	YPL210C	YPR070W	
YBL082C	YBL093C	YBR193C	YCR081W	YDL005C	YEL056W	YGL025C	YGL127C	YGL151W	YGR104C	YGR116W	YHR041C	YHR058C	YMR230W	YNR010W	YOL051W	YOR192C	YPL042C	YPR070W	
YAL013W	YAL034C	YBR095C	YBR223C	YDL076C	YDR207C	YGR255C	YGR263C	YIL084C	YKL185W	YMR075W	YMR263W	YNL097C	YNL330C	YOL004W	YPL059W	YPL139C	YPL181W	YPR184W	
YAL013W	YAL034C	YBR095C	YBR223C	YDL076C	YDR207C	YGR255C	YGR263C	YIL084C	YKL185W	YMR263W	YNL097C	YNL330C	YOL004W	YPL059W	YPL139C	YPL181W	YPR023C	YPR184W	
YCL030C	YCR053W	YDL077C	YDR127W	YER091C	YGR240C	YHR062C	YHR179W	YJL080C	YJL128C	YJR009C	YLR027C	YLR153C	YNL102W	YNL273W	YOL013C	YOR027W	YOR299W	YPL240C	
YBL074C	YDL051W	YDL181W	YDR473C	YER172C	YJR022W	YKL173W	YLR275W	YLR298C	YNL024C	YNL092W	YOR078W	YOR097C	YOR159C	YOR305W	YOR308C	YPR057W	YPR178W	YPR182W	
YBL002W	YBR267W	YCL024W	YDR075W	YDR224C	YDR225W	YER063W	YER091C	YGL241W	YKR011C	YKR048C	YKR092C	YLR133W	YLR410W	YMR139W	YNL078W	YNL201C	YOL012C	YPL220W	
YAL013W	YAL034C	YBR095C	YBR223C	YDL076C	YGR255C	YGR263C	YIL084C	YKL185W	YMR075W	YMR263W	YNL097C	YNL330C	YOL004W	YPL059W	YPL139C	YPL181W	YPR023C	YPR184W	
YBL082C	YBL093C	YBR193C	YCR081W	YDL005C	YGL025C	YGL127C	YGL151W	YGR104C	YGR198W	YHR041C	YHR058C	YKR067W	YMR112C	YMR287C	YNL236W	YOL051W	YOR174W	YOR349W	
YBL074C	YBR119W	YDR240C	YDR473C	YER172C	YFL017W-A	YGR074W	YHR127W	YJR022W	YKL012W	YKL173W	YLR014C	YLR275W	YLR298C	YNL024C	YNL092W	YNL147W	YOR305W	YPR057W	
YBL074C	YBR119W	YDL030W	YDR240C	YER069W	YFL017W-A	YGR074W	YHR127W	YKL012W	YKL095W	YLR147C	YLR275W	YLR298C	YLR325C	YML049C	YNL092W	YOR097C	YPR057W	YPR101W	
YBL074C	YBR119W	YBR152W	YDL051W	YDL181W	YDR473C	YER029C	YGR074W	YLR298C	YMR213W	YNL092W	YOR078W	YOR097C	YOR159C	YOR305W	YOR308C	YPR057W	YPR178W	YPR182W	
YDL076C	YEL018W	YGR255C	YHR090C	YIL084C	YJL168C	YMR075W	YMR263W	YNL097C	YNL107W	YNL136W	YNL330C	YOL004W	YPL059W	YPL066W	YPL139C	YPL181W	YPR023C	YPR184W	
YBR143C	YER164W	YGL019W	YGR063C	YIL035C	YJL115W	YKL160W	YLR387C	YLR407W	YMR154C	YMR172W	YMR230W	YNL031C	YNL079C	YOL054W	YOL088C	YOR039W	YOR054C	YOR061W	
YBR146W	YBR251W	YCR089W	YDR304C	YDR337W	YDR494W	YER050C	YGL129C	YGR084C	YHR061C	YHR216W	YIL067C	YJR031C	YJR096W	YJR101W	YKL155C	YMR012W	YNL022C	YNL242W	
YBR146W	YBR251W	YDR041W	YDR124W	YDR304C	YER050C	YGR215W	YHR216W	YIL093C	YJR031C	YJR096W	YJR101W	YMR158W	YNL022C	YNL081C	YNL242W	YNR037C	YOR158W	YPL013C	
YCL059C	YCR016W	YDL208W	YDL213C	YGL078C	YGR283C	YHR089C	YIL159W	YJL010C	YJL162C	YLR175W	YLR197W	YMR310C	YNL227C	YNL308C	YNR067C	YOL008W	YOR078W	YPL009C	
YBR146W	YBR251W	YDR041W	YDR304C	YER050C	YGR084C	YGR215W	YHR216W	YIL093C	YJR031C	YJR096W	YJR101W	YMR158W	YNL022C	YNL081C	YNL242W	YNR037C	YOR158W	YPL013C	
YBL019W	YBR115C	YBR289W	YCR020W-B	YCR052W	YDL179W	YDR303C	YDR520C	YGR056W	YGR186W	YGR275W	YHL025W	YJL176C	YLR321C	YLR357W	YNL307C	YOL070C	YOR290C	YPL129W	
YBR146W	YBR251W	YDR304C	YDR494W	YER050C	YGR084C	YGR215W	YIL093C	YJR031C	YJR096W	YJR101W	YMR158W	YNL022C	YNL081C	YNL242W	YNR037C	YOR158W	YPL013C	YPL118W	
YBL093C	YBR193C	YCR081W	YDL215C	YGL025C	YGL127C	YGL151W	YGR104C	YHR041C	YHR058C	YLR071C	YMR230W	YNL236W	YNR010W	YOL051W	YOL135C	YOR141C	YPR070W	YPR168W	
YAR007C	YCR009C	YDL156W	YDR117C	YDR415C	YER131W	YFR001W	YGL173C	YGR012W	YGR054W	YIL154C	YIR001C	YJL131C	YLR226W	YNR051C	YOR198C	YPL127C	YPR062W	YPR161C	
YBR146W	YBR251W	YDR494W	YER050C	YGR084C	YGR215W	YHR216W	YIL093C	YJR031C	YJR096W	YJR101W	YMR158W	YNL022C	YNL081C	YNL242W	YNR037C	YOR158W	YPL013C	YPL118W	
YBL093C	YBR193C	YCR081W	YDL005C	YGL025C	YGL127C	YGL151W	YGR104C	YGR198W	YHR041C	YHR058C	YKR067W	YMR112C	YMR230W	YMR287C	YNL236W	YOL051W	YOR174W	YOR349W	
YBR198C	YCL010C	YDR176W	YDR392W	YDR406W	YDR448W	YDR523C	YGL066W	YGR252W	YLR055C	YML015C	YML031W	YMR223W	YMR227C	YOL148C	YPL011C	YPL047W	YPL222W	YPL254W	
YBL093C	YBR193C	YBR253W	YDL005C	YER022W	YGL025C	YGL151W	YGR104C	YHR041C	YLR071C	YMR112C	YMR230W	YNL236W	YNR010W	YOL051W	YPL042C	YPL210C	YPR070W	YPR168W	
YBR198C	YCL010C	YDR176W	YDR208W	YDR392W	YDR448W	YDR523C	YGL066W	YGR252W	YLR055C	YML015C	YMR223W	YMR227C	YOL148C	YOR023C	YPL011C	YPL047W	YPL222W	YPL254W	
YBL093C	YBR193C	YBR253W	YCR081W	YDL005C	YER022W	YGL025C	YGL127C	YGL151W	YGR104C	YGR116W	YMR112C	YMR230W	YNL236W	YNR010W	YOR192C	YPL042C	YPR070W	YPR168W	
YBL090W	YDR175C	YDR337W	YGL129C	YGR165W	YGR215W	YHL004W	YHR059W	YIL070C	YIL093C	YJL063C	YJR096W	YJR101W	YKL151C	YKL155C	YNL168C	YNR037C	YOL143C	YPL032C	
YBL090W	YBR146W	YBR251W	YDL045W-A	YDR175C	YDR337W	YGL129C	YGR165W	YGR215W	YHR059W	YIL070C	YIL093C	YJL063C	YJR101W	YKL155C	YNL022C	YOR158W	YPL032C	YPL118W	
YBR044C	YBR161W	YCR020W-B	YDL179W	YDR303C	YEL047C	YER062C	YFL033C	YFR037C	YGR056W	YGR275W	YIL126W	YJL176C	YKR008W	YLR357W	YML127W	YMR091C	YMR125W	YNL307C	
YDL078C	YDL144C	YDL150W	YDR026C	YDR045C	YJL011C	YKL092C	YKL144C	YKL179C	YKR025W	YNL113W	YNL151C	YNR003C	YOL021C	YOR116C	YOR207C	YPR049C	YPR110C	YPR187W	
YDL160C	YDR111C	YDR239C	YEL030W	YER001W	YGL049C	YGR041W	YGR162W	YIL103W	YJL138C	YKL048C	YKL191W	YKL204W	YLR023C	YLR380W	YML017W	YMR083W	YNL250W	YOL109W	
YBL082C	YBR259W	YDL140C	YDR143C	YDR404C	YDR463W	YGL043W	YGL070C	YGR005C	YGR186W	YIL021W	YJL140W	YJL168C	YML010W	YOL005C	YOR151C	YOR210W	YPR093C	YPR133C	
YCR008W	YCR028C-A	YDL134C	YDL143W	YDR188W	YGL121C	YGR086C	YIL020C	YJL110C	YLR079W	YLR179C	YMR031C	YMR086W	YMR309C	YNL067W	YOL045W	YOR052C	YPL004C	YPL155C	
YBR146W	YBR251W	YDR304C	YDR337W	YDR494W	YER050C	YGL129C	YGR084C	YHR061C	YHR216W	YIL067C	YJR096W	YJR101W	YMR158W	YNL022C	YNL081C	YNL242W	YPL013C	YPL118W	
YBL002W	YBR060C	YBR125C	YDL156W	YEL056W	YER091C	YGL035C	YHR118C	YIR035C	YJL187C	YJR154W	YLL004W	YLL022C	YLR133W	YML131W	YMR044W	YMR072W	YNL261W	YPL001W	
YBL002W	YBR267W	YCL024W	YDL156W	YDR224C	YDR225W	YDR507C	YER023W	YER063W	YGL241W	YKR048C	YLR133W	YLR330W	YLR410W	YMR110C	YMR139W	YNL078W	YOL012C	YOR230W	
YBL082C	YBL093C	YBR193C	YCR081W	YDR308C	YGL025C	YGL127C	YGR104C	YHR041C	YHR058C	YMR230W	YNL236W	YNR010W	YOL051W	YOL135C	YOR192C	YPL042C	YPR070W	YPR168W	
YBL082C	YBL093C	YBR193C	YCR081W	YDL005C	YGL025C	YGL127C	YGL151W	YGR104C	YHR041C	YHR058C	YKR067W	YMR112C	YMR230W	YMR287C	YNL236W	YOL051W	YOR174W	YOR349W	
YBR081C	YBR198C	YCL010C	YCR082W	YDL059C	YDR176W	YDR392W	YDR448W	YGL066W	YGL112C	YGR252W	YGR274C	YML015C	YMR005W	YMR223W	YMR227C	YOL148C	YPL047W	YPL254W	
YBR081C	YCL010C	YCR082W	YDL059C	YDR145W	YDR176W	YDR392W	YDR406W	YDR448W	YGL066W	YGR130C	YGR252W	YLR055C	YMR223W	YMR236W	YOL148C	YPL047W	YPL254W	YPR008W	
YBR081C	YCL010C	YCR082W	YDL059C	YDR145W	YDR176W	YDR208W	YDR392W	YDR448W	YGL066W	YGR130C	YGR252W	YLR055C	YOL148C	YOR023C	YPL047W	YPL222W	YPL254W	YPR008W	
YBR081C	YCL010C	YCR082W	YDL059C	YDR145W	YDR176W	YDR208W	YDR392W	YDR406W	YDR448W	YGL066W	YGR130C	YGR252W	YLR055C	YOL148C	YOR023C	YPL047W	YPL254W	YPR008W	
YBR081C	YBR198C	YDR167W	YDR392W	YDR448W	YER148W	YGL112C	YGR274C	YIL016W	YLR055C	YML015C	YMR005W	YMR223W	YMR227C	YMR236W	YPL011C	YPL047W	YPL167C	YPL254W	
YBR267W	YCL024W	YDR224C	YDR452W	YER023W	YER063W	YGL241W	YJL128C	YKR048C	YKR092C	YLR330W	YLR410W	YMR110C	YMR139W	YNL078W	YOL012C	YOR230W	YPL090C	YPL220W	
YBR081C	YBR198C	YCL010C	YDL059C	YDR176W	YDR406W	YDR448W	YGL066W	YGR252W	YIL016W	YLR055C	YML015C	YML098W	YMR005W	YMR223W	YOL148C	YPL047W	YPL222W	YPL254W	
YBR081C	YBR198C	YCL010C	YDL059C	YDR167W	YDR176W	YDR392W	YDR406W	YDR448W	YGL066W	YGR252W	YGR274C	YLR055C	YMR223W	YMR236W	YOL148C	YPL047W	YPL222W	YPL254W	
YBR081C	YBR198C	YCL010C	YCR082W	YDR176W	YDR448W	YGL066W	YGR252W	YLR055C	YML015C	YML098W	YMR005W	YMR223W	YOL148C	YOR023C	YPL047W	YPL222W	YPL254W	YPR008W	
YBR081C	YBR198C	YCL010C	YCR082W	YDR167W	YDR176W	YDR208W	YDR392W	YDR448W	YGL066W	YGR252W	YLR055C	YMR223W	YMR236W	YOL148C	YPL047W	YPL222W	YPL254W	YPR008W	
YBL054W	YBR080C	YCR014C	YDL030W	YDL036C	YDL175C	YDR108W	YDR363W-A	YFR010W	YGL094C	YGR232W	YHR200W	YKL007W	YLR421C	YNL047C	YNL087W	YOR115C	YOR209C	YPR078C	
YBR081C	YCL010C	YCR082W	YDL059C	YDR145W	YDR176W	YDR392W	YDR448W	YGL066W	YGR130C	YGR252W	YLR055C	YMR223W	YMR236W	YOL148C	YPL047W	YPL222W	YPL254W	YPR008W	
YAL017W	YBR289W	YER155C	YFL049W	YGR275W	YHL025W	YIL177C	YJL137C	YJL176C	YLR035C	YMR159C	YNL085W	YNL307C	YNR023W	YOR290C	YPL016W	YPL208W	YPR034W	YPR081C	
YBL054W	YBR080C	YCR014C	YDL036C	YDL175C	YDR108W	YDR363W-A	YFR010W	YGL094C	YGR061C	YGR232W	YHR200W	YJR066W	YLR421C	YNL087W	YOR124C	YOR209C	YPR045C	YPR078C	
YBR069C	YBR166C	YBR169C	YDR006C	YDR137W	YDR165W	YDR234W	YDR272W	YDR484W	YER071C	YFR053C	YGL253W	YGR285C	YHR064C	YIL071C	YJL095W	YNL209W	YOR069W	YOR081C	
YBR173C	YDL203C	YEL061C	YER012W	YER132C	YFL017C	YGL096W	YGR067C	YGR087C	YGR135W	YGR253C	YJL132W	YJR143C	YKL206C	YKR054C	YKR070W	YKR095W	YLR199C	YLR290C	
YBR069C	YBR139W	YBR169C	YCL014W	YDR006C	YDR234W	YDR457W	YDR484W	YER071C	YFL007W	YGL066W	YGR285C	YHR064C	YKL047W	YLR058C	YNL209W	YOL025W	YOL087C	YOR081C	
YBR069C	YBR139W	YBR166C	YBR169C	YDR006C	YDR165W	YDR234W	YDR484W	YFR053C	YGL253W	YGR285C	YHR064C	YKL047W	YLR135W	YLR231C	YLR262C	YNL209W	YOL087C	YOR081C	
YBL054W	YBR080C	YDL036C	YDL175C	YDR108W	YDR363W-A	YFR010W	YGL094C	YGR061C	YGR232W	YHR200W	YKL007W	YLR421C	YNL047C	YNL087W	YOR124C	YOR209C	YPR045C	YPR078C	
YDR103W	YDR251W	YEL023C	YER032W	YER086W	YGR136W	YJL052W	YJR009C	YKL216W	YKR042W	YLR144C	YML091C	YNL102W	YNL273W	YOR269W	YOR299W	YOR305W	YOR368W	YPR164W	
YDR103W	YDR251W	YEL023C	YER032W	YER086W	YHL002W	YJL052W	YJR009C	YKL216W	YKR042W	YLR144C	YMR259C	YNL102W	YNL273W	YOR269W	YOR299W	YOR368W	YPL003W	YPR164W	
YFR001W	YGR124W	YHR137W	YKL007W	YKL113C	YKL172W	YLR196W	YLR276C	YLR455W	YMR229C	YNL088W	YNL299W	YOL077C	YOR064C	YOR140W	YOR206W	YOR310C	YPR131C	YPR137W	
YBR081C	YCL010C	YCR082W	YDL059C	YDR406W	YDR448W	YGL066W	YGL112C	YGR252W	YLR055C	YML015C	YML098W	YMR223W	YMR227C	YOL148C	YOR023C	YPL047W	YPL222W	YPL254W	
YBR081C	YCL010C	YDR145W	YDR176W	YDR392W	YGL066W	YGL112C	YGR130C	YGR252W	YLR055C	YML098W	YMR223W	YMR227C	YOL148C	YOR023C	YPL047W	YPL222W	YPL254W	YPR008W	
YBR081C	YCL010C	YDR145W	YDR176W	YDR392W	YGL066W	YGL112C	YGR130C	YGR252W	YLR055C	YML031W	YML098W	YMR223W	YMR227C	YOL148C	YOR023C	YPL047W	YPL254W	YPR008W	
YBR081C	YCL010C	YDR145W	YDR176W	YDR392W	YDR406W	YGL066W	YGL112C	YGR130C	YGR252W	YLR055C	YML098W	YMR223W	YMR227C	YOL148C	YOR023C	YPL047W	YPL254W	YPR008W	
YBR289W	YDL179W	YDR303C	YDR520C	YFL049W	YGR056W	YGR275W	YHL025W	YIL177C	YJL137C	YLR035C	YMR159C	YNL085W	YNR023W	YOR156C	YOR290C	YPL208W	YPR034W	YPR081C	
YBR289W	YDL055C	YDL179W	YFL049W	YGR275W	YHL025W	YIL177C	YJL137C	YJL176C	YLR035C	YMR159C	YNL085W	YNL307C	YOR156C	YOR290C	YPL016W	YPL208W	YPR034W	YPR081C	
YBR081C	YCL010C	YCR082W	YDR145W	YDR176W	YDR392W	YDR406W	YDR448W	YGL066W	YGR130C	YLR055C	YMR223W	YOL148C	YOR023C	YPL011C	YPL047W	YPL222W	YPL254W	YPR008W	
YBR289W	YCR052W	YER155C	YFL049W	YHL025W	YIL177C	YJL137C	YJL176C	YLR035C	YLR357W	YMR159C	YNL085W	YNL307C	YNR023W	YOR156C	YOR290C	YPL208W	YPR034W	YPR081C	
YAL019W	YDR043C	YER164W	YGL019W	YGR063C	YHR131C	YIL035C	YKL160W	YLR109W	YLR362W	YLR387C	YLR407W	YMR154C	YMR172W	YOL088C	YOR039W	YOR052C	YOR054C	YOR061W	
YAL019W	YDR043C	YER164W	YGL019W	YGR063C	YHR131C	YIL035C	YJL115W	YKL160W	YLR362W	YLR387C	YLR407W	YMR154C	YMR172W	YOL088C	YOR039W	YOR052C	YOR054C	YOR061W	
YCR016W	YCR077C	YDL160C	YDR153C	YDR378C	YDR473C	YEL015W	YER112W	YGL173C	YGL213C	YGR054W	YHL034C	YJL124C	YJR022W	YKL015W	YKL023W	YNL147W	YNL255C	YPR189W	
YCL014W	YDR165W	YDR251W	YEL023C	YFR053C	YGL253W	YHL002W	YJL052W	YJL128C	YJR009C	YKL216W	YLR027C	YLR131C	YLR231C	YNL102W	YNL273W	YOR269W	YOR299W	YOR368W	
YCR077C	YDR378C	YDR473C	YER112W	YER172C	YGL173C	YGR054W	YJL124C	YJR022W	YKL023W	YKL173W	YLR275W	YNL024C	YNL147W	YOR305W	YOR308C	YPR057W	YPR178W	YPR182W	
