YAL032C	YBL104C	YBR065C	YBR152W	YCR063W	YDL030W	YDL209C	YDR364C	YDR416W	YDR473C	YGL128C	YGR091W	YGR278W	YHR156C	YJR050W	YKR022C	YLR117C	YMR213W	YOR308C	
YAL016W	YAL024C	YBR103W	YCR033W	YDL134C	YDL188C	YDR155C	YGL190C	YGL194C	YGR161C	YGR281W	YHR158C	YKR029C	YML109W	YMR273C	YOL068C	YOR014W	YOR349W	YPR040W	
YAL016W	YAL024C	YBR103W	YCR033W	YDL134C	YDL188C	YDR155C	YGL190C	YGL194C	YGR161C	YGR281W	YHR158C	YIL112W	YKR029C	YML109W	YMR273C	YOL068C	YOR014W	YOR349W	
YAL016W	YAL024C	YBL104C	YBR103W	YCR033W	YDL134C	YDL188C	YGL190C	YGL194C	YGR161C	YGR281W	YHR158C	YIL112W	YIR009W	YKR029C	YML109W	YMR273C	YOR014W	YOR349W	
YAL016W	YAL024C	YBL104C	YBR103W	YCR033W	YDL134C	YDL188C	YDR155C	YGL190C	YGL194C	YGR161C	YHR158C	YIL112W	YKR029C	YML109W	YMR273C	YOL068C	YOR014W	YOR349W	
YDL074C	YDL167C	YDL213C	YDR299W	YDR365C	YDR432W	YER074W	YGL171W	YHR089C	YHR169W	YJL033W	YLR197W	YML130C	YMR080C	YMR143W	YNL016W	YNL075W	YOR078W	YOR310C	
YBR263W	YDL082W	YDR471W	YFR031C-A	YGL031C	YGL103W	YGR085C	YGR204W	YJL191W	YLR367W	YML073C	YMR142C	YNL069C	YNL301C	YOL120C	YPL009C	YPL143W	YPL249C-A	YPR175W	
YBR126C	YBR272C	YDL058W	YDL070W	YDL167C	YDR300C	YFR006W	YGL190C	YGR170W	YGR250C	YIR001C	YJR132W	YJR138W	YLR325C	YMR080C	YMR176W	YNL076W	YOL054W	YPL001W	
YBR126C	YDL058W	YDL070W	YDL167C	YDR164C	YDR300C	YFR006W	YGL190C	YGR170W	YGR250C	YIR001C	YJR132W	YJR138W	YLR325C	YML117W	YMR176W	YNL016W	YNL076W	YOL054W	
YBL039C	YBR017C	YDL097C	YDR394W	YFR004W	YFR010W	YGL048C	YGR232W	YHL030W	YHR027C	YHR200W	YIL075C	YJR109C	YLR421C	YML092C	YNL250W	YOL087C	YOR117W	YOR259C	
YBL039C	YBR017C	YDL007W	YDL097C	YDL147W	YDR427W	YER021W	YFR004W	YFR010W	YFR052W	YGL048C	YHL030W	YHR200W	YIL075C	YLR421C	YOL087C	YOR117W	YOR261C	YPR108W	
YBR127C	YDL185W	YDL213C	YDR202C	YDR328C	YDR516C	YEL013W	YEL051W	YGR020C	YIL128W	YJR033C	YKL080W	YKL119C	YLR447C	YMR054W	YNR050C	YOR270C	YOR332W	YPR036W	
YBL090W	YBR146W	YDR036C	YDR347W	YER091C	YGL180W	YGR061C	YGR084C	YGR165W	YGR170W	YGR215W	YIL093C	YJR101W	YJR113C	YKL155C	YNL186W	YOR243C	YPL013C	YPL118W	
YBR105C	YBR272C	YDL058W	YDL070W	YDR300C	YEL056W	YFR006W	YGL131C	YGR170W	YJR109C	YJR132W	YLL022C	YLR325C	YMR176W	YNL030W	YOL054W	YOR293W	YOR303W	YPL001W	
YBR127C	YDL185W	YDL213C	YDR202C	YDR516C	YEL013W	YEL051W	YER171W	YGR020C	YIL128W	YJR033C	YKL080W	YKL119C	YLR447C	YMR054W	YNR050C	YOR270C	YOR332W	YPR036W	
YBR289W	YDR073W	YFL049W	YGL013C	YGR056W	YGR275W	YHL025W	YIL126W	YJL176C	YKR008W	YLR357W	YML127W	YMR033W	YMR091C	YNR023W	YOR290C	YPL016W	YPL129W	YPR034W	
YBR127C	YDL185W	YDL213C	YDR202C	YDR516C	YEL013W	YEL051W	YGR020C	YIL128W	YJL012C	YJR033C	YKL080W	YKL119C	YLR447C	YMR054W	YNR050C	YOR270C	YOR332W	YPR036W	
YBR247C	YCR057C	YDR449C	YER082C	YGR090W	YGR128C	YHR148W	YHR196W	YJL069C	YLR003C	YLR129W	YLR186W	YLR222C	YLR223C	YLR409C	YOR145C	YPL266W	YPR112C	YPR144C	
YBR289W	YDR073W	YDR303C	YFL049W	YGR056W	YGR275W	YHL025W	YIL126W	YJL176C	YKR001C	YKR008W	YLR033W	YLR357W	YML127W	YMR033W	YMR091C	YNR023W	YOR290C	YPL129W	
YAL029C	YBR081C	YBR253W	YCL010C	YDR167W	YDR176W	YDR392W	YDR448W	YER165W	YGL066W	YGR252W	YGR274C	YHR099W	YLR055C	YMR223W	YMR236W	YNL025C	YPL254W	YPR070W	
YBR017C	YDL007W	YDL097C	YDL147W	YDL216C	YDR179C	YER012W	YER021W	YGR135W	YGR232W	YHL030W	YIL071C	YLR035C	YLR421C	YMR025W	YOL087C	YOL117W	YOR259C	YOR261C	
YBR279W	YER103W	YER164W	YGL207W	YGR163W	YGR217W	YIL035C	YKL064W	YKL072W	YKL088W	YLR407W	YLR418C	YMR172W	YOL004W	YOL145C	YOR039W	YOR061W	YOR123C	YPL181W	
YBR198C	YCL010C	YCR042C	YDR145W	YDR176W	YDR392W	YDR448W	YGL066W	YGL112C	YGR252W	YLR055C	YML007W	YML015C	YML114C	YMR223W	YNL272C	YOL148C	YPL011C	YPL254W	
YBR198C	YCL010C	YCR042C	YDR145W	YDR176W	YDR392W	YDR448W	YGL066W	YGL112C	YGR252W	YLR055C	YML015C	YML114C	YMR223W	YMR227C	YNL272C	YOL148C	YPL011C	YPL254W	
YAL029C	YBR081C	YCL010C	YDR176W	YDR392W	YDR448W	YGL066W	YGL151W	YGR252W	YGR274C	YHR099W	YLR055C	YML007W	YMR223W	YMR236W	YNL236W	YOL148C	YPL011C	YPL254W	
YBL026W	YBR055C	YBR065C	YCR063W	YCR077C	YDL098C	YDR378C	YER172C	YGL173C	YHR156C	YHR165C	YJL124C	YLR147C	YLR424W	YLR438C-A	YML049C	YMR288W	YOR308C	YPR082C	
YBR017C	YDL007W	YDL097C	YDL147W	YER021W	YFR004W	YFR010W	YGR232W	YHL030W	YHR027C	YHR200W	YKL145W	YLR421C	YOL038W	YOL098C	YOR117W	YOR259C	YOR261C	YPR108W	
YBR279W	YER103W	YER164W	YGL019W	YGL244W	YIL035C	YIL084C	YKL064W	YKL072W	YLR407W	YLR418C	YMR172W	YNL330C	YOL004W	YOL145C	YOR039W	YOR061W	YOR123C	YPL181W	
YBL024W	YBL038W	YBR122C	YBR282W	YCR046C	YCR071C	YDR116C	YDR296W	YDR462W	YHR147C	YML009C	YMR064W	YMR193W	YMR225C	YNL175C	YNL252C	YNL284C	YOR150W	YOR201C	
YBL024W	YBL038W	YBR122C	YBR282W	YCR046C	YCR071C	YDR116C	YDR296W	YDR462W	YHR147C	YML009C	YMR064W	YMR193W	YMR225C	YNL252C	YNL284C	YOR069W	YOR150W	YOR201C	
YAL013W	YBR095C	YDL076C	YDR207C	YEL018W	YIL035C	YIL084C	YKL064W	YKL072W	YLR103C	YLR407W	YMR263W	YNL097C	YNL330C	YOL004W	YOR061W	YPL139C	YPL181W	YPR023C	
YBR279W	YER103W	YER164W	YGL019W	YGL244W	YIL035C	YIL084C	YKL064W	YKL072W	YKL088W	YLR407W	YLR418C	YMR172W	YOL004W	YOL145C	YOR039W	YOR061W	YOR123C	YPL181W	
YBR279W	YER164W	YGL019W	YGL207W	YGL244W	YGR163W	YGR217W	YIL035C	YIL084C	YLR407W	YLR418C	YMR172W	YNL330C	YOL004W	YOL145C	YOR039W	YOR061W	YOR123C	YPL181W	
YBR279W	YER103W	YER164W	YGL019W	YGL244W	YIL035C	YIL084C	YIL101C	YKL064W	YKL072W	YLR407W	YLR418C	YML069W	YMR172W	YOL004W	YOL145C	YOR039W	YOR061W	YOR123C	
YBR279W	YER103W	YER164W	YGL019W	YGL244W	YIL035C	YIL084C	YIL101C	YKL064W	YKL072W	YKL088W	YLR407W	YLR418C	YMR172W	YOL004W	YOL145C	YOR039W	YOR061W	YOR123C	
YDL115C	YDL140C	YDR171W	YDR251W	YDR404C	YFR009W	YGL070C	YGR005C	YGR063C	YGR186W	YJR063W	YML010W	YOR151C	YOR224C	YOR341W	YPL129W	YPR093C	YPR180W	YPR187W	
YBL076C	YBR121C	YBR263W	YCL050C	YDL112W	YDR035W	YDR335W	YDR341C	YDR471W	YFL026W	YGL238W	YGR204W	YHR128W	YJL200C	YLL018C	YLR355C	YOL120C	YOR048C	YPL009C	
YBR279W	YER103W	YER164W	YFR013W	YGL019W	YGL244W	YIL035C	YIL084C	YKL064W	YKL072W	YLR407W	YLR418C	YMR172W	YOL004W	YOL145C	YOR039W	YOR061W	YOR123C	YPL181W	
YBR017C	YDL007W	YDR394W	YDR427W	YER021W	YFR010W	YFR052W	YGR232W	YHL030W	YHR027C	YHR200W	YKL145W	YLR421C	YMR314W	YOL038W	YOL087C	YOL098C	YOR117W	YOR259C	
YBR279W	YER103W	YER164W	YGL019W	YGL207W	YGR163W	YGR217W	YIL035C	YIL084C	YKL064W	YKL072W	YLR407W	YML069W	YNL330C	YOL004W	YOL145C	YOR039W	YOR061W	YPL181W	
YAL013W	YBR095C	YDL076C	YDR207C	YFR013W	YIL035C	YIL084C	YIL101C	YKL064W	YKL072W	YLR407W	YMR075W	YMR263W	YNL097C	YOL004W	YOR061W	YPL139C	YPL181W	YPR023C	
YBR279W	YER103W	YER164W	YGL019W	YGL207W	YGL244W	YGR163W	YIL035C	YKL064W	YKL072W	YKL088W	YLR407W	YML069W	YMR172W	YOL004W	YOL145C	YOR039W	YOR061W	YPL181W	
YBR279W	YER103W	YER164W	YGL019W	YGL207W	YGL244W	YGR163W	YIL035C	YIL084C	YKL064W	YKL072W	YLR407W	YLR418C	YMR172W	YOL004W	YOL145C	YOR039W	YOR061W	YOR123C	
YBR279W	YER103W	YER164W	YGL019W	YGL207W	YGL244W	YGR163W	YIL035C	YIL084C	YKL064W	YKL072W	YKL088W	YLR407W	YML069W	YMR172W	YOL004W	YOL145C	YOR039W	YOR061W	
YBR279W	YER103W	YER164W	YGL019W	YGL207W	YGL244W	YGR163W	YGR217W	YIL035C	YIL084C	YKL064W	YKL072W	YKL088W	YLR407W	YLR418C	YMR172W	YOL004W	YOR039W	YOR061W	
YAL013W	YBR095C	YCR084C	YDR207C	YEL018W	YGL019W	YIL035C	YIL084C	YIL101C	YKL064W	YKL072W	YMR075W	YMR128W	YMR263W	YNL097C	YNL330C	YOL004W	YPL139C	YPL181W	
YBR289W	YDL167C	YDR073W	YFL049W	YGL013C	YGR250C	YGR275W	YHL025W	YIR001C	YJL176C	YKR001C	YML117W	YMR033W	YNL016W	YNR023W	YOL072W	YOR290C	YPL016W	YPL129W	
YBR272C	YDL058W	YDL070W	YDR300C	YEL056W	YFR006W	YGL131C	YGR170W	YJR132W	YJR138W	YLL022C	YLR325C	YLR386W	YMR176W	YNL001W	YNL030W	YOL054W	YPL001W	YPL058C	
YBR193C	YCR081W	YDR443C	YGL025C	YGL127C	YGR104C	YHR041C	YKR095W	YLR071C	YML007W	YMR112C	YNL025C	YNL236W	YNR010W	YOL051W	YOL135C	YPL042C	YPR070W	YPR168W	
YBR272C	YDL058W	YDL070W	YDR300C	YEL056W	YFR006W	YGL131C	YGR170W	YJR132W	YJR138W	YLL022C	YLR325C	YLR386W	YMR176W	YNL001W	YOL054W	YOR303W	YPL001W	YPL058C	
YBL087C	YBR153W	YDL031W	YDR496C	YEL055C	YER006W	YLR196W	YLR276C	YLR367W	YLR448W	YMR049C	YMR121C	YNL002C	YNL175C	YPL043W	YPL093W	YPL211W	YPR043W	YPR102C	
YAL013W	YCR084C	YDL076C	YDR207C	YEL018W	YGL244W	YIL035C	YIL084C	YIL101C	YKL072W	YLR103C	YMR075W	YMR263W	YNL097C	YNL330C	YOL004W	YPL139C	YPL181W	YPR023C	
YBR289W	YCR052W	YFL049W	YGR056W	YGR275W	YHL025W	YIL126W	YJL176C	YKR008W	YLR321C	YLR357W	YML127W	YMR033W	YMR091C	YNR023W	YOL067C	YOR290C	YPL129W	YPR034W	
YBL103C	YBR245C	YDL002C	YDL192W	YDR190C	YER092W	YFL013C	YFR013W	YGL013C	YGL133W	YGL150C	YGR017W	YJL081C	YLR052W	YMR072W	YOR141C	YOR304W	YPL053C	YPL235W	
YBL007C	YBL047C	YCL014W	YCR030C	YDL191W	YDR348C	YFR024C-A	YGL043W	YHR114W	YJL201W	YLR150W	YLR189C	YLR337C	YLR371W	YML009C	YMR225C	YOL016C	YOR181W	YPL183W-A	
YDL087C	YDR240C	YER029C	YGL049C	YGL100W	YGR013W	YIL061C	YJR084W	YKL012W	YLR147C	YLR226W	YLR275W	YLR298C	YML046W	YMR125W	YOL139C	YPL178W	YPR057W	YPR161C	
YDL087C	YDR240C	YER029C	YGL094C	YGL100W	YGR013W	YIL061C	YJR084W	YKL012W	YLR147C	YLR226W	YLR275W	YLR298C	YML046W	YMR125W	YOL139C	YPL178W	YPR057W	YPR161C	
YBL030C	YBR263W	YDR141C	YDR457W	YFL026W	YFR044C	YGL238W	YGR204W	YHL011C	YJL052W	YKL008C	YKL039W	YKL067W	YKL092C	YLL040C	YLR044C	YNR016C	YPL009C	YPL218W	
YBR114W	YCR028C-A	YCR092C	YDL156W	YDL225W	YDR097C	YDR295C	YHR146W	YHR164C	YIR002C	YLR142W	YML032C	YMR196W	YMR315W	YNL021W	YOL090W	YOR332W	YPL154C	YPR065W	
YBR119W	YCL037C	YDL051W	YDL087C	YDL175C	YDR235W	YDR240C	YGL049C	YGR162W	YHL034C	YHR086W	YHR165C	YIL061C	YJL190C	YLR226W	YLR345W	YMR125W	YPL178W	YPR057W	
YBR279W	YER164W	YGL019W	YIL035C	YKL064W	YKL072W	YKL088W	YLR103C	YLR407W	YLR418C	YML016C	YMR172W	YNL330C	YOL004W	YOL145C	YOR039W	YOR061W	YOR123C	YPL181W	
YBR017C	YDL097C	YDR394W	YER094C	YFR010W	YGL011C	YGR135W	YGR218W	YGR232W	YHL030W	YHR200W	YJR109C	YKL145W	YKL210W	YLR421C	YMR314W	YOL087C	YOL098C	YPR103W	
YBL017C	YBR214W	YBR225W	YDL047W	YDL080C	YDL219W	YER072W	YER155C	YFR019W	YGL197W	YGR161C	YGR196C	YIL142W	YJL098W	YKL117W	YKR028W	YNR016C	YOR267C	YPL049C	
YBR119W	YCL011C	YCL037C	YDL175C	YGL094C	YGR074W	YGR162W	YHL034C	YIL061C	YJL190C	YKL012W	YLR226W	YLR298C	YLR430W	YMR125W	YMR230W	YPL178W	YPL190C	YPR057W	
YDL115C	YDL117W	YDL140C	YDR251W	YDR404C	YGL070C	YGR005C	YGR063C	YGR186W	YHL021C	YIL021W	YJL140W	YLR450W	YML010W	YML114C	YOL005C	YPL129W	YPR093C	YPR180W	
YBL026W	YCR077C	YDL098C	YDL160C	YDR378C	YER112W	YER146W	YGL173C	YGR074W	YGR075C	YGR091W	YHR156C	YHR165C	YJL124C	YJL203W	YLR147C	YOL149W	YOR308C	YPR057W	
YBR279W	YER164W	YGL019W	YGL244W	YHL020C	YIL035C	YKL064W	YKL072W	YKL088W	YLR223C	YLR407W	YLR418C	YMR172W	YOL004W	YOL145C	YOR039W	YOR061W	YOR123C	YPL181W	
YBR119W	YCL011C	YCL037C	YDL051W	YDL087C	YDL175C	YGL049C	YGL094C	YGR162W	YHL034C	YJL190C	YKL012W	YLR226W	YML049C	YMR125W	YMR230W	YNL286W	YPL178W	YPL190C	
YBL026W	YBR065C	YCR063W	YCR077C	YDL098C	YDL160C	YDR378C	YDR416W	YER112W	YER146W	YGR074W	YGR075C	YGR091W	YHR156C	YHR165C	YJL124C	YJL203W	YLR147C	YOR308C	
YBR198C	YCL010C	YCR042C	YDR145W	YDR176W	YDR392W	YDR448W	YGL066W	YGL112C	YGL151W	YGR252W	YLR055C	YML007W	YML114C	YMR223W	YNL236W	YOL148C	YPL011C	YPL254W	
YBR105C	YDL058W	YDL070W	YDR300C	YEL056W	YFR006W	YGR170W	YGR194C	YJR109C	YJR132W	YLL022C	YLR325C	YMR176W	YNL001W	YNL030W	YNL265C	YOL054W	YOR303W	YPL001W	
YAL036C	YBL022C	YBR084W	YDL051W	YDR418W	YGR054W	YGR162W	YGR285C	YHR010W	YHR064C	YJL080C	YJL190C	YJR145C	YKR057W	YLR406C	YLR448W	YMR116C	YMR230W	YPR189W	
YAL017W	YBR081C	YCL010C	YDR392W	YDR448W	YGL066W	YGL112C	YGR252W	YGR274C	YLR055C	YML007W	YML015C	YML098W	YMR227C	YOL135C	YOL148C	YPL011C	YPL254W	YPR070W	
YCR081W	YDR443C	YDR448W	YER022W	YGL025C	YGL127C	YGL151W	YGR104C	YGR274C	YHR041C	YHR099W	YKR095W	YML007W	YNL236W	YNR010W	YOL051W	YOL135C	YPL042C	YPR070W	
YBR114W	YBR136W	YCR028C-A	YCR092C	YDL156W	YDL225W	YDR097C	YDR499W	YHR146W	YIR002C	YJL173C	YLR142W	YLR386W	YMR196W	YMR315W	YNL233W	YOL090W	YPL154C	YPR065W	
YBL047C	YCL014W	YCR030C	YDL191W	YDR405W	YFR024C-A	YGL043W	YHR114W	YJL005W	YJL201W	YLR150W	YLR189C	YLR371W	YML009C	YMR098C	YMR225C	YOL016C	YOR181W	YPL183W-A	
YAL036C	YBL022C	YBR084W	YDL051W	YDR418W	YGR162W	YGR285C	YHL015W	YHR010W	YHR064C	YJL080C	YJL138C	YJL190C	YJR145C	YKR057W	YLR406C	YLR448W	YOR096W	YPR189W	
YAL036C	YBL022C	YBR084W	YDL051W	YDR418W	YGR162W	YGR285C	YHL015W	YHR010W	YHR064C	YJL080C	YJL138C	YJL190C	YJR145C	YKR057W	YLR398C	YLR406C	YOR096W	YPR189W	
YBR245C	YCR052W	YDR174W	YDR303C	YFL049W	YFR037C	YGR056W	YGR275W	YHL025W	YIL126W	YKR008W	YLR033W	YLR321C	YLR357W	YMR033W	YMR091C	YNR023W	YOL067C	YPR034W	
YBR152W	YDL087C	YDL209C	YDR416W	YDR473C	YER013W	YGL128C	YGR074W	YGR278W	YJL203W	YKL095W	YKL173W	YKR022C	YLR147C	YLR275W	YMR213W	YOR308C	YPL151C	YPR178W	
YAL036C	YBL022C	YBR084W	YDL051W	YDR418W	YGR054W	YGR162W	YGR285C	YHR010W	YHR064C	YJL138C	YJL190C	YKL143W	YKR057W	YLR398C	YLR406C	YMR116C	YOR096W	YPR189W	
YBL103C	YBR049C	YBR245C	YCR052W	YDR081C	YDR225W	YDR303C	YFR037C	YGL133W	YGR275W	YKR001C	YKR008W	YLR357W	YMR072W	YMR091C	YOL067C	YOL072W	YPL082C	YPR034W	
YAL009W	YBL022C	YBL061C	YBR084W	YDL040C	YDR517W	YGR016W	YGR254W	YGR285C	YHR013C	YJL080C	YJL099W	YKR027W	YLR330W	YMR116C	YMR237W	YOR096W	YPL198W	YPR189W	
YAL017W	YCR081W	YDR443C	YGL025C	YGL112C	YGL127C	YGR104C	YGR252W	YHR041C	YHR058C	YKR095W	YLR071C	YML007W	YNL025C	YNL236W	YNR010W	YOL051W	YPL042C	YPR070W	
YAL017W	YBR081C	YCL010C	YCR042C	YDR448W	YFR019W	YGL066W	YGL112C	YGR252W	YLR055C	YML007W	YML015C	YML098W	YMR223W	YMR227C	YOL135C	YOL148C	YPL254W	YPR070W	
YBL103C	YBR049C	YBR245C	YCR052W	YDR224C	YDR225W	YDR303C	YFR037C	YGR017W	YGR056W	YKR008W	YLR033W	YLR321C	YLR357W	YML127W	YMR033W	YMR072W	YMR091C	YPR034W	
YAL009W	YBL022C	YBR084W	YDL040C	YGL213C	YGR016W	YGR254W	YGR285C	YHR013C	YJL080C	YJL099W	YJR145C	YLR330W	YLR398C	YMR116C	YMR237W	YOR096W	YPL198W	YPR189W	
