YBR065C	YCR063W	YDR416W	YHR156C	YHR165C	
YAL029C	YBR109C	YKL129C	YLL040C	YLR433C	
YBR109C	YKL129C	YLL040C	YLR433C	YML057W	
YAR014C	YER133W	YMR311C	YNL233W	YPL137C	
YAR014C	YER133W	YKL193C	YMR311C	YNL233W	
YBR136W	YCR028C-A	YDL156W	YJL173C	
YBL058W	YBR170C	YDL126C	YDR049W	
YER125W	YHR131C	YJL084C	YKR021W	
YBR065C	YCR063W	YJR050W	YPR101W	
YDL156W	YER104W	YHR164C	YNL312W	
YER164W	YLR407W	YMR172W	YOR061W	
YBR109C	YKL129C	YLL040C	YLR433C	
YIL050W	YOL001W	YPL031C	YPL219W	
YBR135W	YKR091W	YMR199W	YPL256C	
YDR050C	YMR083W	YMR303C	YOL086C	
YDL140C	YER139C	YGL043W	YPR093C	
YDL108W	YDR460W	YPR025C	YPR056W	
YGL061C	YGR113W	YKR037C	YKR083C	
YGL173C	YGR054W	YKL023W	YPR140W	
YGR233C	YIL050W	YPL031C	YPL219W	
YDL047W	YFR040W	YJL098W	YKR028W	
YCR009C	YDR129C	YLR429W	YPR171W	
YCR012W	YMR083W	YMR303C	YOL086C	
YGL241W	YKR048C	YMR139W	YNL078W	
YGL240W	YHR166C	YLR102C	YNL172W	
YKL088W	YKR072C	YML016C	YOR054C	
YDR267C	YER171W	YHR122W	YIL128W	
YDR233C	YHR146W	YJL146W	YPL154C	
YDR201W	YGR113W	YKR037C	YKR083C	
YAR014C	YER133W	YKL193C	YMR311C	
YAR014C	YER133W	YMR311C	YNL233W	
YAR014C	YER133W	YNL233W	YPL137C	
YDR171W	YGR234W	YNL055C	YNL085W	
YBL056W	YBR125C	YDR071C	YER089C	
YLR035C	YMR167W	YNL082W	
YLR044C	YMR083W	YOL086C	
YLR268W	YLR440C	YOR075W	
YLR423C	YPL166W	YPR049C	
YLR449W	YML074C	YPR169W	
YML014W	YNR046W	YOL124C	
YMR072W	YOR058C	YPR052C	
YMR083W	YMR303C	YOL086C	
YAL007C	YGL200C	YOR016C	
YHL029C	YNL056W	YNL099C	
YGR071C	YLR373C	YPL128C	
YGR113W	YKL052C	YKR083C	
YGR119C	YIL115C	YJL041W	
YGR134W	YJR011C	YNL288W	
YGR192C	YKL152C	YML028W	
YOL001W	YPL031C	YPL219W	
YGR262C	YJL184W	YKR038C	
YGR262C	YJL184W	YML036W	
YGR285C	YHR064C	YJL080C	
YHL019C	YKL135C	YPL259C	
YGL240W	YHR166C	YLR102C	
YHR012W	YJL053W	YOR132W	
YHR081W	YNR024W	YOR001W	
YHR131C	YLR407W	YOR061W	
YHR146W	YJL146W	YPL154C	
YHR156C	YHR165C	YKR022C	
YIL022W	YJR045C	YLR203C	
YIL050W	YPL031C	YPL219W	
YIL094C	YNL037C	YOR136W	
YIL161W	YNL023C	YNL135C	
YIR009W	YMR288W	YNL286W	
YBR167C	YBR257W	YGR030C	
YBR065C	YHR156C	YHR165C	
YBR087W	YOR144C	YOR217W	
YBR094W	YEL015W	YOL149W	
YBR097W	YBR128C	YPL120W	
YBR097W	YLR240W	YLR360W	
YBR103W	YDR155C	YKR029C	
YBR125C	YDR071C	YDR186C	
YBR135W	YKR091W	YMR199W	
YBR135W	YMR199W	YPL256C	
YBR160W	YLR079W	YPL256C	
YBR017C	YGL122C	YOR160W	
YBR169C	YDR349C	YLR430W	
YBR189W	YGR081C	YGR214W	
YBR221C	YER178W	YGR193C	
YBR245C	YFR013W	YOL017W	
YBR278W	YDR121W	YJL065C	
YBR288C	YGR261C	YJL024C	
YBR288C	YJL024C	YPL195W	
YCL008C	YGR206W	YPL065W	
YCL008C	YLR119W	YPL065W	
YCL016C	YHR191C	YMR078C	
YAR014C	YER133W	YMR311C	
YAL011W	YLR085C	YML041C	
YAL021C	YGR134W	YJR011C	
YAL024C	YGR238C	YHR158C	
YAL026C	YKL119C	YLR447C	
YAL033W	YBR167C	YGR030C	
YAL033W	YDR478W	YHR062C	
YAL034C	YER110C	YPR174C	
YAL047C	YHR172W	YLR212C	
YAR002W	YLR347C	YOR098C	
YAR002W	YNL189W	YPL020C	
YCL031C	YGR090W	YLR223C	
YBL007C	YLR337C	YOR181W	
YBL008W	YBR215W	YJR140C	
YBL008W	YJR140C	YOR038C	
YBL037W	YJR005W	YOL062C	
YBL045C	YLR132C	YPR191W	
YBL056W	YDR071C	YER089C	
YBL058W	YBR170C	YDL126C	
YBL058W	YDL126C	YDR049W	
YBR011C	YDL203C	YPL066W	
YDR166C	YJL085W	YLR166C	
YDL143W	YER086W	YKL029C	
YDL145C	YER122C	YIL076W	
YDL155W	YLR079W	YLR210W	
YDR022C	YLR423C	YPR049C	
YDR050C	YMR083W	YOL086C	
YDR054C	YJL047C	YOL063C	
YDR075W	YIL153W	YNL201C	
YDR129C	YLR429W	YMR109W	
YDR129C	YLR429W	YNL106C	
YDR129C	YLR429W	YPR171W	
YDL140C	YER139C	YPR093C	
YDR167W	YML098W	YMR005W	
YDR171W	YGR234W	YNL085W	
YDR171W	YNL055C	YNL085W	
YDR214W	YFL045C	YGL195W	
YDR233C	YJL146W	YPL154C	
YDR238C	YER122C	YIL076W	
YDR267C	YER171W	YIL128W	
YDR267C	YHR122W	YIL128W	
YDR311W	YDR460W	YPR056W	
YDR325W	YFR031C	YLR272C	
YDL042C	YDR227W	YJL076W	
YCR002C	YDL225W	YJR092W	
YCR009C	YDR129C	YLR429W	
YCR009C	YLR429W	YPR171W	
YCR028C-A	YDL156W	YJL173C	
YCR042C	YML114C	YPL129W	
YCR063W	YGL128C	YKR022C	
YCR073W-A	YLR028C	YMR120C	
YCR092C	YDR097C	YOL090W	
YCR095C	YDR067C	YHL029C	
YCR095C	YNL056W	YNL099C	
YDR388W	YMR192W	YPL249C	
YDL047W	YFR040W	YKR028W	
YDL051W	YGR162W	YJL138C	
YDL053C	YGR178C	YHR121W	
YDL056W	YER111C	YLR182W	
YDL066W	YJL034W	YMR214W	
YDL090C	YGL155W	YKL019W	
YDL099W	YDR517W	YIL109C	
YDL108W	YDR460W	YPR025C	
YDL112W	YKL182W	YPL231W	
