YAL040C	YCL030C	YDL029W	YDL047W	YDR018C	YER155C	YER167W	YFR040W	YJL098W	YKL092C	YKR028W	YKR042W	YKR072C	YLL024C	YOR188W	
YAL040C	YBR234C	YCL030C	YDL047W	YER155C	YER167W	YFR040W	YHL027W	YJL098W	YKL092C	YKR028W	YKR072C	YLL024C	YPL234C	
YBL084C	YDR118W	YER179W	YFR036W	YGL240W	YHR166C	YKL022C	YLL051C	YLR102C	YLR127C	YLR451W	YMR092C	YNL172W	
YBL084C	YDL008W	YDR118W	YDR260C	YER179W	YFR036W	YGL240W	YHR166C	YIR025W	YLR102C	YLR127C	YLR451W	YOR249C	
YGR082W	YGR193C	YLR157C	YLR199C	YMR060C	YMR203W	YMR263W	YNL018C	YNL070W	YNL121C	YNL131W	YNL330C	YPR133W-A	
YBR130C	YCR002C	YDL225W	YDR507C	YHR107C	YJR076C	YLL021W	YLR314C	YNL233W	YNL293W	YOL112W	YOR084W	YPL066W	
YAL040C	YDL047W	YER155C	YER167W	YFR040W	YJL098W	YKL092C	YKR028W	YKR072C	YLL024C	YMR028W	YOR188W	
YBL084C	YDL008W	YDR118W	YFR036W	YGL240W	YIR025W	YKL022C	YLL051C	YLR102C	YLR127C	YMR092C	YNL172W	
YBR130C	YCR002C	YDL225W	YDR507C	YER040W	YER118C	YHR107C	YJR076C	YLR096W	YLR314C	YNL139C	YOR084W	
YAL040C	YCL030C	YDL047W	YER155C	YFR040W	YGL229C	YJL098W	YKL092C	YKR028W	YKR072C	YLL024C	YOL145C	
YBR254C	YCL058C	YDL058W	YDR108W	YDR407C	YDR472W	YGL219C	YGR166W	YGR234W	YJR116W	YML077W	YOR115C	
YBL084C	YFR036W	YGL240W	YHR118C	YHR166C	YKL022C	YLL051C	YLR127C	YLR451W	YNL172W	YOR249C	
YBL025W	YBR254C	YDR108W	YDR407C	YGL219C	YGR166W	YGR234W	YJR116W	YMR218C	YOR115C	YOR312C	
YBL025W	YBR093C	YCL058C	YDR246W	YFL005W	YGL219C	YGR166W	YKR068C	YML077W	YNL287W	YOR115C	
YBL025W	YBR254C	YCL058C	YDR472W	YEL036C	YGR166W	YKL139W	YML077W	YMR218C	YOR115C	YOR197W	
YCR002C	YDL225W	YDR507C	YHR107C	YJR076C	YLL021W	YLR314C	YNL233W	YOR084W	YOR156C	YPL066W	
YBL084C	YDR118W	YER161C	YFR036W	YHR166C	YLL051C	YLR102C	YLR127C	YLR451W	YNL172W	YOR249C	
YDL008W	YDR118W	YDR260C	YFR036W	YGL240W	YIR025W	YLR102C	YLR127C	YMR092C	YNL172W	YOR249C	
YAL005C	YAL040C	YCL030C	YDL047W	YER155C	YER167W	YFR040W	YJL098W	YKR028W	YLL024C	YOR188W	
YBL084C	YDL008W	YDR118W	YFR036W	YGL240W	YHR118C	YHR166C	YKL022C	YLL051C	YLR102C	YLR451W	
YDR118W	YER179W	YFR036W	YGL240W	YHR166C	YLL051C	YLR102C	YLR127C	YLR451W	YMR092C	YOR249C	
YBL084C	YDR260C	YFR036W	YGL240W	YIR025W	YKL022C	YLL051C	YLR127C	YNL172W	YOR249C	
YBR270C	YGR058W	YHR077C	YIL105C	YJL162C	YLR433C	YML057W	YMR068W	YNL047C	YPL059W	
YBL084C	YDL008W	YDR118W	YER179W	YFR036W	YGL240W	YHR166C	YLR102C	YLR127C	YLR451W	
YFR036W	YGL240W	YHR118C	YHR166C	YKL022C	YLL051C	YLR102C	YLR127C	YLR451W	YMR092C	
YDL008W	YFR036W	YGL240W	YKL022C	YLL051C	YLR102C	YLR127C	YMR092C	YNL172W	YOR249C	
YBL084C	YDR118W	YFR036W	YGL240W	YHR118C	YKL022C	YLL051C	YLR102C	YLR127C	YNL172W	
YBR172C	YCR067C	YIL004C	YIL109C	YKL074C	YLR026C	YLR268W	YOR075W	YPL085W	YPR181C	
YDL235C	YDR497C	YGL158W	YIL147C	YJL128C	YLR006C	YLR113W	YNR031C	YOR208W	YPL180W	
YAL040C	YCL030C	YDL047W	YER155C	YFR040W	YJL098W	YKL092C	YKR072C	YLL024C	YMR028W	
YDR293C	YDR497C	YER067W	YGL158W	YHR186C	YJR066W	YLR113W	YNL006W	YOL078W	YPL180W	
YBL025W	YCL058C	YDR108W	YDR189W	YDR246W	YGL219C	YGR166W	YGR234W	YKR068C	YOR115C	
YAL040C	YCL030C	YDL047W	YER155C	YER167W	YFR040W	YJL098W	YKR028W	YKR072C	YOL145C	
YCR087C-A	YCR087W	YHL003C	YHR184W	YJR131W	YKL008C	YLR070C	YML064C	YMR298W	YNL107W	
YAL040C	YFL009W	YGR092W	YKL092C	YLL024C	YLR079W	YLR127C	YMR199W	YPL256C	YPR120C	
YBL084C	YDR118W	YDR260C	YFR036W	YGL240W	YHR166C	YLL051C	YLR102C	YMR092C	YOR249C	
YAL021C	YAR007C	YBR173C	YDL042C	YDR227W	YJL076W	YJL173C	YLR442C	YML032C	YNL312W	
YBL025W	YCL058C	YDR108W	YDR407C	YDR472W	YGL219C	YGR166W	YGR234W	YML077W	YOR115C	
YAL043C	YBR205W	YDR390C	YJR093C	YKR002W	YLR115W	YMR061W	YMR182C	YNL317W	YPR107C	
YDL008W	YFR036W	YGL240W	YHR166C	YIR025W	YLL051C	YLR102C	YLR451W	YMR092C	YNL172W	
YBL016W	YDL159W	YDR480W	YEL048C	YGL178W	YGR040W	YHR084W	YIL136W	YPL049C	
YDL008W	YDR260C	YFR036W	YGL240W	YHR166C	YIR025W	YLL051C	YLR451W	YOR249C	
YAL014C	YAL030W	YBL050W	YBR080C	YDR468C	YGR009C	YJR063W	YLR093C	YPL232W	
YDL088C	YER026C	YJL057C	YML031W	YMR129W	YMR153W	YMR298W	YNL234W	YOR028C	
YBR047W	YDL235C	YER118C	YGL158W	YJL128C	YLR096W	YLR113W	YNL139C	YNR031C	
YDR100W	YDR425W	YGL161C	YGL198W	YGR172C	YGR177C	YHR105W	YMR215W	YPL095C	
YBR172C	YGL200C	YHR098C	YLR057W	YLR268W	YML012W	YNL049C	YPL218W	YPR181C	
YBR103W	YDR390C	YGL023C	YJR093C	YKR002W	YLR115W	YMR061W	YOL123W	YPR107C	
YDR006C	YER014C-A	YGR036C	YKL093W	YKL190W	YKL212W	YMR081C	YOR239W	YOR332W	
YBL025W	YCL058C	YDR108W	YDR246W	YDR407C	YGL219C	YGR166W	YGR234W	YIR040C	
YBR172C	YDL188C	YDR075W	YDR498C	YIL109C	YLR268W	YOR075W	YOR380W	YPR040W	
YDL088C	YFR002W	YGL172W	YGR120C	YJL039C	YJL057C	YMR153W	YNL234W	YOR353C	
YGL019W	YGR068C	YIL035C	YIL118W	YLR114C	YNL088W	YOR010C	YOR039W	YOR061W	
YCR002C	YDL225W	YDR085C	YDR507C	YHR107C	YLL021W	YLR314C	YNL233W	YPL066W	
YBR193C	YDL005C	YDL154W	YGL025C	YIL021W	YNR010W	YOL005C	YOL135C	YOR174W	
YDL029W	YDR018C	YDR063W	YIL062C	YJR065C	YKL013C	YKR042W	YLR370C	YNR035C	
YAL023C	YDL095W	YER014C-A	YJR143C	YKL080W	YKL190W	YMR211W	YOR002W	YOR321W	
YAL023C	YDL095W	YER014C-A	YGR036C	YJR143C	YKL190W	YKL212W	YOR321W	YOR332W	
YDL088C	YFR002W	YJL039C	YJL057C	YML031W	YML103C	YMR129W	YMR153W	YNL234W	
YBR050C	YCL046W	YDR028C	YDR477W	YER027C	YER040W	YGL115W	YGL208W	YML110C	
YBL068W	YDR285W	YER099C	YGR135W	YHL011C	YKL181W	YNL036W	YOL061W	YOL069W	
YAL043C	YDR301W	YDR392W	YJR093C	YKR002W	YMR182C	YNL317W	YOR194C	YPR107C	
YBL025W	YDR108W	YDR246W	YDR407C	YGL219C	YGR166W	YGR234W	YMR218C	YOR115C	
YBL084C	YDR118W	YFR036W	YGL240W	YHR166C	YLL051C	YLR102C	YLR451W	YNL172W	
YAL001C	YBR172C	YDR498C	YER148W	YGL241W	YGR246C	YKL074C	YLR268W	YOR075W	
YAL021C	YBR009C	YBR010W	YEL015W	YGR116W	YIL126W	YNL030W	YNL031C	
YBL021C	YGL237C	YGR236C	YHL006C	YLR046C	YNL021W	YOR358W	
YBR103W	YDL220C	YDR227W	YER151C	YLR442C	YMR106C	YMR284W	
YDL070W	YER133W	YGL063W	YGL075C	YHR100C	YJL042W	YLR399C	
YBL104C	YCL025C	YGL147C	YJL062W	YNL054W	YOL044W	YPL080C	
YDR293C	YER067W	YHR186C	YJR066W	YKL203C	YMR200W	YPL180W	
YAL011W	YDR098C	YER037W	YER052C	YGL071W	YGR168C	YIR018W	
YDL081C	YDL130W	YDR367W	YDR382W	YGR209C	YLR287C	YLR340W	
YBL025W	YCL058C	YDR108W	YDR246W	YDR407C	YGL219C	YGR166W	
YDL059C	YFL059W	YMR096W	YMR322C	YNL260C	YNL333W	YNL334C	
YBL079W	YGL016W	YGL058W	YKL058W	YLR335W	YOR020C	YOR194C	
YAL009W	YER105C	YFR002W	YGL100W	YML103C	YML107C	YMR129W	
YDL186W	YJR102C	YLR417W	YLR452C	YML101C	YMR077C	YPL002C	
YDL143W	YDR212W	YJL014W	YLR030W	YML085C	YNL326C	YOL086C	
YBL079W	YGL016W	YJR132W	YKL058W	YLR335W	YOR098C	YOR160W	
YDL002C	YER092W	YGL150C	YGL220W	YLR052W	YLR385C	YLR424W	
YDR164C	YER008C	YIL068C	YLR166C	YMR002W	YPL179W	YPR055W	
YAL016W	YDR200C	YKR055W	YLR238W	YMR029C	YMR052W	YNL127W	
YBL079W	YGL016W	YIL115C	YJR132W	YNL004W	YOR098C	YOR160W	
YCR002C	YDL225W	YDR507C	YHR107C	YJR076C	YLR314C	YOR084W	
YDL044C	YDR505C	YER144C	YGR061C	YIL054W	YLL051C	YLR386W	
YDR541C	YER128W	YGR122W	YLR025W	YMR154C	YOR275C	YPR173C	
YDR293C	YDR497C	YER067W	YGL158W	YJR066W	YLR113W	YPL180W	
YDL008W	YER045C	YHR166C	YIR025W	YLR451W	YMR308C	YOR249C	
YDL139C	YGL153W	YGR263C	YIR034C	YLR284C	YOL105C	YOR180C	
YGR140W	YIR017C	YJR060W	YKL089W	YMR168C	YNL103W	YNL232W	
YDR357C	YEL005C	YGL079W	YGR107W	YGR113W	YLR329W	YPR049C	
YBR283C	YHR007C	YHR045W	YLR311C	YMR264W	YNL231C	YPL170W	
YBL081W	YDR123C	YKL017C	YLR056W	YNL279W	YOL108C	YOR167C	
YBR126C	YDL022W	YDR074W	YGL035C	YKL128C	YML100W	YMR261C	
YCR086W	YDR061W	YER106W	YGR063C	YKL077W	YML095C	YPL022W	
YDR363W-A	YGL233W	YGR152C	YIL068C	YLR166C	YMR002W	YPR055W	
YAL040C	YER155C	YER167W	YFR040W	YJL098W	YKR028W	YKR072C	
YAL049C	YBR108W	YGR058W	YGR136W	YIL108W	YLR429W	YNL094W	
YDL186W	YER188W	YJR102C	YLR417W	YLR452C	YLR457C	YMR077C	
YBR178W	YDR267C	YHR073W	YHR122W	YHR152W	YLR132C	YPR152C	
YBL079W	YEL005C	YER105C	YJL061W	YLR335W	YML103C	YML107C	
YDL235C	YGL158W	YIL053W	YJL128C	YLR113W	YOR208W	YPL180W	
YER083C	YHR179W	YJL090C	YKL108W	YNL262W	YNL334C	YPR175W	
YDL235C	YGL158W	YHR186C	YJL128C	YJR066W	YLR113W	YPL180W	
YBR170C	YBR171W	YCL057W	YDL020C	YJL034W	YKL073W	YOR254C	
YDR174W	YIL013C	YJL058C	YML015C	YML098W	YMR077C	YPR104C	
YBR038W	YDR480W	YGR040W	YGR209C	YHR039C	YPL020C	YPL049C	
YBR017C	YBR216C	YDR192C	YER107C	YGL092W	YKL068W	YNR069C	
YDR027C	YDR259C	YDR484W	YGR066C	YJL029C	YML049C	YPL218W	
YBL068W	YER099C	YER163C	YGR135W	YHL011C	YKL181W	YOL061W	
YGL049C	YGR162W	YJL138C	YKR059W	YOL139C	YOR204W	YOR276W	
YBL033C	YER032W	YFR003C	YJR110W	YLR456W	YPR050C	YPR172W	
YEL005C	YEL013W	YGL180W	YGR253C	YHR195W	YNL086W	YPR185W	
YDR392W	YGL016W	YGL058W	YKL058W	YOL080C	YOR194C	YPL082C	
YER047C	YHR060W	YJL110C	YKR034W	YNL021W	YOR270C	YPL019C	
YFL026W	YGR141W	YHR005C	YHR016C	YJL080C	YLR286C	YMR265C	
YDL062W	YDR301W	YJR093C	YKR002W	YLR277C	YLR437C	YNL317W	
YBR091C	YDL217C	YDR172W	YEL020W-A	YHR005C-A	YMR056C	YOR297C	
YBL021C	YGL237C	YGR146C	YGR236C	YHL006C	YKL109W	YOR358W	
YDR006C	YER014C-A	YKL093W	YKL190W	YKL212W	YMR081C	YMR211W	
YBL001C	YDR293C	YER067W	YJR066W	YNL006W	YOL078W	YPL180W	
YBR274W	YER077C	YFR015C	YIL045W	YJL137C	YLR258W	YLR273C	
YDR320C	YGL206C	YGR167W	YGR241C	YHR161C	YLR170C	YNL183C	
YBR087W	YBR088C	YER173W	YJR068W	YLR390W	YNL262W	YOR217W	
YDL195W	YGL200C	YGR057C	YIL109C	YML012W	YNL049C	YPR181C	
YCL030C	YDL047W	YER155C	YFR040W	YJL098W	YKR028W	YKR072C	
YDL235C	YGL158W	YIL147C	YJL128C	YLR113W	YNR031C	YOR208W	
YCL030C	YDL047W	YDL134C	YDL188C	YDR075W	YMR028W	YPR040W	
YBR085W	YDL143W	YDR129C	YDR212W	YIL142W	YJL014W	YLR030W	
YAL058W	YGL084C	YGR254W	YKL194C	YLR308W	YNL064C	YNR036C	
YGL240W	YHR166C	YLR102C	YLR127C	YLR451W	YMR092C	YOR249C	
YBL025W	YBR254C	YDR246W	YGL219C	YGR166W	YJR116W	YOR115C	
YAL004W	YER115C	YHR149C	YJL189W	YLR448W	YML109W	YMR273C	
YAL047C	YCL046W	YGL115W	YJL113W	YJL114W	YML110C	YMR291W	
YCR007C	YDR100W	YGL161C	YGR209C	YIL004C	YPL020C	YPL095C	
YBR217W	YFL040W	YLR031W	YLR390W-A	YML055W	YMR159C	YPL149W	
YDL246C	YER045C	YJR037W	YJR159W	YMR308C	YOR020C	YPL133C	
YBR133C	YDL036C	YDL154W	YER087W	YFL003C	YJL187C	YPL016W	
YBL058W	YBR009C	YBR010W	YDR265W	YDR332W	YMR074C	YNL031C	
YBR205W	YDR100W	YGL161C	YHR105W	YOR034C	YPL095C	YPL246C	
YBL025W	YDL020C	YDL156W	YDR273W	YFR052W	YHR200W	YJR133W	
YDL195W	YDR299W	YGR191W	YHR098C	YNL049C	YPL085W	YPR181C	
YAL024C	YBL075C	YLL016W	YLR310C	YNR037C	YOR101W	YPR169W	
YDR383C	YEL049W	YGR269W	YLR172C	YOL104C	YOR159C	YPR182W	
YBL106C	YGR167W	YHR161C	YLR206W	YMR183C	YPL077C	YPL232W	
YBL084C	YDR118W	YFR036W	YGL240W	YLL051C	YLR102C	YNL172W	
YBR194W	YDR267C	YHR073W	YHR152W	YLR132C	YOR252W	YPR152C	
YAL043C	YDR390C	YKR002W	YLR115W	YMR182C	YNL317W	YPR107C	
YDR357C	YDR469W	YEL005C	YEL013W	YGL079W	YJL061W	YNL086W	
YDL180W	YDL186W	YER188W	YJR102C	YLR417W	YLR452C	YPL002C	
YBR229C	YHR101C	YJR066W	YKL203C	YMR068W	YNL006W	YPL180W	
YDR070C	YHR178W	YIL072W	YLR263W	YMR020W	YOR171C	YOR351C	
YDR293C	YER067W	YHR186C	YJR066W	YMR068W	YNL006W	YPL180W	
YDL215C	YGL150C	YHL046C	YNL199C	YOR355W	YPR048W	YPR070W	
YAR009C	YCL008C	YDR174W	YHL002W	YNL015W	YNL239W	YNR006W	
YDL089W	YER074W-A	YGR004W	YLR324W	YML008C	YNL263C	YPR028W	
YER099C	YGR135W	YGR143W	YHL011C	YJR099W	YKL181W	YOL061W	
YDL081C	YDL130W	YDR382W	YJR012C	YLR287C	YLR340W	YPL005W	
YDL088C	YDL154W	YFL003C	YGL170C	YJL057C	YMR153W	YNL234W	
YAL004W	YDL011C	YEL023C	YHR149C	YJL189W	YML109W	YOR046C	
YDR200C	YEL069C	YLR238W	YMR029C	YMR052W	YNL127W	YPR110C	
YLR157C	YMR203W	YNL070W	YNL121C	YNL131W	YOR045W	YPR133W-A	
YDR166C	YDR363W-A	YER008C	YGL233W	YGR009C	YLR166C	YPL029W	
YBR103W	YDL042C	YDR227W	YER151C	YLR442C	YMR061W	YMR284W	
YBR205W	YDR100W	YER074W-A	YGL161C	YHR105W	YNL263C	YPL246C	
YDL217C	YDR172W	YGL177W	YHR005C-A	YJL054W	YLL006W	YOR297C	
YCL058C	YDR246W	YDR407C	YGL219C	YGR166W	YKR068C	YMR218C	
YBL025W	YGR133W	YGR135W	YGR143W	YKL176C	YMR270C	YOL023W	
YDL088C	YJL057C	YML031W	YMR129W	YMR153W	YMR298W	YNL234W	
YDL204W	YER040W	YER118C	YLR096W	YMR110C	YNL139C	YOL065C	
YBR172C	YCR028C	YGL145W	YLR268W	YMR020W	YOR075W	YPR181C	
YBR091C	YDL217C	YEL020W-A	YHR005C-A	YJL054W	YOR297C	YOR334W	
YDR482C	YGL028C	YGL049C	YGR162W	YKR059W	YOL139C	YOR276W	
YDR118W	YFR036W	YGL240W	YHR166C	YLR102C	YLR451W	YMR092C	
YAL016W	YBR230C	YDL134C	YGL100W	YNL042W	YNL127W	YOR014W	
YEL002C	YGL226C-A	YGR227W	YIL097W	YOR002W	YOR085W	YPL227C	
YBL059W	YCR099C	YGR203W	YGR205W	YGR262C	YLL026W	YLR210W	
YAL014C	YAL030W	YDR164C	YGR009C	YGR247W	YOR327C	YPL232W	
YFR002W	YGR119C	YJL041W	YJL057C	YML103C	YMR129W	YPL212C	
YBL078C	YBR217W	YHR171W	YLR031W	YMR183C	YNL212W	YNR007C	
YEL013W	YGR120C	YHR128W	YHR195W	YNL086W	YNR025C	YPR185W	
YBL016W	YBR083W	YDR480W	YHR084W	YIL169C	YKL043W	YPL049C	
YDL161W	YGL094C	YIL002C	YIR006C	YNL106C	YOR105W	YOR109W	
YAL049C	YBR133C	YDL036C	YDL154W	YER087W	YJL187C	YNL094W	
YDR200C	YFR008W	YLR238W	YLR395C	YMR029C	YMR052W	YNL127W	
YDL088C	YGL170C	YJL057C	YML103C	YMR129W	YMR153W	YNL234W	
YBR165W	YDR054C	YDR139C	YLR151C	YLR306W	YPL003W	YPR066W	
YAL047C	YDR350C	YDR356W	YHR172W	YLR212C	YLR429W	YNL126W	
YDL101C	YGL094C	YGR180C	YHR135C	YJL026W	YKL025C	YNL116W	
YBR172C	YGR013W	YKL012W	YKL074C	YLR357W	YML046W	YPL016W	
YDL006W	YDL230W	YDL235C	YIL053W	YIL147C	YNR031C	YOR208W	
YDR363W-A	YER008C	YIL068C	YOR122C	YPL029W	YPL179W	YPR055W	
YBR235W	YGL027C	YIL022W	YJL143W	YJR045C	YMR214W	YNR017W	
YBR172C	YIL004C	YIL109C	YKL074C	YLR268W	YOR075W	YPR181C	
YCR066W	YGL016W	YGL058W	YGR184C	YOL080C	YOR194C	
YDL101C	YDR433W	YDR499W	YHR135C	YML058W	YNL116W	
YDR432W	YHR015W	YJR042W	YNL277W	YOR160W	YPL169C	
YDR267C	YHR073W	YHR152W	YLR016C	YLR132C	YOR173W	
YBL039C	YDR321W	YHR144C	YJR103W	YPL060C-A	YPL070W	
YBL016W	YDR480W	YGL057C	YHR084W	YIL169C	YPL049C	
YBR087W	YDL102W	YHR118C	YJR068W	YMR075C-A	YOR217W	
YAR014C	YBR045C	YER054C	YER158C	YIL045W	YOL154W	
YBR270C	YGR072W	YHR077C	YKL149C	YLR363C	YMR080C	
YDR207C	YJR094C	YMR139W	YNL078W	YOL070C	YPL158C	
YCR087C-A	YDR026C	YDR174W	YIL013C	YKR092C	YOR060C	
YEL002C	YGL022W	YGL226C-A	YIL097W	YOR103C	YPL227C	
YEL005C	YEL013W	YGL079W	YGR107W	YHR195W	YNL086W	
YCR073W-A	YER064C	YJL041W	YKL205W	YNL157W	YPL212C	
YGL233W	YIL068C	YLR166C	YMR002W	YPL179W	YPR055W	
YDL164C	YDR387C	YGL207W	YML069W	YNL102W	YOR292C	
YBR165W	YDR054C	YDR139C	YFL009W	YLR306W	YPR066W	
YFL010C	YJL162C	YOL106W	YPL059W	YPR054W	YPR191W	
YDL207W	YEL024W	YER107C	YGL143C	YHL008C	YIL115C	
YGL090W	YHR174W	YLR265C	YLR385C	YLR424W	YOR005C	
YAL023C	YDL095W	YGL226C-A	YJR143C	YOR002W	YOR321W	
YDR122W	YGL156W	YHR113W	YOL082W	YPL091W	YPR145W	
YFL026W	YHR005C	YIL047C	YJL080C	YLR286C	YOR212W	
YDR520C	YIL132C	YJL110C	YKR034W	YLR376C	YNL021W	
YCR052W	YFR037C	YIL084C	YJR031C	YLR321C	YNL202W	
YAR014C	YBR090C	YER054C	YER158C	YKL120W	YOL154W	
YBR087W	YBR088C	YER173W	YKL213C	YLR390W	YOR217W	
YDR045C	YIR017C	YLR115W	YLR277C	YLR437C	YNL317W	
YEL002C	YGR180C	YIL097W	YJL026W	YMR149W	YPL227C	
YEL060C	YGL107C	YJR070C	YML031C-A	YMR269W	YNL141W	
YDL006W	YDL230W	YDL235C	YIL147C	YLR006C	YOR208W	
YGL206C	YGR167W	YGR241C	YHR161C	YNL183C	YOR028C	
YBR288C	YER079W	YHR135C	YNL116W	YNL154C	YNR006W	
YDL108W	YDR527W	YGL043W	YIL021W	YOR151C	YOR210W	
YBL016W	YDR480W	YGR040W	YHR039C	YIL169C	YPL049C	
YBR137W	YDR349C	YLR099C	YOL016C	YOR007C	YOR164C	
YFL030W	YGR163W	YKR007W	YML121W	YNL113W	YOL144W	
YDL051W	YDR132C	YDR395W	YHR170W	YLR075W	YOL127W	
YDR218C	YGL126W	YGR059W	YIL163C	YLR049C	YPL161C	
YDL006W	YDL230W	YIL053W	YIL147C	YOR208W	YPL201C	
YBR233W	YER165W	YGR250C	YIL123W	YIR001C	YJL189W	
YGL016W	YGL058W	YGR274C	YKL058W	YLR335W	YOR194C	
YBL046W	YDR285W	YFL056C	YNL201C	YPR101W	YPR115W	
YDL059C	YFL059W	YFL060C	YMR095C	YMR096W	YMR322C	
YDL070W	YGL063W	YGL075C	YGL093W	YJR112W	YLR086W	
YBL045C	YFL010C	YLL030C	YPR054W	YPR105C	YPR191W	
YBR193C	YDL005C	YGL025C	YIL021W	YOL005C	YOL135C	
YDL002C	YDL012C	YGL150C	YHL046C	YLR052W	YOR355W	
YDR169C	YKR091W	YMR019W	YMR053C	YNL309W	YOL004W	
YEL037C	YER012W	YGR283C	YLR441C	YMR276W	YNL281W	
YAR009C	YBR279W	YCL008C	YHL002W	YNL015W	YNL239W	
YBR119W	YIL050W	YJL023C	YLR223C	YLR449W	YNL277W	
YBL068W	YER099C	YER163C	YGR135W	YNL036W	YOL061W	
YDL014W	YIL008W	YLR197W	YMR134W	YOR303W	YOR310C	
YDR492W	YER149C	YJR067C	YKL034W	YOL035C	YOR315W	
YDL002C	YDR098C	YER092W	YGL150C	YGL220W	YLR052W	
YBL079W	YDR395W	YGL016W	YJR132W	YLR335W	YOR098C	
YBR045C	YER054C	YIL072W	YLR064W	YLR263W	YOR178C	
YDL207W	YDR192C	YKL068W	YMR255W	YOR046C	YOR134W	
YDR216W	YER113C	YGL138C	YGR123C	YMR021C	YNR032W	
YBR045C	YDR006C	YER054C	YIL045W	YLR263W	YOR178C	
YDR068W	YER103W	YGL065C	YLR237W	YLR310C	YPR001W	
YAL036C	YCR038C	YDL065C	YDR152W	YGR173W	YNR022C	
YAL016W	YBR230C	YDR506C	YGL100W	YNL042W	YOR014W	
YBL093C	YIL156W	YKL129C	YKR069W	YMR109W	YOR247W	
YDR006C	YKL093W	YLR442C	YMR081C	YNL216W	YOR178C	
YBL079W	YER105C	YJR132W	YLR335W	YML107C	YOR098C	
YEL037C	YER012W	YFR050C	YLR441C	YMR276W	YOR157C	
YAL011W	YER052C	YGL071W	YGR168C	YIR018W	YKR079C	
YBR077C	YFL030W	YGR163W	YIL077C	YKR007W	YML121W	
YDL132W	YER044C	YGR060W	YJL202C	YLR100W	YLR128W	
YDR066C	YFL021W	YJR001W	YJR082C	YNL004W	YOR354C	
YDR108W	YDR246W	YDR407C	YGR234W	YMR218C	YOR115C	
YDL108W	YGR236C	YOL156W	YOR151C	YOR210W	YOR299W	
YBR229C	YDR389W	YHR101C	YHR185C	YIL007C	YMR200W	
YBR034C	YDR120C	YDR432W	YGR165W	YLR035C	YPL265W	
YBR193C	YDL154W	YFL003C	YGL025C	YGL170C	YOL135C	
YDL096C	YFL036W	YGL226C-A	YGR227W	YOR002W	YPL227C	
YDL088C	YFR002W	YGL170C	YMR129W	YMR153W	YNL234W	
YAL009W	YGL100W	YGR161C-C	YHR004C	YKL057C	YML103C	
YAL030W	YDR164C	YER008C	YKR014C	YLR166C	YNR049C	
YBL014C	YHL004W	YJL025W	YKL137W	YML043C	YOR158W	
YBR193C	YDL005C	YIL021W	YOL005C	YOR151C	YOR174W	
YBR009C	YBR010W	YGR116W	YIL126W	YNL030W	YNL031C	
YDL020C	YDL156W	YFR052W	YIL075C	YLR421C	YOR254C	
YBR058C	YGR268C	YOL059W	YOL064C	YOL156W	YOR138C	
YBR141C	YDL224C	YER059W	YER156C	YIL050W	YJL084C	
YGR249W	YIL033C	YJL164C	YLR177W	YOL063C	YPL203W	
YDL214C	YEL005C	YEL013W	YHR195W	YNL086W	YPR185W	
YDR006C	YDR227W	YDR464W	YLR442C	YMR284W	YNL216W	
YDL089W	YGR004W	YGR026W	YLR324W	YMR316C-B	YPR028W	
YBR172C	YCR067C	YDL195W	YHR098C	YPL085W	YPR181C	
YCL054W	YDL014W	YLR197W	YOR310C	YPL043W	YPR072W	
YER045C	YGL053W	YGR213C	YHR134W	YMR195W	YOR059C	
YFR043C	YGL206C	YHL019C	YKL135C	YLR170C	YPR029C	
YDR293C	YJR066W	YMR068W	YNL006W	YOL078W	YPL180W	
YBL058W	YDR265W	YDR332W	YGL033W	YGL183C	YMR074C	
YDR301W	YJR093C	YLR082C	YLR115W	YMR061W	YNL317W	
YDL130W	YDR142C	YDR382W	YDR399W	YJL210W	YLR340W	
YJR102C	YKL052C	YLR417W	YML015C	YML101C	YMR077C	
YFL036W	YGL226C-A	YGR064W	YGR227W	YOL009C	YOR002W	
YDR383C	YJR102C	YLR417W	YOL104C	YOR159C	YPL002C	
YJR060W	YKL049C	YKL089W	YMR168C	YNL103W	YNL232W	
YCR087C-A	YGL090W	YHR174W	YLR265C	YNL044W	YOR005C	
YAL031C	YBL071C	YCL027W	YGR070W	YKR023W	YOR017W	
YBR239C	YDR313C	YER045C	YMR308C	YOR020C	YPL133C	
YHR016C	YIL072W	YLR064W	YLR243W	YLR263W	YOR351C	
YER145C	YGR061C	YIL054W	YIL056W	YJL001W	YLR386W	
YDL044C	YDR505C	YGL122C	YGR056W	YIL092W	YNL016W	
YJR019C	YKL011C	YKR026C	YLR432W	YMR269W	YPL283C	
YAL005C	YIR042C	YMR186W	YNL064C	YOR027W	YPL240C	
YJR116W	YKR070W	YNL246W	YNL308C	YOL156W	YOR299W	
YBL092W	YDR026C	YDR110W	YKR092C	YLR095C	YOR060C	
YDR201W	YHL031C	YHR083W	YKL006C-A	YKL179C	YKR083C	
YBR217W	YHR171W	YLR390W-A	YMR183C	YNL212W	YPL149W	
YER093C	YJR066W	YKL203C	YNL006W	YOL078W	YPL180W	
YBR283C	YGL014W	YHR007C	YHR045W	YMR264W	YNL231C	
YAR018C	YBL106C	YDL161W	YIL033C	YLR206W	YOR111W	
YGL107C	YGR142W	YJR070C	YLR225C	YMR269W	YNL141W	
